Datacenter: datacenter1
=======================
Status=Up/Down
|/ State=Normal/Leaving/Joining/Moving
--  Address        Load       Tokens  Owns (effective)  Host ID                               Rack 
UN  192.168.1.1    74.04 KiB  16      21.5%             3f542630-ad81-4ae0-99eb-506caa5c64ac  rack1
UN  192.168.0.252  88.56 KiB  16      22.3%             fc40b01c-6b2d-483b-9d59-8673026c6b64  rack1
UN  192.168.1.4    69.05 KiB  16      22.3%             33128a34-2b52-47e6-b32b-3840e7ec6c54  rack1
UN  192.168.1.5    74.11 KiB  16      21.9%             010a80f9-0869-4ff9-ae0d-b2e9a910d937  rack1
UN  192.168.1.2    69.06 KiB  16      22.1%             76bb6c30-e9ca-4058-912c-ddeebdd77a9d  rack1
UN  192.168.0.254  69.06 KiB  16      23.3%             880bd685-0d93-4ab5-ae19-4a4a046263b8  rack1
UN  192.168.1.3    69.06 KiB  16      21.3%             45fc8884-eb3f-4381-a0e3-278590061579  rack1
UN  192.168.1.0    69.05 KiB  16      22.2%             fbfa85af-3352-476d-ac81-5948ecd43044  rack1
UN  192.168.0.255  69.07 KiB  16      23.0%             a681105c-5b8c-4e01-97c5-d8bdb6c06407  rack1

