Datacenter: datacenter1
=======================
Status=Up/Down
|/ State=Normal/Leaving/Joining/Moving
--  Address        Load       Tokens  Owns (effective)  Host ID                               Rack 
UN  172.31.30.116  88.57 KiB  16      22.3%             cd0a362a-4ed1-44be-ae71-1b90e1cf328d  rack1
UN  172.31.16.208  74.04 KiB  16      22.3%             9cdd43c6-d4cd-475d-b2f3-8a59c60ba2f8  rack1
UN  172.31.28.247  69.07 KiB  16      23.3%             30f70752-95f6-45fa-a158-e2463e269c34  rack1
UN  172.31.16.98   74.05 KiB  16      21.3%             d097b2c1-a558-471a-959d-2408da002c73  rack1
UN  172.31.23.185  74.04 KiB  16      21.5%             30909692-d469-43e0-87ff-dd5d40a8e869  rack1
UN  172.31.24.125  69.06 KiB  16      23.0%             b90b51e3-2fb5-489e-8526-5c3f2597ac8a  rack1
UN  172.31.26.20   69.08 KiB  16      22.1%             cc19ee37-0ce4-4af3-9114-033dbb284f98  rack1
UN  172.31.28.91   69.07 KiB  16      22.2%             6cdfb2f0-2f38-42ca-ad8c-9823821deb11  rack1
UN  172.31.29.167  74.12 KiB  16      21.9%             07034127-060f-42c1-85f5-c55ea5ff83b7  rack1

