time,measurement,field,value,application,batchId,configurationId,executionCounter,host,interface,projectId,userId
2026-08-12 11:20:00+00:00,net,bytes_recv,4343542117,dbms,08-2026,couchbase-802-vanilla-ce-large-large-aws,1,ip-172-31-19-161,ens5,ranking,benchANT
2026-08-12 11:20:10+00:00,net,bytes_recv,4343767996,dbms,08-2026,couchbase-802-vanilla-ce-large-large-aws,1,ip-172-31-19-161,ens5,ranking,benchANT
2026-08-12 11:20:20+00:00,net,bytes_recv,4343926859,dbms,08-2026,couchbase-802-vanilla-ce-large-large-aws,1,ip-172-31-19-161,ens5,ranking,benchANT
2026-08-12 11:20:30+00:00,net,bytes_recv,4344128857,dbms,08-2026,couchbase-802-vanilla-ce-large-large-aws,1,ip-172-31-19-161,ens5,ranking,benchANT
2026-08-12 11:20:40+00:00,net,bytes_recv,4344609758,dbms,08-2026,couchbase-802-vanilla-ce-large-large-aws,1,ip-172-31-19-161,ens5,ranking,benchANT
2026-08-12 11:20:50+00:00,net,bytes_recv,4345530441,dbms,08-2026,couchbase-802-vanilla-ce-large-large-aws,1,ip-172-31-19-161,ens5,ranking,benchANT
2026-08-12 11:21:00+00:00,net,bytes_recv,4348211852,dbms,08-2026,couchbase-802-vanilla-ce-large-large-aws,1,ip-172-31-19-161,ens5,ranking,benchANT
2026-08-12 11:21:10+00:00,net,bytes_recv,4356588968,dbms,08-2026,couchbase-802-vanilla-ce-large-large-aws,1,ip-172-31-19-161,ens5,ranking,benchANT
2026-08-12 11:21:20+00:00,net,bytes_recv,4386496094,dbms,08-2026,couchbase-802-vanilla-ce-large-large-aws,1,ip-172-31-19-161,ens5,ranking,benchANT
2026-08-12 11:21:30+00:00,net,bytes_recv,4549379926,dbms,08-2026,couchbase-802-vanilla-ce-large-large-aws,1,ip-172-31-19-161,ens5,ranking,benchANT
2026-08-12 11:21:40+00:00,net,bytes_recv,4997959582,dbms,08-2026,couchbase-802-vanilla-ce-large-large-aws,1,ip-172-31-19-161,ens5,ranking,benchANT
2026-08-12 11:21:50+00:00,net,bytes_recv,5433265713,dbms,08-2026,couchbase-802-vanilla-ce-large-large-aws,1,ip-172-31-19-161,ens5,ranking,benchANT
2026-08-12 11:22:00+00:00,net,bytes_recv,5893654931,dbms,08-2026,couchbase-802-vanilla-ce-large-large-aws,1,ip-172-31-19-161,ens5,ranking,benchANT
2026-08-12 11:22:10+00:00,net,bytes_recv,6347033581,dbms,08-2026,couchbase-802-vanilla-ce-large-large-aws,1,ip-172-31-19-161,ens5,ranking,benchANT
2026-08-12 11:22:20+00:00,net,bytes_recv,6815835578,dbms,08-2026,couchbase-802-vanilla-ce-large-large-aws,1,ip-172-31-19-161,ens5,ranking,benchANT
2026-08-12 11:22:30+00:00,net,bytes_recv,7287204819,dbms,08-2026,couchbase-802-vanilla-ce-large-large-aws,1,ip-172-31-19-161,ens5,ranking,benchANT
2026-08-12 11:22:40+00:00,net,bytes_recv,7730917988,dbms,08-2026,couchbase-802-vanilla-ce-large-large-aws,1,ip-172-31-19-161,ens5,ranking,benchANT
2026-08-12 11:22:50+00:00,net,bytes_recv,8196506971,dbms,08-2026,couchbase-802-vanilla-ce-large-large-aws,1,ip-172-31-19-161,ens5,ranking,benchANT
2026-08-12 11:23:00+00:00,net,bytes_recv,8657992337,dbms,08-2026,couchbase-802-vanilla-ce-large-large-aws,1,ip-172-31-19-161,ens5,ranking,benchANT
2026-08-12 11:23:10+00:00,net,bytes_recv,9126653942,dbms,08-2026,couchbase-802-vanilla-ce-large-large-aws,1,ip-172-31-19-161,ens5,ranking,benchANT
2026-08-12 11:23:20+00:00,net,bytes_recv,9587087886,dbms,08-2026,couchbase-802-vanilla-ce-large-large-aws,1,ip-172-31-19-161,ens5,ranking,benchANT
2026-08-12 11:23:30+00:00,net,bytes_recv,10016331557,dbms,08-2026,couchbase-802-vanilla-ce-large-large-aws,1,ip-172-31-19-161,ens5,ranking,benchANT
2026-08-12 11:23:40+00:00,net,bytes_recv,10473143208,dbms,08-2026,couchbase-802-vanilla-ce-large-large-aws,1,ip-172-31-19-161,ens5,ranking,benchANT
2026-08-12 11:23:50+00:00,net,bytes_recv,10939216634,dbms,08-2026,couchbase-802-vanilla-ce-large-large-aws,1,ip-172-31-19-161,ens5,ranking,benchANT
2026-08-12 11:24:00+00:00,net,bytes_recv,11413211503,dbms,08-2026,couchbase-802-vanilla-ce-large-large-aws,1,ip-172-31-19-161,ens5,ranking,benchANT
2026-08-12 11:24:10+00:00,net,bytes_recv,11863780557,dbms,08-2026,couchbase-802-vanilla-ce-large-large-aws,1,ip-172-31-19-161,ens5,ranking,benchANT
2026-08-12 11:24:20+00:00,net,bytes_recv,12328487898,dbms,08-2026,couchbase-802-vanilla-ce-large-large-aws,1,ip-172-31-19-161,ens5,ranking,benchANT
2026-08-12 11:24:30+00:00,net,bytes_recv,12787400966,dbms,08-2026,couchbase-802-vanilla-ce-large-large-aws,1,ip-172-31-19-161,ens5,ranking,benchANT
2026-08-12 11:24:40+00:00,net,bytes_recv,13234599189,dbms,08-2026,couchbase-802-vanilla-ce-large-large-aws,1,ip-172-31-19-161,ens5,ranking,benchANT
2026-08-12 11:24:50+00:00,net,bytes_recv,13688435368,dbms,08-2026,couchbase-802-vanilla-ce-large-large-aws,1,ip-172-31-19-161,ens5,ranking,benchANT
2026-08-12 11:25:00+00:00,net,bytes_recv,14122973990,dbms,08-2026,couchbase-802-vanilla-ce-large-large-aws,1,ip-172-31-19-161,ens5,ranking,benchANT
2026-08-12 11:25:10+00:00,net,bytes_recv,14571180992,dbms,08-2026,couchbase-802-vanilla-ce-large-large-aws,1,ip-172-31-19-161,ens5,ranking,benchANT
2026-08-12 11:25:20+00:00,net,bytes_recv,15006594514,dbms,08-2026,couchbase-802-vanilla-ce-large-large-aws,1,ip-172-31-19-161,ens5,ranking,benchANT
2026-08-12 11:25:30+00:00,net,bytes_recv,15442473427,dbms,08-2026,couchbase-802-vanilla-ce-large-large-aws,1,ip-172-31-19-161,ens5,ranking,benchANT
2026-08-12 11:25:40+00:00,net,bytes_recv,15896984332,dbms,08-2026,couchbase-802-vanilla-ce-large-large-aws,1,ip-172-31-19-161,ens5,ranking,benchANT
2026-08-12 11:25:50+00:00,net,bytes_recv,16348592485,dbms,08-2026,couchbase-802-vanilla-ce-large-large-aws,1,ip-172-31-19-161,ens5,ranking,benchANT
2026-08-12 11:26:00+00:00,net,bytes_recv,16806189324,dbms,08-2026,couchbase-802-vanilla-ce-large-large-aws,1,ip-172-31-19-161,ens5,ranking,benchANT
2026-08-12 11:26:10+00:00,net,bytes_recv,17257194909,dbms,08-2026,couchbase-802-vanilla-ce-large-large-aws,1,ip-172-31-19-161,ens5,ranking,benchANT
2026-08-12 11:26:20+00:00,net,bytes_recv,17704050972,dbms,08-2026,couchbase-802-vanilla-ce-large-large-aws,1,ip-172-31-19-161,ens5,ranking,benchANT
2026-08-12 11:26:30+00:00,net,bytes_recv,18141724783,dbms,08-2026,couchbase-802-vanilla-ce-large-large-aws,1,ip-172-31-19-161,ens5,ranking,benchANT
2026-08-12 11:26:40+00:00,net,bytes_recv,18556060577,dbms,08-2026,couchbase-802-vanilla-ce-large-large-aws,1,ip-172-31-19-161,ens5,ranking,benchANT
2026-08-12 11:26:50+00:00,net,bytes_recv,18994306533,dbms,08-2026,couchbase-802-vanilla-ce-large-large-aws,1,ip-172-31-19-161,ens5,ranking,benchANT
2026-08-12 11:27:00+00:00,net,bytes_recv,19413000518,dbms,08-2026,couchbase-802-vanilla-ce-large-large-aws,1,ip-172-31-19-161,ens5,ranking,benchANT
2026-08-12 11:27:10+00:00,net,bytes_recv,19833187083,dbms,08-2026,couchbase-802-vanilla-ce-large-large-aws,1,ip-172-31-19-161,ens5,ranking,benchANT
2026-08-12 11:27:20+00:00,net,bytes_recv,20288496201,dbms,08-2026,couchbase-802-vanilla-ce-large-large-aws,1,ip-172-31-19-161,ens5,ranking,benchANT
2026-08-12 11:27:30+00:00,net,bytes_recv,20753759165,dbms,08-2026,couchbase-802-vanilla-ce-large-large-aws,1,ip-172-31-19-161,ens5,ranking,benchANT
2026-08-12 11:27:40+00:00,net,bytes_recv,21210265081,dbms,08-2026,couchbase-802-vanilla-ce-large-large-aws,1,ip-172-31-19-161,ens5,ranking,benchANT
2026-08-12 11:27:50+00:00,net,bytes_recv,21647647533,dbms,08-2026,couchbase-802-vanilla-ce-large-large-aws,1,ip-172-31-19-161,ens5,ranking,benchANT
2026-08-12 11:28:00+00:00,net,bytes_recv,22072817572,dbms,08-2026,couchbase-802-vanilla-ce-large-large-aws,1,ip-172-31-19-161,ens5,ranking,benchANT
2026-08-12 11:28:10+00:00,net,bytes_recv,22532780841,dbms,08-2026,couchbase-802-vanilla-ce-large-large-aws,1,ip-172-31-19-161,ens5,ranking,benchANT
2026-08-12 11:28:20+00:00,net,bytes_recv,22956256885,dbms,08-2026,couchbase-802-vanilla-ce-large-large-aws,1,ip-172-31-19-161,ens5,ranking,benchANT
2026-08-12 11:28:30+00:00,net,bytes_recv,23399633778,dbms,08-2026,couchbase-802-vanilla-ce-large-large-aws,1,ip-172-31-19-161,ens5,ranking,benchANT
2026-08-12 11:28:40+00:00,net,bytes_recv,23839066659,dbms,08-2026,couchbase-802-vanilla-ce-large-large-aws,1,ip-172-31-19-161,ens5,ranking,benchANT
2026-08-12 11:28:50+00:00,net,bytes_recv,24290661087,dbms,08-2026,couchbase-802-vanilla-ce-large-large-aws,1,ip-172-31-19-161,ens5,ranking,benchANT
2026-08-12 11:29:00+00:00,net,bytes_recv,24739801173,dbms,08-2026,couchbase-802-vanilla-ce-large-large-aws,1,ip-172-31-19-161,ens5,ranking,benchANT
2026-08-12 11:29:10+00:00,net,bytes_recv,25180429518,dbms,08-2026,couchbase-802-vanilla-ce-large-large-aws,1,ip-172-31-19-161,ens5,ranking,benchANT
2026-08-12 11:29:20+00:00,net,bytes_recv,25625199988,dbms,08-2026,couchbase-802-vanilla-ce-large-large-aws,1,ip-172-31-19-161,ens5,ranking,benchANT
2026-08-12 11:29:30+00:00,net,bytes_recv,26041320583,dbms,08-2026,couchbase-802-vanilla-ce-large-large-aws,1,ip-172-31-19-161,ens5,ranking,benchANT
2026-08-12 11:29:40+00:00,net,bytes_recv,26041468780,dbms,08-2026,couchbase-802-vanilla-ce-large-large-aws,1,ip-172-31-19-161,ens5,ranking,benchANT
2026-08-12 11:29:50+00:00,net,bytes_recv,26041606878,dbms,08-2026,couchbase-802-vanilla-ce-large-large-aws,1,ip-172-31-19-161,ens5,ranking,benchANT
2026-08-12 11:20:00+00:00,net,bytes_sent,2716743357,dbms,08-2026,couchbase-802-vanilla-ce-large-large-aws,1,ip-172-31-19-161,ens5,ranking,benchANT
