time,measurement,field,value,application,batchId,configurationId,device,executionCounter,fstype,host,mode,path,projectId,userId
2026-08-12 10:13:40+00:00,disk,free,122815.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,efivarfs,1,efivarfs,ip-172-31-22-87,rw,/sys/firmware/efi/efivars,ranking,benchANT
2026-08-12 10:13:40+00:00,disk,free,95530831872.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,nvme0n1p1,1,ext4,ip-172-31-22-87,rw,/,ranking,benchANT
2026-08-12 10:13:40+00:00,disk,free,102995968.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,nvme0n1p15,1,vfat,ip-172-31-22-87,rw,/boot/efi,ranking,benchANT
2026-08-12 10:13:40+00:00,disk,free,760246272.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,nvme0n1p16,1,ext4,ip-172-31-22-87,rw,/boot,ranking,benchANT
2026-08-12 10:13:50+00:00,disk,free,122815.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,efivarfs,1,efivarfs,ip-172-31-22-87,rw,/sys/firmware/efi/efivars,ranking,benchANT
2026-08-12 10:13:50+00:00,disk,free,95529693184.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,nvme0n1p1,1,ext4,ip-172-31-22-87,rw,/,ranking,benchANT
2026-08-12 10:13:50+00:00,disk,free,102995968.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,nvme0n1p15,1,vfat,ip-172-31-22-87,rw,/boot/efi,ranking,benchANT
2026-08-12 10:13:50+00:00,disk,free,760246272.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,nvme0n1p16,1,ext4,ip-172-31-22-87,rw,/boot,ranking,benchANT
2026-08-12 10:14:00+00:00,disk,free,122815.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,efivarfs,1,efivarfs,ip-172-31-22-87,rw,/sys/firmware/efi/efivars,ranking,benchANT
2026-08-12 10:14:00+00:00,disk,free,95527149568.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,nvme0n1p1,1,ext4,ip-172-31-22-87,rw,/,ranking,benchANT
2026-08-12 10:14:00+00:00,disk,free,102995968.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,nvme0n1p15,1,vfat,ip-172-31-22-87,rw,/boot/efi,ranking,benchANT
2026-08-12 10:14:00+00:00,disk,free,760246272.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,nvme0n1p16,1,ext4,ip-172-31-22-87,rw,/boot,ranking,benchANT
2026-08-12 10:14:10+00:00,disk,free,122815.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,efivarfs,1,efivarfs,ip-172-31-22-87,rw,/sys/firmware/efi/efivars,ranking,benchANT
2026-08-12 10:14:10+00:00,disk,free,95519526912.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,nvme0n1p1,1,ext4,ip-172-31-22-87,rw,/,ranking,benchANT
2026-08-12 10:14:10+00:00,disk,free,102995968.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,nvme0n1p15,1,vfat,ip-172-31-22-87,rw,/boot/efi,ranking,benchANT
2026-08-12 10:14:10+00:00,disk,free,760246272.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,nvme0n1p16,1,ext4,ip-172-31-22-87,rw,/boot,ranking,benchANT
2026-08-12 10:14:20+00:00,disk,free,122815.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,efivarfs,1,efivarfs,ip-172-31-22-87,rw,/sys/firmware/efi/efivars,ranking,benchANT
2026-08-12 10:14:20+00:00,disk,free,95498035200.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,nvme0n1p1,1,ext4,ip-172-31-22-87,rw,/,ranking,benchANT
2026-08-12 10:14:20+00:00,disk,free,102995968.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,nvme0n1p15,1,vfat,ip-172-31-22-87,rw,/boot/efi,ranking,benchANT
2026-08-12 10:14:20+00:00,disk,free,760246272.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,nvme0n1p16,1,ext4,ip-172-31-22-87,rw,/boot,ranking,benchANT
2026-08-12 10:14:30+00:00,disk,free,122815.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,efivarfs,1,efivarfs,ip-172-31-22-87,rw,/sys/firmware/efi/efivars,ranking,benchANT
2026-08-12 10:14:30+00:00,disk,free,95451541504.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,nvme0n1p1,1,ext4,ip-172-31-22-87,rw,/,ranking,benchANT
2026-08-12 10:14:30+00:00,disk,free,102995968.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,nvme0n1p15,1,vfat,ip-172-31-22-87,rw,/boot/efi,ranking,benchANT
2026-08-12 10:14:30+00:00,disk,free,760246272.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,nvme0n1p16,1,ext4,ip-172-31-22-87,rw,/boot,ranking,benchANT
2026-08-12 10:14:40+00:00,disk,free,122815.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,efivarfs,1,efivarfs,ip-172-31-22-87,rw,/sys/firmware/efi/efivars,ranking,benchANT
2026-08-12 10:14:40+00:00,disk,free,95378890752.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,nvme0n1p1,1,ext4,ip-172-31-22-87,rw,/,ranking,benchANT
2026-08-12 10:14:40+00:00,disk,free,102995968.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,nvme0n1p15,1,vfat,ip-172-31-22-87,rw,/boot/efi,ranking,benchANT
2026-08-12 10:14:40+00:00,disk,free,760246272.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,nvme0n1p16,1,ext4,ip-172-31-22-87,rw,/boot,ranking,benchANT
2026-08-12 10:14:50+00:00,disk,free,122815.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,efivarfs,1,efivarfs,ip-172-31-22-87,rw,/sys/firmware/efi/efivars,ranking,benchANT
2026-08-12 10:14:50+00:00,disk,free,95189966848.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,nvme0n1p1,1,ext4,ip-172-31-22-87,rw,/,ranking,benchANT
2026-08-12 10:14:50+00:00,disk,free,102995968.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,nvme0n1p15,1,vfat,ip-172-31-22-87,rw,/boot/efi,ranking,benchANT
2026-08-12 10:14:50+00:00,disk,free,760246272.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,nvme0n1p16,1,ext4,ip-172-31-22-87,rw,/boot,ranking,benchANT
2026-08-12 10:15:00+00:00,disk,free,122815.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,efivarfs,1,efivarfs,ip-172-31-22-87,rw,/sys/firmware/efi/efivars,ranking,benchANT
2026-08-12 10:15:00+00:00,disk,free,94866350080.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,nvme0n1p1,1,ext4,ip-172-31-22-87,rw,/,ranking,benchANT
2026-08-12 10:15:00+00:00,disk,free,102995968.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,nvme0n1p15,1,vfat,ip-172-31-22-87,rw,/boot/efi,ranking,benchANT
2026-08-12 10:15:00+00:00,disk,free,760246272.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,nvme0n1p16,1,ext4,ip-172-31-22-87,rw,/boot,ranking,benchANT
2026-08-12 10:15:10+00:00,disk,free,122815.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,efivarfs,1,efivarfs,ip-172-31-22-87,rw,/sys/firmware/efi/efivars,ranking,benchANT
2026-08-12 10:15:10+00:00,disk,free,94533939200.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,nvme0n1p1,1,ext4,ip-172-31-22-87,rw,/,ranking,benchANT
2026-08-12 10:15:10+00:00,disk,free,102995968.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,nvme0n1p15,1,vfat,ip-172-31-22-87,rw,/boot/efi,ranking,benchANT
2026-08-12 10:15:10+00:00,disk,free,760246272.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,nvme0n1p16,1,ext4,ip-172-31-22-87,rw,/boot,ranking,benchANT
2026-08-12 10:15:20+00:00,disk,free,122815.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,efivarfs,1,efivarfs,ip-172-31-22-87,rw,/sys/firmware/efi/efivars,ranking,benchANT
2026-08-12 10:15:20+00:00,disk,free,94208475136.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,nvme0n1p1,1,ext4,ip-172-31-22-87,rw,/,ranking,benchANT
2026-08-12 10:15:20+00:00,disk,free,102995968.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,nvme0n1p15,1,vfat,ip-172-31-22-87,rw,/boot/efi,ranking,benchANT
2026-08-12 10:15:20+00:00,disk,free,760246272.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,nvme0n1p16,1,ext4,ip-172-31-22-87,rw,/boot,ranking,benchANT
2026-08-12 10:15:30+00:00,disk,free,122815.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,efivarfs,1,efivarfs,ip-172-31-22-87,rw,/sys/firmware/efi/efivars,ranking,benchANT
2026-08-12 10:15:30+00:00,disk,free,93867560960.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,nvme0n1p1,1,ext4,ip-172-31-22-87,rw,/,ranking,benchANT
2026-08-12 10:15:30+00:00,disk,free,102995968.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,nvme0n1p15,1,vfat,ip-172-31-22-87,rw,/boot/efi,ranking,benchANT
2026-08-12 10:15:30+00:00,disk,free,760246272.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,nvme0n1p16,1,ext4,ip-172-31-22-87,rw,/boot,ranking,benchANT
2026-08-12 10:15:40+00:00,disk,free,122815.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,efivarfs,1,efivarfs,ip-172-31-22-87,rw,/sys/firmware/efi/efivars,ranking,benchANT
2026-08-12 10:15:40+00:00,disk,free,93532450816.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,nvme0n1p1,1,ext4,ip-172-31-22-87,rw,/,ranking,benchANT
2026-08-12 10:15:40+00:00,disk,free,102995968.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,nvme0n1p15,1,vfat,ip-172-31-22-87,rw,/boot/efi,ranking,benchANT
2026-08-12 10:15:40+00:00,disk,free,760246272.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,nvme0n1p16,1,ext4,ip-172-31-22-87,rw,/boot,ranking,benchANT
2026-08-12 10:15:50+00:00,disk,free,122815.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,efivarfs,1,efivarfs,ip-172-31-22-87,rw,/sys/firmware/efi/efivars,ranking,benchANT
2026-08-12 10:15:50+00:00,disk,free,93197627392.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,nvme0n1p1,1,ext4,ip-172-31-22-87,rw,/,ranking,benchANT
2026-08-12 10:15:50+00:00,disk,free,102995968.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,nvme0n1p15,1,vfat,ip-172-31-22-87,rw,/boot/efi,ranking,benchANT
2026-08-12 10:15:50+00:00,disk,free,760246272.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,nvme0n1p16,1,ext4,ip-172-31-22-87,rw,/boot,ranking,benchANT
2026-08-12 10:16:00+00:00,disk,free,122815.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,efivarfs,1,efivarfs,ip-172-31-22-87,rw,/sys/firmware/efi/efivars,ranking,benchANT
2026-08-12 10:16:00+00:00,disk,free,92879462400.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,nvme0n1p1,1,ext4,ip-172-31-22-87,rw,/,ranking,benchANT
2026-08-12 10:16:00+00:00,disk,free,102995968.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,nvme0n1p15,1,vfat,ip-172-31-22-87,rw,/boot/efi,ranking,benchANT
2026-08-12 10:16:00+00:00,disk,free,760246272.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,nvme0n1p16,1,ext4,ip-172-31-22-87,rw,/boot,ranking,benchANT
2026-08-12 10:16:10+00:00,disk,free,122815.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,efivarfs,1,efivarfs,ip-172-31-22-87,rw,/sys/firmware/efi/efivars,ranking,benchANT
2026-08-12 10:16:10+00:00,disk,free,92567269376.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,nvme0n1p1,1,ext4,ip-172-31-22-87,rw,/,ranking,benchANT
2026-08-12 10:16:10+00:00,disk,free,102995968.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,nvme0n1p15,1,vfat,ip-172-31-22-87,rw,/boot/efi,ranking,benchANT
2026-08-12 10:16:10+00:00,disk,free,760246272.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,nvme0n1p16,1,ext4,ip-172-31-22-87,rw,/boot,ranking,benchANT
2026-08-12 10:16:20+00:00,disk,free,122815.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,efivarfs,1,efivarfs,ip-172-31-22-87,rw,/sys/firmware/efi/efivars,ranking,benchANT
