time,measurement,field,value,application,batchId,configurationId,executionCounter,host,projectId,userId
2026-08-12 10:13:40+00:00,mem,active,5166518272.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,1,ip-172-31-22-87,ranking,benchANT
2026-08-12 10:13:50+00:00,mem,active,5168971776.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,1,ip-172-31-22-87,ranking,benchANT
2026-08-12 10:14:00+00:00,mem,active,5167419392.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,1,ip-172-31-22-87,ranking,benchANT
2026-08-12 10:14:10+00:00,mem,active,5167689728.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,1,ip-172-31-22-87,ranking,benchANT
2026-08-12 10:14:20+00:00,mem,active,5173264384.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,1,ip-172-31-22-87,ranking,benchANT
2026-08-12 10:14:30+00:00,mem,active,5187825664.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,1,ip-172-31-22-87,ranking,benchANT
2026-08-12 10:14:40+00:00,mem,active,5237796864.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,1,ip-172-31-22-87,ranking,benchANT
2026-08-12 10:14:50+00:00,mem,active,5457014784.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,1,ip-172-31-22-87,ranking,benchANT
2026-08-12 10:15:00+00:00,mem,active,5820919808.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,1,ip-172-31-22-87,ranking,benchANT
2026-08-12 10:15:10+00:00,mem,active,6195281920.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,1,ip-172-31-22-87,ranking,benchANT
2026-08-12 10:15:20+00:00,mem,active,6587752448.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,1,ip-172-31-22-87,ranking,benchANT
2026-08-12 10:15:30+00:00,mem,active,6967996416.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,1,ip-172-31-22-87,ranking,benchANT
2026-08-12 10:15:40+00:00,mem,active,7351222272.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,1,ip-172-31-22-87,ranking,benchANT
2026-08-12 10:15:50+00:00,mem,active,7735054336.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,1,ip-172-31-22-87,ranking,benchANT
2026-08-12 10:16:00+00:00,mem,active,7898451968.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,1,ip-172-31-22-87,ranking,benchANT
2026-08-12 10:16:10+00:00,mem,active,7689965568.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,1,ip-172-31-22-87,ranking,benchANT
2026-08-12 10:16:20+00:00,mem,active,7556497408.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,1,ip-172-31-22-87,ranking,benchANT
2026-08-12 10:16:30+00:00,mem,active,7523311616.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,1,ip-172-31-22-87,ranking,benchANT
2026-08-12 10:16:40+00:00,mem,active,7604051968.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,1,ip-172-31-22-87,ranking,benchANT
2026-08-12 10:16:50+00:00,mem,active,7626952704.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,1,ip-172-31-22-87,ranking,benchANT
2026-08-12 10:17:00+00:00,mem,active,7638118400.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,1,ip-172-31-22-87,ranking,benchANT
2026-08-12 10:17:10+00:00,mem,active,7593299968.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,1,ip-172-31-22-87,ranking,benchANT
2026-08-12 10:17:20+00:00,mem,active,7412445184.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,1,ip-172-31-22-87,ranking,benchANT
2026-08-12 10:17:30+00:00,mem,active,7184199680.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,1,ip-172-31-22-87,ranking,benchANT
2026-08-12 10:17:40+00:00,mem,active,7099990016.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,1,ip-172-31-22-87,ranking,benchANT
2026-08-12 10:17:50+00:00,mem,active,7148683264.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,1,ip-172-31-22-87,ranking,benchANT
2026-08-12 10:18:00+00:00,mem,active,7178592256.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,1,ip-172-31-22-87,ranking,benchANT
2026-08-12 10:18:10+00:00,mem,active,7086972928.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,1,ip-172-31-22-87,ranking,benchANT
2026-08-12 10:18:20+00:00,mem,active,7117201408.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,1,ip-172-31-22-87,ranking,benchANT
2026-08-12 10:18:30+00:00,mem,active,7108907008.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,1,ip-172-31-22-87,ranking,benchANT
2026-08-12 10:18:40+00:00,mem,active,7088607232.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,1,ip-172-31-22-87,ranking,benchANT
2026-08-12 10:18:50+00:00,mem,active,7096201216.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,1,ip-172-31-22-87,ranking,benchANT
2026-08-12 10:19:00+00:00,mem,active,7132164096.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,1,ip-172-31-22-87,ranking,benchANT
2026-08-12 10:19:10+00:00,mem,active,7162892288.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,1,ip-172-31-22-87,ranking,benchANT
2026-08-12 10:19:20+00:00,mem,active,7189221376.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,1,ip-172-31-22-87,ranking,benchANT
2026-08-12 10:19:30+00:00,mem,active,7218368512.0,dbms,08-2026,couchbase-802-vanilla-ce-medium-medium-aws,1,ip-172-31-22-87,ranking,benchANT
