time,measurement,field,value,application,batchId,configurationId,device,executionCounter,fstype,host,mode,path,projectId,userId
2026-08-12 14:00:20+00:00,disk,free,122815.0,dbms,08-2026,couchbase-802-vanilla-ee-large-large-aws,efivarfs,1,efivarfs,ip-172-31-25-249,rw,/sys/firmware/efi/efivars,ranking,benchANT
2026-08-12 14:00:20+00:00,disk,free,94465273856.0,dbms,08-2026,couchbase-802-vanilla-ee-large-large-aws,nvme0n1p1,1,ext4,ip-172-31-25-249,rw,/,ranking,benchANT
2026-08-12 14:00:20+00:00,disk,free,102995968.0,dbms,08-2026,couchbase-802-vanilla-ee-large-large-aws,nvme0n1p15,1,vfat,ip-172-31-25-249,rw,/boot/efi,ranking,benchANT
2026-08-12 14:00:20+00:00,disk,free,760246272.0,dbms,08-2026,couchbase-802-vanilla-ee-large-large-aws,nvme0n1p16,1,ext4,ip-172-31-25-249,rw,/boot,ranking,benchANT
2026-08-12 14:00:30+00:00,disk,free,122815.0,dbms,08-2026,couchbase-802-vanilla-ee-large-large-aws,efivarfs,1,efivarfs,ip-172-31-25-249,rw,/sys/firmware/efi/efivars,ranking,benchANT
2026-08-12 14:00:30+00:00,disk,free,94464548864.0,dbms,08-2026,couchbase-802-vanilla-ee-large-large-aws,nvme0n1p1,1,ext4,ip-172-31-25-249,rw,/,ranking,benchANT
2026-08-12 14:00:30+00:00,disk,free,102995968.0,dbms,08-2026,couchbase-802-vanilla-ee-large-large-aws,nvme0n1p15,1,vfat,ip-172-31-25-249,rw,/boot/efi,ranking,benchANT
2026-08-12 14:00:30+00:00,disk,free,760246272.0,dbms,08-2026,couchbase-802-vanilla-ee-large-large-aws,nvme0n1p16,1,ext4,ip-172-31-25-249,rw,/boot,ranking,benchANT
2026-08-12 14:00:40+00:00,disk,free,122815.0,dbms,08-2026,couchbase-802-vanilla-ee-large-large-aws,efivarfs,1,efivarfs,ip-172-31-25-249,rw,/sys/firmware/efi/efivars,ranking,benchANT
2026-08-12 14:00:40+00:00,disk,free,94464528384.0,dbms,08-2026,couchbase-802-vanilla-ee-large-large-aws,nvme0n1p1,1,ext4,ip-172-31-25-249,rw,/,ranking,benchANT
2026-08-12 14:00:40+00:00,disk,free,102995968.0,dbms,08-2026,couchbase-802-vanilla-ee-large-large-aws,nvme0n1p15,1,vfat,ip-172-31-25-249,rw,/boot/efi,ranking,benchANT
2026-08-12 14:00:40+00:00,disk,free,760246272.0,dbms,08-2026,couchbase-802-vanilla-ee-large-large-aws,nvme0n1p16,1,ext4,ip-172-31-25-249,rw,/boot,ranking,benchANT
2026-08-12 14:00:50+00:00,disk,free,122815.0,dbms,08-2026,couchbase-802-vanilla-ee-large-large-aws,efivarfs,1,efivarfs,ip-172-31-25-249,rw,/sys/firmware/efi/efivars,ranking,benchANT
2026-08-12 14:00:50+00:00,disk,free,94464163840.0,dbms,08-2026,couchbase-802-vanilla-ee-large-large-aws,nvme0n1p1,1,ext4,ip-172-31-25-249,rw,/,ranking,benchANT
2026-08-12 14:00:50+00:00,disk,free,102995968.0,dbms,08-2026,couchbase-802-vanilla-ee-large-large-aws,nvme0n1p15,1,vfat,ip-172-31-25-249,rw,/boot/efi,ranking,benchANT
2026-08-12 14:00:50+00:00,disk,free,760246272.0,dbms,08-2026,couchbase-802-vanilla-ee-large-large-aws,nvme0n1p16,1,ext4,ip-172-31-25-249,rw,/boot,ranking,benchANT
2026-08-12 14:01:00+00:00,disk,free,122815.0,dbms,08-2026,couchbase-802-vanilla-ee-large-large-aws,efivarfs,1,efivarfs,ip-172-31-25-249,rw,/sys/firmware/efi/efivars,ranking,benchANT
2026-08-12 14:01:00+00:00,disk,free,94462214144.0,dbms,08-2026,couchbase-802-vanilla-ee-large-large-aws,nvme0n1p1,1,ext4,ip-172-31-25-249,rw,/,ranking,benchANT
2026-08-12 14:01:00+00:00,disk,free,102995968.0,dbms,08-2026,couchbase-802-vanilla-ee-large-large-aws,nvme0n1p15,1,vfat,ip-172-31-25-249,rw,/boot/efi,ranking,benchANT
2026-08-12 14:01:00+00:00,disk,free,760246272.0,dbms,08-2026,couchbase-802-vanilla-ee-large-large-aws,nvme0n1p16,1,ext4,ip-172-31-25-249,rw,/boot,ranking,benchANT
2026-08-12 14:01:10+00:00,disk,free,122815.0,dbms,08-2026,couchbase-802-vanilla-ee-large-large-aws,efivarfs,1,efivarfs,ip-172-31-25-249,rw,/sys/firmware/efi/efivars,ranking,benchANT
2026-08-12 14:01:10+00:00,disk,free,94457528320.0,dbms,08-2026,couchbase-802-vanilla-ee-large-large-aws,nvme0n1p1,1,ext4,ip-172-31-25-249,rw,/,ranking,benchANT
2026-08-12 14:01:10+00:00,disk,free,102995968.0,dbms,08-2026,couchbase-802-vanilla-ee-large-large-aws,nvme0n1p15,1,vfat,ip-172-31-25-249,rw,/boot/efi,ranking,benchANT
2026-08-12 14:01:10+00:00,disk,free,760246272.0,dbms,08-2026,couchbase-802-vanilla-ee-large-large-aws,nvme0n1p16,1,ext4,ip-172-31-25-249,rw,/boot,ranking,benchANT
2026-08-12 14:01:20+00:00,disk,free,122815.0,dbms,08-2026,couchbase-802-vanilla-ee-large-large-aws,efivarfs,1,efivarfs,ip-172-31-25-249,rw,/sys/firmware/efi/efivars,ranking,benchANT
2026-08-12 14:01:20+00:00,disk,free,94439809024.0,dbms,08-2026,couchbase-802-vanilla-ee-large-large-aws,nvme0n1p1,1,ext4,ip-172-31-25-249,rw,/,ranking,benchANT
2026-08-12 14:01:20+00:00,disk,free,102995968.0,dbms,08-2026,couchbase-802-vanilla-ee-large-large-aws,nvme0n1p15,1,vfat,ip-172-31-25-249,rw,/boot/efi,ranking,benchANT
2026-08-12 14:01:20+00:00,disk,free,760246272.0,dbms,08-2026,couchbase-802-vanilla-ee-large-large-aws,nvme0n1p16,1,ext4,ip-172-31-25-249,rw,/boot,ranking,benchANT
2026-08-12 14:01:30+00:00,disk,free,122815.0,dbms,08-2026,couchbase-802-vanilla-ee-large-large-aws,efivarfs,1,efivarfs,ip-172-31-25-249,rw,/sys/firmware/efi/efivars,ranking,benchANT
2026-08-12 14:01:30+00:00,disk,free,94391975936.0,dbms,08-2026,couchbase-802-vanilla-ee-large-large-aws,nvme0n1p1,1,ext4,ip-172-31-25-249,rw,/,ranking,benchANT
2026-08-12 14:01:30+00:00,disk,free,102995968.0,dbms,08-2026,couchbase-802-vanilla-ee-large-large-aws,nvme0n1p15,1,vfat,ip-172-31-25-249,rw,/boot/efi,ranking,benchANT
2026-08-12 14:01:30+00:00,disk,free,760246272.0,dbms,08-2026,couchbase-802-vanilla-ee-large-large-aws,nvme0n1p16,1,ext4,ip-172-31-25-249,rw,/boot,ranking,benchANT
2026-08-12 14:01:40+00:00,disk,free,122815.0,dbms,08-2026,couchbase-802-vanilla-ee-large-large-aws,efivarfs,1,efivarfs,ip-172-31-25-249,rw,/sys/firmware/efi/efivars,ranking,benchANT
2026-08-12 14:01:40+00:00,disk,free,94303514624.0,dbms,08-2026,couchbase-802-vanilla-ee-large-large-aws,nvme0n1p1,1,ext4,ip-172-31-25-249,rw,/,ranking,benchANT
2026-08-12 14:01:40+00:00,disk,free,102995968.0,dbms,08-2026,couchbase-802-vanilla-ee-large-large-aws,nvme0n1p15,1,vfat,ip-172-31-25-249,rw,/boot/efi,ranking,benchANT
2026-08-12 14:01:40+00:00,disk,free,760246272.0,dbms,08-2026,couchbase-802-vanilla-ee-large-large-aws,nvme0n1p16,1,ext4,ip-172-31-25-249,rw,/boot,ranking,benchANT
2026-08-12 14:01:50+00:00,disk,free,122815.0,dbms,08-2026,couchbase-802-vanilla-ee-large-large-aws,efivarfs,1,efivarfs,ip-172-31-25-249,rw,/sys/firmware/efi/efivars,ranking,benchANT
2026-08-12 14:01:50+00:00,disk,free,93913948160.0,dbms,08-2026,couchbase-802-vanilla-ee-large-large-aws,nvme0n1p1,1,ext4,ip-172-31-25-249,rw,/,ranking,benchANT
2026-08-12 14:01:50+00:00,disk,free,102995968.0,dbms,08-2026,couchbase-802-vanilla-ee-large-large-aws,nvme0n1p15,1,vfat,ip-172-31-25-249,rw,/boot/efi,ranking,benchANT
2026-08-12 14:01:50+00:00,disk,free,760246272.0,dbms,08-2026,couchbase-802-vanilla-ee-large-large-aws,nvme0n1p16,1,ext4,ip-172-31-25-249,rw,/boot,ranking,benchANT
