time,measurement,field,value,application,batchId,configurationId,executionCounter,host,name,projectId,userId
2026-08-12 10:30:30+00:00,diskio,io_time,64,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,1,ip-172-31-29-153,loop0,ranking,benchANT
2026-08-12 10:30:30+00:00,diskio,io_time,24,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,1,ip-172-31-29-153,loop1,ranking,benchANT
2026-08-12 10:30:30+00:00,diskio,io_time,334,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,1,ip-172-31-29-153,loop2,ranking,benchANT
2026-08-12 10:30:30+00:00,diskio,io_time,0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,1,ip-172-31-29-153,loop3,ranking,benchANT
2026-08-12 10:30:30+00:00,diskio,io_time,80775,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,1,ip-172-31-29-153,nvme0n1,ranking,benchANT
2026-08-12 10:30:30+00:00,diskio,io_time,96757,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,1,ip-172-31-29-153,nvme0n1p1,ranking,benchANT
2026-08-12 10:30:30+00:00,diskio,io_time,88,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,1,ip-172-31-29-153,nvme0n1p14,ranking,benchANT
2026-08-12 10:30:30+00:00,diskio,io_time,119,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,1,ip-172-31-29-153,nvme0n1p15,ranking,benchANT
2026-08-12 10:30:30+00:00,diskio,io_time,130,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,1,ip-172-31-29-153,nvme0n1p16,ranking,benchANT
2026-08-12 10:30:40+00:00,diskio,io_time,64,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,1,ip-172-31-29-153,loop0,ranking,benchANT
2026-08-12 10:30:40+00:00,diskio,io_time,24,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,1,ip-172-31-29-153,loop1,ranking,benchANT
2026-08-12 10:30:40+00:00,diskio,io_time,334,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,1,ip-172-31-29-153,loop2,ranking,benchANT
2026-08-12 10:30:40+00:00,diskio,io_time,0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,1,ip-172-31-29-153,loop3,ranking,benchANT
2026-08-12 10:30:40+00:00,diskio,io_time,81210,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,1,ip-172-31-29-153,nvme0n1,ranking,benchANT
2026-08-12 10:30:40+00:00,diskio,io_time,97210,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,1,ip-172-31-29-153,nvme0n1p1,ranking,benchANT
2026-08-12 10:30:40+00:00,diskio,io_time,88,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,1,ip-172-31-29-153,nvme0n1p14,ranking,benchANT
2026-08-12 10:30:40+00:00,diskio,io_time,119,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,1,ip-172-31-29-153,nvme0n1p15,ranking,benchANT
2026-08-12 10:30:40+00:00,diskio,io_time,130,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,1,ip-172-31-29-153,nvme0n1p16,ranking,benchANT
2026-08-12 10:30:50+00:00,diskio,io_time,64,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,1,ip-172-31-29-153,loop0,ranking,benchANT
2026-08-12 10:30:50+00:00,diskio,io_time,24,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,1,ip-172-31-29-153,loop1,ranking,benchANT
2026-08-12 10:30:50+00:00,diskio,io_time,334,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,1,ip-172-31-29-153,loop2,ranking,benchANT
