time,measurement,field,value,application,batchId,configurationId,executionCounter,host,projectId,userId
2026-08-12 10:30:30+00:00,mem,active,5162151936.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:30:40+00:00,mem,active,5162176512.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:30:50+00:00,mem,active,5162905600.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:31:00+00:00,mem,active,5163855872.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:31:10+00:00,mem,active,5164912640.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:31:20+00:00,mem,active,5178167296.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:31:30+00:00,mem,active,5236375552.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:31:40+00:00,mem,active,5531635712.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:31:50+00:00,mem,active,5961191424.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:32:00+00:00,mem,active,6408724480.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:32:10+00:00,mem,active,6836015104.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,1,ip-172-31-29-153,ranking,benchANT
2026-08-12 10:32:20+00:00,mem,active,7302537216.0,dbms,08-2026,couchbase-802-vanilla-ee-small-medium-aws,1,ip-172-31-29-153,ranking,benchANT
