time,measurement,field,value,application,batchId,configurationId,cpu,executionCounter,host,projectId,userId
2026-08-12 09:35:50+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-xsmall-small-aws,cpu-total,1,ip-172-31-25-22,ranking,benchANT
2026-08-12 09:35:50+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-xsmall-small-aws,cpu0,1,ip-172-31-25-22,ranking,benchANT
2026-08-12 09:35:50+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-xsmall-small-aws,cpu1,1,ip-172-31-25-22,ranking,benchANT
2026-08-12 09:36:00+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-xsmall-small-aws,cpu-total,1,ip-172-31-25-22,ranking,benchANT
2026-08-12 09:36:00+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-xsmall-small-aws,cpu0,1,ip-172-31-25-22,ranking,benchANT
2026-08-12 09:36:00+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-xsmall-small-aws,cpu1,1,ip-172-31-25-22,ranking,benchANT
2026-08-12 09:36:10+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-xsmall-small-aws,cpu-total,1,ip-172-31-25-22,ranking,benchANT
2026-08-12 09:36:10+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-xsmall-small-aws,cpu0,1,ip-172-31-25-22,ranking,benchANT
2026-08-12 09:36:10+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-xsmall-small-aws,cpu1,1,ip-172-31-25-22,ranking,benchANT
2026-08-12 09:36:20+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-xsmall-small-aws,cpu-total,1,ip-172-31-25-22,ranking,benchANT
2026-08-12 09:36:20+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-xsmall-small-aws,cpu0,1,ip-172-31-25-22,ranking,benchANT
2026-08-12 09:36:20+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-xsmall-small-aws,cpu1,1,ip-172-31-25-22,ranking,benchANT
2026-08-12 09:36:30+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-xsmall-small-aws,cpu-total,1,ip-172-31-25-22,ranking,benchANT
2026-08-12 09:36:30+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-xsmall-small-aws,cpu0,1,ip-172-31-25-22,ranking,benchANT
2026-08-12 09:36:30+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-xsmall-small-aws,cpu1,1,ip-172-31-25-22,ranking,benchANT
2026-08-12 09:36:40+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-xsmall-small-aws,cpu-total,1,ip-172-31-25-22,ranking,benchANT
2026-08-12 09:36:40+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-xsmall-small-aws,cpu0,1,ip-172-31-25-22,ranking,benchANT
2026-08-12 09:36:40+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-xsmall-small-aws,cpu1,1,ip-172-31-25-22,ranking,benchANT
2026-08-12 09:36:50+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-xsmall-small-aws,cpu-total,1,ip-172-31-25-22,ranking,benchANT
2026-08-12 09:36:50+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-xsmall-small-aws,cpu0,1,ip-172-31-25-22,ranking,benchANT
2026-08-12 09:36:50+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-xsmall-small-aws,cpu1,1,ip-172-31-25-22,ranking,benchANT
2026-08-12 09:37:00+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-xsmall-small-aws,cpu-total,1,ip-172-31-25-22,ranking,benchANT
2026-08-12 09:37:00+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-xsmall-small-aws,cpu0,1,ip-172-31-25-22,ranking,benchANT
2026-08-12 09:37:00+00:00,cpu,usage_guest,0.0,dbms,08-2026,couchbase-802-vanilla-ee-xsmall-small-aws,cpu1,1,ip-172-31-25-22,ranking,benchANT
