time,measurement,field,value,application,batchId,configurationId,executionCounter,host,projectId,userId
2026-08-12 09:35:50+00:00,system,load1,0.06,dbms,08-2026,couchbase-802-vanilla-ee-xsmall-small-aws,1,ip-172-31-25-22,ranking,benchANT
2026-08-12 09:36:00+00:00,system,load1,0.05,dbms,08-2026,couchbase-802-vanilla-ee-xsmall-small-aws,1,ip-172-31-25-22,ranking,benchANT
2026-08-12 09:36:10+00:00,system,load1,0.04,dbms,08-2026,couchbase-802-vanilla-ee-xsmall-small-aws,1,ip-172-31-25-22,ranking,benchANT
2026-08-12 09:36:20+00:00,system,load1,0.03,dbms,08-2026,couchbase-802-vanilla-ee-xsmall-small-aws,1,ip-172-31-25-22,ranking,benchANT
2026-08-12 09:36:30+00:00,system,load1,0.03,dbms,08-2026,couchbase-802-vanilla-ee-xsmall-small-aws,1,ip-172-31-25-22,ranking,benchANT
2026-08-12 09:36:40+00:00,system,load1,0.48,dbms,08-2026,couchbase-802-vanilla-ee-xsmall-small-aws,1,ip-172-31-25-22,ranking,benchANT
2026-08-12 09:36:50+00:00,system,load1,0.87,dbms,08-2026,couchbase-802-vanilla-ee-xsmall-small-aws,1,ip-172-31-25-22,ranking,benchANT
2026-08-12 09:37:00+00:00,system,load1,1.2,dbms,08-2026,couchbase-802-vanilla-ee-xsmall-small-aws,1,ip-172-31-25-22,ranking,benchANT
2026-08-12 09:37:10+00:00,system,load1,1.56,dbms,08-2026,couchbase-802-vanilla-ee-xsmall-small-aws,1,ip-172-31-25-22,ranking,benchANT
2026-08-12 09:37:20+00:00,system,load1,2.17,dbms,08-2026,couchbase-802-vanilla-ee-xsmall-small-aws,1,ip-172-31-25-22,ranking,benchANT
2026-08-12 09:37:30+00:00,system,load1,2.6,dbms,08-2026,couchbase-802-vanilla-ee-xsmall-small-aws,1,ip-172-31-25-22,ranking,benchANT
2026-08-12 09:37:40+00:00,system,load1,2.97,dbms,08-2026,couchbase-802-vanilla-ee-xsmall-small-aws,1,ip-172-31-25-22,ranking,benchANT
2026-08-12 09:37:50+00:00,system,load1,3.28,dbms,08-2026,couchbase-802-vanilla-ee-xsmall-small-aws,1,ip-172-31-25-22,ranking,benchANT
2026-08-12 09:38:00+00:00,system,load1,3.55,dbms,08-2026,couchbase-802-vanilla-ee-xsmall-small-aws,1,ip-172-31-25-22,ranking,benchANT
2026-08-12 09:38:10+00:00,system,load1,4.0,dbms,08-2026,couchbase-802-vanilla-ee-xsmall-small-aws,1,ip-172-31-25-22,ranking,benchANT
2026-08-12 09:38:20+00:00,system,load1,4.31,dbms,08-2026,couchbase-802-vanilla-ee-xsmall-small-aws,1,ip-172-31-25-22,ranking,benchANT
2026-08-12 09:38:30+00:00,system,load1,4.41,dbms,08-2026,couchbase-802-vanilla-ee-xsmall-small-aws,1,ip-172-31-25-22,ranking,benchANT
2026-08-12 09:38:40+00:00,system,load1,4.51,dbms,08-2026,couchbase-802-vanilla-ee-xsmall-small-aws,1,ip-172-31-25-22,ranking,benchANT
2026-08-12 09:38:50+00:00,system,load1,4.97,dbms,08-2026,couchbase-802-vanilla-ee-xsmall-small-aws,1,ip-172-31-25-22,ranking,benchANT
2026-08-12 09:39:00+00:00,system,load1,5.21,dbms,08-2026,couchbase-802-vanilla-ee-xsmall-small-aws,1,ip-172-31-25-22,ranking,benchANT
2026-08-12 09:39:10+00:00,system,load1,5.42,dbms,08-2026,couchbase-802-vanilla-ee-xsmall-small-aws,1,ip-172-31-25-22,ranking,benchANT
