Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,71.000,130.087,65.851,104.403,122.498,145.488,171.505,203.464,284.204,350.900,0.008
10,90.200,113.144,62.585,92.967,108.432,126.686,150.506,168.734,213.582,299.438,0.009
20,98.800,106.183,60.921,88.236,101.420,118.328,138.993,152.209,190.399,289.139,0.009
30,101.400,100.631,57.049,85.004,97.717,111.990,128.865,138.959,166.173,291.305,0.010
40,102.200,101.595,55.435,85.723,98.146,111.941,132.315,145.386,163.616,322.520,0.010
50,81.700,107.229,55.657,90.045,102.636,121.163,139.966,152.133,188.818,237.172,0.009
60,100.600,98.275,57.420,85.035,94.400,107.723,126.047,135.780,157.165,318.287,0.010
70,104.000,99.296,59.672,83.880,94.036,108.708,127.482,138.632,188.915,305.736,0.010
80,110.900,98.187,56.804,82.908,93.348,107.103,124.899,135.690,186.487,300.689,0.010
90,108.200,95.221,59.256,83.134,92.482,104.036,117.642,128.070,151.300,231.148,0.011
100,67.400,147.850,57.156,106.445,137.789,173.821,229.324,256.186,298.860,373.128,0.007
110,94.900,109.532,61.077,86.648,99.664,123.435,154.143,175.047,213.096,279.612,0.009
120,72.100,135.952,61.108,104.043,124.706,155.515,202.398,232.512,293.787,375.919,0.007
130,84.900,118.936,59.199,95.263,110.910,135.199,165.029,184.646,237.022,315.788,0.008
140,84.100,123.366,57.778,99.512,115.866,139.029,168.710,190.138,242.303,335.522,0.008
150,92.000,105.991,61.995,90.225,101.791,116.171,136.858,153.865,187.252,250.701,0.009
160,99.500,102.770,60.506,87.409,98.923,113.685,135.568,145.910,176.702,248.023,0.010
170,96.500,104.071,58.913,87.318,98.396,115.763,134.206,148.795,187.742,290.799,0.010
180,98.800,104.440,56.928,87.622,99.480,117.269,136.415,152.952,181.897,211.073,0.010
190,103.000,100.019,61.680,84.289,95.613,109.487,131.064,145.208,174.522,207.349,0.010
200,104.600,97.752,59.684,84.329,94.653,106.585,123.802,135.966,165.977,219.322,0.010
210,88.600,106.370,57.877,88.107,100.191,119.800,144.025,157.740,179.890,205.609,0.009
220,105.100,98.269,59.113,82.670,93.823,108.635,130.346,141.693,160.359,329.689,0.010
230,101.600,97.442,55.468,83.309,93.384,107.634,124.233,138.142,171.576,193.787,0.010
240,84.900,118.424,57.766,88.185,104.004,132.364,180.970,221.002,285.918,422.977,0.008
250,81.600,124.694,65.914,99.476,115.524,137.738,176.818,199.965,268.640,322.054,0.008
260,85.400,114.593,59.723,94.232,107.750,126.284,149.430,175.298,247.160,332.146,0.009
270,93.700,107.705,62.393,90.248,102.044,118.692,141.986,159.492,208.699,275.061,0.009
280,99.600,105.776,61.068,89.013,100.867,115.796,135.569,149.755,203.235,321.121,0.009
290,98.900,104.190,62.535,87.037,99.047,114.659,136.247,152.818,188.990,329.495,0.010
300,85.000,109.276,62.899,90.024,103.601,124.268,147.279,162.570,197.562,325.174,0.009
310,96.100,102.153,60.017,86.103,96.544,112.994,135.593,154.395,182.593,293.041,0.010
320,99.500,100.455,60.589,85.947,96.280,110.850,130.129,143.494,169.537,208.212,0.010
330,100.200,98.072,57.149,83.952,94.722,108.980,127.465,137.866,156.903,190.287,0.010
340,100.700,97.919,59.800,83.480,92.931,106.499,126.628,141.482,180.779,320.994,0.010
350,109.400,98.257,55.018,83.072,92.807,107.646,126.350,143.567,179.858,301.983,0.010
