Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,72.400,9.028,2.631,5.438,8.175,11.237,15.504,18.030,24.969,33.759,0.111
10,88.000,6.790,2.326,3.962,5.620,8.140,11.605,14.671,23.539,37.627,0.147
20,91.200,6.053,2.432,3.602,5.115,7.353,10.723,13.178,18.881,24.893,0.165
30,107.800,5.471,2.163,3.438,4.625,6.673,9.159,10.905,16.110,46.813,0.183
40,96.200,5.444,2.187,3.468,4.710,6.388,9.182,11.350,15.860,20.684,0.184
50,90.500,6.007,2.126,3.629,4.980,7.392,10.650,12.783,17.436,29.771,0.166
60,106.700,5.399,2.070,3.408,4.660,6.456,8.901,10.789,14.827,27.913,0.185
70,103.600,5.667,2.281,3.587,4.828,6.627,9.597,11.896,18.126,29.531,0.176
80,105.000,5.489,2.165,3.384,4.589,6.442,9.050,11.141,15.789,62.227,0.182
90,108.100,5.353,2.034,3.440,4.704,6.454,8.829,10.697,14.447,22.520,0.187
100,72.500,8.540,2.150,3.928,5.877,9.832,17.107,23.438,39.204,82.390,0.117
110,95.200,6.034,2.275,3.501,4.874,7.084,10.138,14.042,22.363,36.728,0.166
120,69.300,7.709,2.507,4.010,5.784,8.937,14.822,18.714,34.175,43.848,0.130
130,85.700,6.778,2.281,3.824,5.340,8.029,12.272,15.571,26.477,35.463,0.148
140,81.000,6.807,2.360,3.891,5.462,8.123,12.263,15.554,23.610,46.166,0.147
150,101.800,5.931,2.233,3.640,4.958,7.008,10.204,12.995,18.801,30.481,0.169
160,93.400,5.863,2.031,3.520,4.783,6.781,10.006,12.612,20.015,44.287,0.171
170,96.400,5.621,2.194,3.552,4.694,6.754,9.396,11.890,16.906,24.257,0.178
180,101.100,5.386,2.204,3.426,4.522,6.249,8.769,11.709,17.413,22.988,0.186
190,96.400,5.638,2.238,3.453,4.686,6.647,9.553,11.832,17.910,26.837,0.177
200,104.500,5.375,2.252,3.399,4.555,6.309,9.068,11.157,14.814,28.032,0.186
210,86.400,5.498,2.036,3.454,4.646,6.314,9.037,11.691,17.385,34.968,0.182
220,104.400,5.488,2.164,3.419,4.537,6.518,8.929,11.786,16.228,55.753,0.182
230,102.000,5.485,2.243,3.464,4.586,6.474,9.506,11.418,17.013,22.860,0.182
240,79.100,6.430,2.224,3.588,4.937,7.682,11.308,14.773,27.505,34.843,0.156
250,84.600,7.643,2.209,4.005,5.782,8.851,13.934,18.796,34.187,97.025,0.131
260,89.100,6.626,2.226,3.716,5.179,7.760,11.922,15.511,25.379,45.281,0.151
270,91.400,6.104,2.177,3.487,4.611,7.096,11.121,14.304,23.534,45.482,0.164
280,94.600,5.842,2.102,3.585,4.774,6.600,10.215,12.511,19.734,33.416,0.171
290,103.700,5.725,2.268,3.386,4.588,6.378,10.300,12.929,19.568,51.498,0.175
300,87.600,5.899,2.161,3.520,4.753,6.818,10.575,13.742,19.775,44.002,0.170
310,92.800,5.916,2.295,3.545,4.687,6.826,10.617,13.836,20.485,41.659,0.169
320,96.600,5.650,2.141,3.391,4.657,6.599,10.107,12.884,18.081,30.213,0.177
330,103.300,5.555,2.250,3.401,4.481,6.583,10.107,11.532,15.990,33.733,0.180
340,105.700,5.339,2.102,3.360,4.526,6.173,8.590,11.337,17.797,35.405,0.187
350,103.200,5.390,2.125,3.459,4.460,6.244,8.790,11.479,18.051,31.756,0.186
360,99.400,5.440,2.197,3.355,4.585,6.501,8.927,11.031,17.226,32.458,0.184
370,99.600,5.726,2.091,3.473,4.748,6.678,9.852,11.872,21.378,43.244,0.175
380,65.000,8.175,2.168,4.112,5.882,10.086,15.944,19.706,32.620,67.170,0.122
390,87.000,6.390,2.145,3.529,4.968,7.430,12.128,15.027,24.866,38.794,0.156
400,98.800,6.411,2.108,3.533,4.863,7.543,11.122,15.433,26.856,71.853,0.156
410,93.600,6.044,2.176,3.618,4.900,7.143,10.682,13.460,20.252,46.484,0.165
420,103.100,5.845,2.144,3.555,4.685,6.620,10.313,13.515,18.811,40.245,0.171
430,98.200,5.997,2.217,3.603,4.868,6.956,10.319,13.442,21.290,31.284,0.167
440,95.000,5.785,2.256,3.523,4.767,6.930,9.759,12.356,18.150,31.627,0.173
450,106.800,5.676,2.122,3.456,4.632,6.519,10.020,12.375,18.419,34.115,0.176
460,103.800,5.573,2.247,3.455,4.522,6.443,9.476,11.720,18.062,45.811,0.179
470,88.100,5.848,2.243,3.524,4.709,6.714,9.837,12.912,18.182,83.926,0.171
480,94.700,5.608,2.207,3.527,4.585,6.716,9.532,11.909,16.475,41.758,0.178
490,108.300,5.421,2.088,3.440,4.409,6.445,9.149,11.204,17.864,33.537,0.184
500,108.900,5.397,2.130,3.404,4.559,6.421,8.885,11.205,15.482,56.132,0.185
510,78.900,7.315,2.154,3.690,5.330,8.396,14.118,20.531,31.954,44.885,0.137
520,86.000,6.714,2.279,3.899,5.248,7.553,11.673,16.459,27.002,35.699,0.149
530,93.500,6.566,2.092,3.686,5.195,7.586,11.349,15.274,24.869,54.297,0.152
540,94.900,5.895,2.210,3.534,4.791,7.055,10.016,12.713,20.554,43.660,0.170
550,93.400,5.888,2.188,3.565,4.869,7.058,10.026,11.946,18.751,34.351,0.170
560,88.800,6.208,2.160,3.610,5.056,7.280,10.971,14.685,21.515,28.202,0.161
570,91.600,5.708,2.055,3.547,4.745,6.768,9.810,11.807,18.256,24.652,0.175
580,105.700,5.582,2.202,3.500,4.647,6.670,9.432,11.871,15.859,33.015,0.179
590,104.400,5.667,2.151,3.487,4.679,6.608,9.644,12.496,18.858,37.333,0.176
600,93.900,5.807,2.269,3.613,4.812,6.790,10.179,12.579,18.828,33.367,0.172
610,98.300,5.855,2.350,3.520,4.942,7.073,9.927,12.330,16.829,28.402,0.171
620,104.000,5.611,2.189,3.469,4.643,6.631,9.362,11.909,18.899,30.676,0.178
630,91.400,5.532,2.026,3.449,4.664,6.572,9.452,11.842,15.509,30.071,0.181
640,83.100,6.547,2.289,3.538,5.076,7.779,12.325,15.432,23.641,37.494,0.153
650,78.400,7.290,2.243,3.865,5.582,8.962,13.764,17.658,24.165,40.240,0.137
660,97.200,6.171,2.095,3.591,4.922,7.290,10.999,13.841,19.978,38.003,0.162
670,89.900,5.870,2.145,3.466,4.673,7.114,10.123,12.246,21.186,43.410,0.170
680,92.500,5.849,2.046,3.541,4.845,7.091,10.195,12.399,17.864,26.463,0.171
690,98.400,5.664,2.189,3.462,4.614,6.690,9.748,12.377,17.570,28.243,0.177
700,108.400,5.593,2.032,3.474,4.569,6.593,9.445,11.839,18.898,52.091,0.179
710,94.400,6.139,2.151,3.602,4.978,7.446,10.637,14.014,18.694,37.865,0.163
720,94.400,5.726,2.287,3.555,4.752,6.757,9.660,11.974,19.341,37.300,0.175
730,94.300,6.054,2.277,3.556,4.802,6.956,10.596,13.518,21.024,62.327,0.165
740,106.200,5.465,2.323,3.451,4.517,6.339,8.862,11.270,18.168,63.069,0.183
750,103.200,5.586,2.224,3.456,4.551,6.725,9.714,11.999,15.151,33.578,0.179
760,107.700,5.406,2.019,3.451,4.536,6.360,9.093,11.139,16.477,25.208,0.185
770,103.800,5.583,2.215,3.389,4.606,6.622,9.852,11.934,17.208,28.012,0.179
780,77.800,7.126,2.400,4.059,5.562,8.477,12.453,16.236,28.572,42.547,0.140
790,90.200,6.531,2.351,3.827,5.271,7.830,11.928,14.799,19.973,41.587,0.153
800,82.100,6.581,2.349,3.791,5.250,7.828,11.516,14.739,24.037,37.296,0.152
810,93.000,6.067,2.185,3.622,4.830,7.135,10.140,13.594,20.578,47.617,0.165
820,95.800,5.827,2.050,3.471,4.684,6.955,10.071,12.684,19.297,38.839,0.172
830,100.300,5.708,2.104,3.472,4.577,6.573,9.438,12.676,20.137,98.644,0.175
840,104.600,5.667,2.171,3.435,4.725,6.730,9.843,12.420,17.318,26.102,0.176
850,102.500,5.575,2.061,3.463,4.613,6.458,9.237,11.660,18.820,34.927,0.179
860,98.400,6.274,2.255,3.686,5.322,7.554,10.949,13.022,21.233,26.310,0.159
870,103.100,5.632,2.124,3.538,4.694,6.674,9.366,11.894,18.111,24.197,0.178
880,98.600,5.731,2.128,3.507,4.747,6.698,9.993,12.195,18.049,23.976,0.174
890,81.100,6.011,2.252,3.524,4.948,7.176,10.787,13.545,17.808,34.238,0.166
900,91.800,5.934,2.252,3.489,4.726,6.894,10.393,13.324,19.963,33.869,0.169
910,69.300,7.218,2.427,3.891,5.972,8.772,13.321,16.041,26.049,43.380,0.139
920,83.200,7.117,2.295,3.940,5.455,8.803,12.812,15.545,28.124,42.148,0.141
930,83.700,6.806,2.281,3.786,5.467,8.134,12.083,15.256,25.645,36.341,0.147
940,88.300,6.154,2.178,3.597,4.950,7.331,10.523,13.408,20.916,42.988,0.163
950,85.100,6.325,2.214,3.676,5.174,7.525,11.214,13.454,19.757,67.623,0.158
960,96.500,5.955,2.180,3.611,4.887,7.202,10.456,12.587,19.078,24.065,0.168
970,97.600,6.015,2.077,3.615,4.887,6.963,10.306,13.606,21.236,43.591,0.166
