Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1789.300,41.643,2.631,16.163,30.407,55.805,83.609,113.212,173.076,350.900,0.024
10,2255.900,33.238,2.326,13.647,24.853,45.792,63.945,83.260,129.088,299.438,0.030
20,2394.000,31.364,2.432,13.109,23.490,43.240,59.880,78.262,121.209,289.139,0.032
30,2525.500,29.663,2.163,12.595,22.215,41.252,56.388,73.012,114.152,291.305,0.034
40,2444.000,30.738,2.187,12.404,22.640,41.539,58.852,82.887,125.798,343.669,0.033
50,2229.800,33.574,2.126,12.868,24.740,44.803,68.580,94.317,137.197,237.172,0.030
60,2570.800,29.161,2.070,12.078,21.849,39.985,54.500,73.558,115.769,330.290,0.034
70,2616.300,28.671,2.281,11.980,21.626,39.808,53.605,71.145,109.834,305.736,0.035
80,2622.200,28.603,2.165,11.765,21.996,39.606,53.610,71.099,110.097,300.689,0.035
90,2706.800,27.702,2.034,11.648,20.416,38.970,52.128,67.690,104.497,231.148,0.036
100,1766.400,42.441,2.150,14.739,31.083,57.356,90.135,115.410,180.413,373.128,0.024
110,2293.900,32.746,2.275,12.534,24.821,44.119,66.377,87.813,132.027,279.612,0.031
120,1748.100,42.896,2.507,15.834,30.264,56.109,89.407,122.558,200.055,375.919,0.023
130,2121.700,35.302,2.281,13.920,26.897,48.192,69.592,90.930,141.956,315.788,0.028
140,2030.600,36.941,2.360,13.895,25.669,48.345,76.556,108.952,163.372,335.522,0.027
150,2418.200,31.007,2.233,12.910,23.470,43.131,59.160,76.972,116.508,250.701,0.032
160,2468.000,30.397,2.031,12.501,23.375,41.890,58.498,75.969,115.841,266.801,0.033
170,2481.600,30.203,2.194,12.438,22.894,41.710,57.967,75.927,115.909,290.799,0.033
180,2447.700,30.664,2.204,12.440,22.705,41.890,58.143,80.930,126.148,237.929,0.033
190,2528.100,29.641,2.238,12.216,22.616,41.311,56.908,74.352,110.031,207.349,0.034
200,2590.600,28.964,2.252,12.038,22.144,40.301,55.042,71.391,108.488,261.288,0.035
210,2309.600,32.469,2.036,12.437,22.937,42.655,65.739,94.394,141.999,352.414,0.031
220,2601.400,28.828,2.164,11.790,22.026,40.148,54.944,71.773,109.662,329.689,0.035
230,2594.400,28.904,2.243,11.678,21.628,39.574,55.179,76.674,114.851,193.787,0.035
240,2056.600,36.498,2.224,12.832,25.775,45.481,75.618,105.097,194.194,422.977,0.027
250,1959.000,38.250,2.209,14.847,29.076,51.870,77.541,100.812,153.326,322.054,0.026
260,2210.400,33.935,2.226,13.492,25.721,46.487,66.854,88.241,130.171,332.146,0.029
