Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,98.400,97.503,49.959,79.117,94.283,111.570,126.608,136.817,207.074,270.437,0.010
10,98.000,97.410,47.720,75.721,90.465,109.304,140.014,164.693,226.714,322.179,0.010
20,113.400,85.007,46.504,71.069,82.145,94.912,108.689,118.650,154.452,273.339,0.012
30,121.800,82.061,46.929,68.971,79.850,91.493,106.357,116.564,137.130,161.439,0.012
40,121.900,82.141,46.269,69.511,80.640,92.248,104.142,114.045,131.445,158.653,0.012
50,126.100,78.722,45.739,67.469,77.315,88.126,99.218,106.875,127.820,209.059,0.013
60,125.400,79.016,45.838,66.675,78.038,89.142,101.060,107.990,123.983,173.031,0.013
70,122.300,79.882,46.504,66.037,76.621,89.345,102.585,115.552,149.609,242.790,0.013
80,137.200,75.711,44.745,63.813,74.501,84.683,95.290,104.374,124.038,212.493,0.013
90,116.000,85.804,44.932,68.129,79.046,94.332,121.027,142.603,181.887,295.010,0.012
100,92.900,102.223,50.485,81.277,96.390,115.892,140.313,162.353,213.974,282.198,0.010
110,102.100,92.781,49.434,76.369,89.517,105.081,120.547,137.940,169.264,263.800,0.011
120,101.100,91.875,49.100,74.622,86.527,101.011,121.338,136.967,197.453,313.364,0.011
130,108.900,90.060,46.008,73.804,86.899,102.053,117.512,131.622,163.345,211.620,0.011
140,109.100,86.533,46.132,71.414,82.797,95.614,112.822,125.873,175.673,301.029,0.012
150,120.900,82.309,47.931,70.981,80.622,90.926,102.559,110.809,125.284,195.567,0.012
160,124.400,80.817,46.263,68.380,79.119,89.482,102.387,111.123,132.000,192.080,0.012
170,128.300,77.210,45.296,64.237,75.562,87.342,97.997,105.837,126.171,207.746,0.013
180,94.600,102.380,47.072,79.297,96.027,117.602,147.013,167.676,211.629,265.715,0.010
190,110.100,90.916,48.267,74.538,87.379,103.498,121.439,134.704,161.997,273.629,0.011
200,120.000,85.271,47.372,70.869,83.388,96.669,109.485,116.462,143.306,256.625,0.012
210,111.100,84.464,45.382,69.584,81.397,96.261,109.398,117.810,145.614,224.473,0.012
220,112.500,84.477,44.970,69.222,79.702,95.574,113.296,126.801,156.435,187.662,0.012
230,111.000,85.400,48.020,71.457,82.981,95.472,110.517,121.010,143.772,299.007,0.012
240,128.600,78.438,47.406,65.794,75.514,88.522,99.207,109.576,128.796,235.137,0.013
250,122.900,76.035,44.968,65.150,74.387,84.494,96.730,104.947,121.505,149.300,0.013
260,137.500,75.733,42.537,63.896,74.343,84.373,96.950,103.432,119.236,178.018,0.013
270,129.900,76.713,43.621,64.348,75.130,86.342,98.030,104.246,126.210,176.923,0.013
280,115.000,85.823,46.767,68.136,81.028,98.351,117.818,130.356,159.853,202.951,0.012
290,100.900,93.905,46.677,75.052,87.448,105.229,127.288,145.572,208.569,374.284,0.011
300,112.900,88.145,45.694,73.181,85.318,99.399,114.122,125.247,158.102,233.784,0.011
310,116.100,85.328,48.205,70.447,82.316,96.658,112.365,124.997,149.151,173.018,0.012
320,123.900,80.258,48.953,67.279,78.872,90.415,101.946,112.831,134.404,211.072,0.012
330,124.300,80.256,48.558,68.408,78.471,89.911,100.549,108.955,131.189,194.380,0.012
340,118.900,81.531,43.593,67.254,78.369,91.028,105.305,117.698,149.222,260.838,0.012
350,114.400,85.494,47.911,71.428,83.348,95.602,110.653,121.920,147.808,236.037,0.012
360,126.700,76.223,47.100,64.762,74.585,85.430,95.541,102.691,116.413,127.134,0.013
370,127.700,77.626,43.359,65.138,75.331,87.225,99.841,108.255,127.134,240.315,0.013
380,127.300,75.542,46.298,64.329,74.008,85.000,95.461,102.776,117.244,202.003,0.013
390,119.700,80.780,44.559,65.874,76.969,89.760,107.836,123.348,157.592,238.776,0.012
400,98.400,95.707,47.996,75.419,90.705,109.265,133.867,150.373,191.415,256.828,0.010
410,101.700,93.204,48.944,75.244,88.862,106.048,124.206,139.499,175.096,247.249,0.011
420,118.800,82.128,43.959,68.827,80.392,93.455,105.333,113.365,130.758,215.283,0.012
430,115.300,83.641,46.084,70.073,81.531,93.907,108.705,117.609,136.404,189.972,0.012
440,115.200,82.034,45.205,69.349,80.706,92.409,106.893,114.936,130.470,163.528,0.012
450,129.800,80.017,47.717,66.875,77.478,89.781,103.751,111.179,130.986,196.208,0.012
460,119.200,79.603,45.971,66.803,77.285,88.949,100.580,107.719,135.557,239.066,0.013
470,114.200,86.189,46.186,71.656,83.788,96.786,111.050,121.185,157.808,257.473,0.012
480,127.300,77.652,45.219,66.785,75.621,86.555,97.368,106.471,132.688,183.560,0.013
490,130.900,77.550,44.236,65.760,75.957,86.948,98.105,108.441,124.994,153.449,0.013
500,117.900,83.440,44.572,66.157,77.855,92.821,115.137,132.814,182.733,245.218,0.012
510,107.500,90.435,45.001,72.777,86.361,99.804,120.702,134.483,193.258,259.838,0.011
520,108.300,86.697,46.046,71.939,83.672,98.258,114.200,124.526,155.443,217.896,0.012
530,118.400,83.282,47.400,69.423,82.349,94.546,108.470,118.133,134.213,181.496,0.012
540,120.900,81.826,45.207,69.139,79.709,92.040,104.040,113.018,132.491,160.159,0.012
550,96.500,88.846,42.832,71.927,86.192,100.535,118.414,133.579,166.423,223.769,0.011
560,133.500,76.649,45.057,65.741,75.705,85.709,95.977,103.394,121.506,150.636,0.013
570,131.100,77.766,44.375,65.775,76.759,88.199,98.250,105.652,118.041,143.155,0.013
580,129.100,78.351,45.088,66.432,76.800,88.248,99.637,107.310,128.215,152.862,0.013
590,120.200,80.289,47.462,67.731,78.211,90.767,102.943,112.286,124.666,150.686,0.012
600,118.400,79.288,45.818,67.528,77.382,87.900,98.996,107.596,130.425,226.693,0.013
610,91.800,94.549,44.901,75.456,88.878,107.673,130.401,145.308,191.060,223.808,0.011
620,107.000,87.709,51.412,71.815,84.794,97.456,115.399,127.721,171.515,247.180,0.011
630,117.800,84.633,46.091,69.530,82.671,95.928,109.492,120.810,144.406,206.999,0.012
640,115.300,83.890,46.689,70.343,81.878,93.674,107.577,116.838,150.698,191.633,0.012
650,113.500,86.973,47.836,71.125,83.043,96.948,114.174,125.026,198.547,268.200,0.011
660,128.100,78.730,44.062,67.225,76.965,87.023,99.092,109.262,132.349,197.557,0.013
670,124.600,78.676,46.716,66.575,76.919,88.049,99.715,109.688,129.172,168.983,0.013
680,124.400,79.455,44.825,66.694,76.045,87.997,102.578,113.305,142.508,227.225,0.013
690,129.200,77.106,44.300,66.205,75.681,86.202,97.178,105.200,119.574,147.813,0.013
700,131.100,77.433,43.208,66.204,75.374,85.931,96.883,105.458,121.547,249.872,0.013
710,125.400,78.357,45.747,65.821,75.650,86.052,99.168,109.310,144.938,271.358,0.013
720,107.800,88.481,46.662,70.698,83.492,101.613,119.159,133.212,173.845,272.405,0.011
730,103.200,90.895,44.231,73.698,86.425,103.323,123.260,136.573,171.251,245.157,0.011
740,117.200,83.012,45.916,68.899,81.045,94.139,106.337,116.775,141.614,219.621,0.012
750,116.000,82.509,47.253,68.302,80.204,93.500,105.644,115.833,143.316,257.925,0.012
760,105.300,89.299,47.390,72.059,84.846,100.973,121.341,135.544,167.924,235.440,0.011
770,126.600,80.654,44.422,67.311,78.593,91.528,103.622,111.998,137.603,173.157,0.012
780,127.600,77.379,45.132,65.308,76.466,86.492,96.767,104.484,123.277,239.733,0.013
790,129.800,80.175,44.107,66.970,77.793,90.171,104.638,111.543,136.252,235.161,0.012
800,129.300,77.448,45.378,66.005,75.460,87.197,97.369,104.671,123.277,203.181,0.013
810,133.300,76.991,45.348,64.700,74.357,86.207,98.400,107.500,127.684,193.217,0.013
820,121.200,79.420,45.668,66.668,76.573,88.831,101.930,110.411,138.000,242.666,0.013
830,105.400,87.653,43.493,69.026,80.969,98.165,124.239,142.829,193.720,251.866,0.011
840,104.000,93.244,47.223,73.460,88.603,104.746,124.786,145.090,213.500,279.505,0.011
850,110.300,85.739,42.249,70.893,81.957,96.159,110.884,127.306,159.384,201.090,0.012
860,119.200,81.269,46.442,67.138,78.286,91.692,105.997,117.427,140.264,196.654,0.012
870,122.500,78.651,45.171,66.590,76.405,88.243,99.419,107.523,131.027,239.995,0.013
