Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1073.100,43.525,9.210,31.230,40.009,51.178,63.911,74.751,119.636,240.500,0.023
10,1161.900,41.093,9.857,29.144,37.167,48.050,62.477,74.463,107.998,203.626,0.024
20,1227.600,38.761,9.501,27.546,35.165,45.304,58.569,69.921,103.361,216.924,0.026
30,1385.800,34.246,9.094,26.081,32.466,40.477,48.944,55.022,68.923,197.808,0.029
40,1394.200,33.973,9.562,26.242,32.386,40.070,47.928,53.741,65.389,152.787,0.029
50,1443.700,32.804,10.600,25.315,31.487,38.593,46.206,51.204,63.654,142.682,0.030
60,1394.200,34.454,8.805,25.610,31.663,39.535,49.324,58.791,93.154,227.102,0.029
70,1357.800,35.313,9.446,25.529,31.926,40.076,50.874,63.916,103.143,224.299,0.028
80,1484.600,31.797,10.397,24.490,30.496,37.473,44.992,49.944,59.885,189.879,0.031
90,1253.600,37.350,9.062,26.198,33.553,43.558,57.341,69.020,99.390,224.666,0.027
100,1069.600,44.272,10.978,31.723,40.587,52.594,66.452,77.630,105.771,197.103,0.023
110,1187.500,40.099,10.169,29.753,37.556,47.586,58.594,67.363,87.285,170.209,0.025
120,1171.500,40.760,11.991,29.009,36.522,46.343,58.179,68.654,123.249,314.200,0.025
130,1184.100,40.565,10.250,28.200,36.085,46.288,60.437,74.688,126.944,289.749,0.025
140,1228.800,39.796,11.466,27.345,34.309,44.133,62.096,84.845,126.473,203.319,0.025
150,1380.700,34.100,8.958,26.552,32.839,39.877,47.139,52.354,65.971,177.419,0.029
160,1391.600,33.887,10.299,26.009,32.372,39.675,47.576,53.658,67.115,176.604,0.030
170,1463.300,32.433,8.492,24.957,30.996,38.076,45.492,50.799,63.221,215.786,0.031
180,1019.000,46.048,10.815,31.167,41.442,55.166,72.411,86.754,118.528,250.208,0.022
190,1200.700,39.312,11.174,28.466,36.535,47.173,58.642,66.921,87.968,197.594,0.025
200,1285.100,36.652,11.421,27.356,34.421,43.256,52.867,60.699,79.371,205.711,0.027
210,1320.200,36.598,10.025,26.744,33.800,42.566,52.878,61.391,96.282,216.294,0.027
220,1294.500,37.220,9.873,26.727,33.351,42.100,53.881,65.805,118.696,260.404,0.027
230,1333.700,36.249,8.895,26.355,33.077,41.810,52.759,63.005,98.387,243.162,0.028
240,1428.000,33.407,9.307,25.474,31.411,38.940,46.707,53.065,73.683,174.316,0.030
250,1468.900,32.546,10.385,25.193,31.112,38.314,45.452,50.668,63.109,152.925,0.031
260,1470.100,32.049,10.111,24.826,30.660,37.767,45.329,50.639,60.941,89.130,0.031
270,1458.600,32.729,9.796,24.686,30.701,38.061,46.448,53.503,75.690,150.960,0.031
280,1221.400,39.198,9.625,26.365,33.742,44.621,63.442,79.915,121.741,232.217,0.026
290,1129.200,42.140,10.683,30.169,38.915,50.124,63.398,72.783,100.500,225.760,0.024
300,1259.600,37.672,9.700,27.823,35.320,44.772,55.107,62.861,80.390,229.505,0.027
310,1317.000,35.964,11.167,27.007,33.869,42.476,52.211,59.260,76.063,129.569,0.028
320,1391.100,34.203,10.255,26.172,32.622,40.365,48.693,54.528,66.768,195.981,0.029
330,1395.600,34.033,10.950,25.803,32.163,40.014,48.224,53.998,73.158,206.731,0.029
