Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1030.700,14.601,6.702,10.884,13.358,16.826,21.139,23.914,33.368,119.123,0.068
10,1103.500,14.132,6.178,10.078,12.295,15.589,21.019,26.187,44.037,79.163,0.071
20,1188.300,13.444,5.876,9.719,11.635,14.745,19.420,25.648,40.316,104.206,0.074
30,1317.300,11.877,5.953,9.328,11.003,13.404,16.349,18.611,24.937,78.421,0.084
40,1314.000,11.943,6.007,9.347,11.059,13.527,16.648,18.900,25.101,75.026,0.084
50,1377.400,11.459,5.793,9.050,10.597,12.845,15.637,17.712,23.879,75.045,0.087
60,1325.500,11.560,5.678,9.060,10.737,13.036,15.702,17.875,24.491,68.120,0.087
70,1292.800,11.848,5.872,9.074,10.624,13.122,16.416,19.315,30.653,163.572,0.084
80,1440.000,10.815,5.763,8.662,10.053,12.100,14.636,16.562,22.060,93.353,0.092
90,1202.900,13.219,5.773,9.259,11.113,14.646,20.793,25.819,40.992,170.884,0.076
100,1028.600,15.596,5.606,10.986,13.742,18.006,23.985,28.587,41.100,123.315,0.064
110,1130.300,14.238,6.179,10.434,12.782,16.382,20.996,25.014,35.365,107.306,0.070
120,1106.700,14.707,6.061,9.981,12.203,15.359,19.578,23.663,56.845,261.790,0.068
130,1127.800,13.503,6.136,9.926,12.155,15.448,19.741,23.442,32.820,112.061,0.074
140,1165.600,12.653,5.923,9.497,11.348,14.340,18.126,21.129,32.587,113.345,0.079
150,1319.600,12.037,5.973,9.310,11.031,13.666,17.199,19.869,25.570,82.620,0.083
160,1332.100,11.814,5.925,9.171,10.891,13.453,16.734,19.273,25.573,85.296,0.085
170,1417.300,11.116,5.787,8.747,10.249,12.473,15.260,17.418,23.121,100.279,0.090
180,1001.800,15.996,6.195,10.539,13.465,18.232,25.258,30.636,51.700,120.057,0.063
190,1154.600,13.704,5.893,10.078,12.382,15.750,20.308,23.706,33.416,100.790,0.073
200,1247.000,12.605,5.802,9.470,11.475,14.359,17.899,20.680,30.024,104.127,0.079
210,1253.600,12.406,6.053,9.402,11.288,14.138,17.676,20.367,28.876,78.468,0.081
220,1236.300,12.425,5.941,9.414,11.261,14.024,17.681,20.813,31.471,106.924,0.080
230,1262.500,12.108,6.050,9.230,11.015,13.768,17.139,19.914,28.020,95.567,0.083
240,1343.400,11.407,5.967,8.994,10.525,12.772,15.491,17.795,24.441,106.563,0.088
250,1405.300,11.339,5.893,8.948,10.438,12.747,15.625,17.972,23.739,55.163,0.088
260,1401.600,11.097,5.763,8.785,10.229,12.508,15.293,17.469,23.991,43.535,0.090
270,1393.100,11.094,5.833,8.784,10.239,12.457,15.276,17.301,23.527,74.307,0.090
280,1166.100,12.961,5.809,9.230,11.202,14.460,19.444,24.614,37.963,119.156,0.077
290,1077.300,14.578,6.112,10.378,13.013,16.870,21.942,26.372,38.031,119.788,0.069
300,1199.200,13.100,5.982,9.678,11.749,14.833,18.921,22.201,33.018,119.565,0.076
310,1277.400,12.411,6.046,9.450,11.239,14.044,17.763,20.786,28.409,60.299,0.081
320,1308.800,11.893,6.075,9.199,10.923,13.478,16.835,19.238,25.617,74.739,0.084
330,1326.200,11.837,5.999,9.293,10.958,13.444,16.553,18.843,24.216,91.134,0.084
340,1274.200,11.895,5.931,9.111,10.850,13.384,16.666,19.294,28.618,107.190,0.084
350,1225.600,12.223,6.022,9.283,11.105,13.766,17.277,20.178,29.683,89.592,0.082
360,1415.200,11.150,5.767,8.779,10.347,12.565,15.274,17.493,23.133,103.930,0.090
370,1401.100,11.157,5.959,8.808,10.368,12.612,15.375,17.594,23.219,66.963,0.090
380,1428.800,10.893,5.704,8.735,10.114,12.208,14.777,16.869,22.235,74.908,0.092
