Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,1649,1649.000,2624,16383,30653,44377,57791,96951,129378,191247,298276
1,2033,2033.000,2440,14331,26194,36869,49893,74730,99217,149738,246109
2,2275,2275.000,2499,13234,24032,32766,45034,65278,82346,129540,229877
3,2447,2447.000,2256,12931,21120,30419,42418,60887,78641,120280,162186
4,2475,2475.000,2182,12506,21909,30430,42059,61605,77132,116260,168769
5,2478,2478.000,2326,12634,23308,30218,41916,58653,72977,112415,156163
6,2590,2590.000,2142,12359,21879,28882,39734,55981,70245,105341,145965
7,2642,2642.000,2062,12195,22488,28470,39375,54985,69660,105544,141423
8,2675,2675.000,2076,12068,21519,27887,37885,52407,67684,102972,242954
9,2707,2707.000,2135,12025,22897,27799,37991,50706,63446,105087,216775
10,2751,2751.000,2076,11795,21521,27508,37547,51843,68657,101614,166509
11,2833,2833.000,2105,11311,20080,26395,36340,51623,63042,103070,140014
12,2805,2805.000,1975,11582,19919,26381,36045,50974,64148,101415,164693
13,2960,2960.000,1972,11184,18813,25264,34606,47790,60578,99326,192977
14,2969,2969.000,2096,11103,19881,25396,35505,48795,60356,91968,134503
15,3010,3010.000,1954,11071,18523,24990,35159,46785,57394,94954,188383
16,1990,1990.000,2105,13974,28764,37379,48431,75826,101499,153776,290934
17,2069,2069.000,2093,13885,27258,36943,50730,76055,97021,148521,284154
18,1834,1834.000,1954,14217,32075,40987,55566,85301,113043,167677,322179
19,2526,2526.000,2064,11568,22628,29233,40831,59189,70919,109809,180694
20,2993,2993.000,1994,10814,18918,25069,34220,47866,64239,96123,140548
21,2783,2783.000,1987,11467,20892,27105,37586,53517,63642,100257,154452
22,2853,2853.000,2002,10764,19085,26189,35817,51947,66945,102307,235016
23,2136,2136.000,2065,11444,22239,35717,53012,87928,101295,130365,219505
24,1941,1941.000,2018,15720,35077,37949,51425,72688,85461,112711,164079
25,2957,2957.000,2069,10874,18867,25515,34765,47814,66034,93502,273339
26,2649,2649.000,2062,11158,21520,28070,38451,55552,70714,109254,184760
27,2844,2844.000,2020,11303,19685,26242,36284,50895,63395,96060,138289
28,3219,3219.000,1962,10472,17568,23346,32375,44043,55183,85558,115208
29,3176,3176.000,2046,10682,17775,23774,33114,43584,54886,88932,119610
30,3203,3203.000,1982,10385,17200,23319,32840,43751,53032,87740,134832
31,2858,2858.000,2034,10774,20606,26299,35368,52111,66905,103192,158117
32,3139,3139.000,1963,10456,18518,23752,32258,44625,57984,90428,143293
33,3123,3123.000,1936,10531,18497,24106,33162,45407,57080,91913,125235
34,3183,3183.000,2009,10424,17882,23473,32537,44264,53767,86440,117216
35,3084,3084.000,2053,10790,18482,24453,33676,46757,57787,92809,137130
36,2752,2752.000,2083,10865,19601,27172,37114,55233,67840,112361,161439
37,2895,2895.000,2071,11265,19516,25935,35593,50112,63484,102537,197808
38,3171,3171.000,2020,10506,18576,23561,32416,44149,55343,87619,127157
39,3258,3258.000,2026,10388,17975,23078,32561,42608,50477,86515,129152
40,2907,2907.000,1966,11076,20011,25877,35300,49907,64350,99479,158653
41,2870,2870.000,1979,11178,20796,26155,35251,49962,61740,103406,143874
42,2935,2935.000,2005,11346,19941,25343,34598,47978,59458,96313,157381
43,3207,3207.000,1973,10370,18115,23460,32498,43390,54852,88654,109523
44,3140,3140.000,2023,10592,18658,23888,32921,44109,55860,90577,123389
45,3325,3325.000,1894,10104,16928,22579,31887,41517,49324,87107,106223
46,3005,3005.000,2077,10533,19190,25050,34339,47660,59779,100503,151875
47,3011,3011.000,1987,10741,19371,24731,34271,46454,57368,91949,133484
48,3217,3217.000,1974,10343,17928,23403,32543,43490,55593,89480,121803
49,3148,3148.000,1966,10571,18565,23705,32526,43574,54435,90947,127202
