Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,82.300,114.849,68.819,97.353,108.626,126.105,147.803,165.242,196.776,246.234,0.009
10,102.900,101.348,68.163,90.435,98.366,109.316,121.796,130.873,157.602,195.294,0.010
20,101.400,98.580,62.989,87.849,96.693,106.767,119.529,127.300,145.806,189.494,0.010
30,106.800,94.699,64.480,85.162,92.983,101.924,112.323,118.448,133.939,236.478,0.011
40,107.800,91.664,64.319,83.546,90.350,98.996,107.687,114.111,126.036,182.594,0.011
50,115.900,88.318,62.678,80.593,87.351,95.076,103.542,108.843,124.569,152.295,0.011
60,119.300,88.134,63.379,81.166,87.650,94.620,102.401,105.628,115.190,131.174,0.011
70,112.500,87.807,63.242,80.487,86.997,93.611,100.922,106.180,119.912,220.200,0.011
80,89.200,117.280,64.768,98.670,112.968,130.350,151.885,167.985,192.597,266.014,0.009
90,111.500,90.204,60.771,80.683,87.684,95.647,107.346,120.451,161.382,199.233,0.011
100,106.800,93.609,64.317,83.035,90.758,100.757,113.238,123.632,152.183,204.294,0.011
110,84.700,109.915,67.939,92.147,103.983,119.296,145.002,164.578,211.929,312.706,0.009
120,104.200,99.103,65.466,86.630,95.991,107.398,121.902,133.158,162.376,200.342,0.010
130,109.400,94.102,65.552,85.531,92.850,101.472,112.452,118.696,131.939,155.056,0.011
140,97.100,96.396,64.948,85.682,94.304,103.251,116.279,129.542,148.755,181.020,0.010
150,110.800,93.253,66.199,84.306,90.608,99.616,111.123,120.754,141.353,211.465,0.011
160,111.400,90.388,65.342,82.647,89.114,96.797,105.719,113.602,126.962,156.459,0.011
170,114.100,90.041,63.791,81.342,88.180,97.083,106.323,112.680,128.369,182.892,0.011
180,112.200,88.932,61.666,80.604,87.220,95.385,104.579,110.626,123.931,179.794,0.011
190,117.100,87.510,63.047,80.105,86.780,92.889,101.565,108.673,119.752,139.269,0.011
200,110.700,89.373,63.499,81.272,87.570,96.153,104.585,110.937,128.579,168.543,0.011
210,119.700,87.749,64.106,80.186,86.446,94.175,102.925,109.395,129.249,161.409,0.011
220,89.000,109.658,70.651,92.019,105.525,121.854,140.011,156.724,191.279,210.428,0.009
230,99.700,98.241,68.443,87.311,95.171,106.284,119.509,127.820,153.587,225.857,0.010
240,105.500,94.159,65.677,83.997,91.089,101.832,114.810,123.361,146.153,166.544,0.011
250,106.300,92.001,67.064,83.338,90.762,99.010,108.023,113.952,125.710,156.326,0.011
260,106.000,93.562,65.483,83.362,90.909,101.409,113.916,121.583,142.010,171.729,0.011
270,113.200,91.013,63.239,82.240,89.536,97.754,108.074,114.722,127.545,145.721,0.011
280,113.100,90.285,65.079,82.121,88.791,96.927,107.265,112.799,123.760,151.951,0.011
290,116.800,88.663,64.385,81.072,87.887,94.897,102.273,108.052,118.365,159.889,0.011
300,106.600,90.400,63.027,82.735,89.041,96.567,106.010,111.189,121.608,147.296,0.011
310,112.100,87.439,63.605,80.295,86.988,93.628,101.303,106.203,114.864,133.247,0.011
320,115.900,88.135,61.273,80.586,86.956,94.220,102.658,108.072,124.503,191.639,0.011
330,109.100,90.502,64.197,83.021,88.988,96.320,106.709,112.782,134.123,175.315,0.011
340,88.600,106.775,67.993,91.112,102.102,116.707,138.963,154.174,175.401,229.795,0.009
350,102.700,97.630,64.093,86.989,94.492,105.548,118.190,127.733,149.015,182.743,0.010
