Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,83.700,6.095,3.207,4.286,4.988,6.621,9.550,11.949,19.564,39.619,0.164
10,99.000,5.331,3.082,4.069,4.688,6.023,7.638,8.439,15.448,32.601,0.188
20,103.200,5.416,2.965,4.183,4.823,6.056,7.607,9.079,14.070,24.442,0.185
30,103.900,5.204,3.032,4.108,4.783,5.793,7.250,8.352,10.901,26.845,0.192
40,109.400,5.235,3.057,4.180,4.736,5.891,7.234,8.119,12.527,20.580,0.191
50,115.400,5.092,3.030,4.030,4.602,5.809,7.127,7.920,10.671,25.160,0.196
60,119.500,5.143,3.006,4.153,4.772,5.838,7.066,7.755,10.050,15.297,0.194
70,110.200,5.045,3.013,4.038,4.617,5.632,6.884,7.610,9.996,38.605,0.198
80,82.600,6.959,3.129,4.380,5.444,7.433,10.359,14.767,32.494,105.772,0.144
90,112.900,5.159,2.985,4.075,4.673,5.715,7.180,8.052,11.185,41.318,0.194
100,103.300,5.321,3.085,4.119,4.818,5.960,7.435,8.691,11.984,17.480,0.188
110,81.700,6.410,3.056,4.434,5.376,6.973,9.348,12.682,22.883,42.065,0.156
120,101.100,5.527,3.149,4.203,4.961,6.071,7.670,9.047,12.573,42.479,0.181
130,108.400,5.310,3.042,4.186,4.880,5.904,7.299,8.397,11.399,21.713,0.188
140,100.000,5.438,3.100,4.199,4.927,6.117,7.583,8.766,13.025,29.072,0.184
150,108.000,5.076,3.040,4.073,4.662,5.546,6.841,7.613,11.235,38.777,0.197
160,109.900,5.055,3.018,4.073,4.654,5.632,6.836,7.720,10.863,24.692,0.198
170,114.200,5.076,3.099,4.052,4.688,5.607,6.784,7.853,10.782,27.383,0.197
180,109.200,5.041,2.987,4.078,4.628,5.643,6.631,7.470,9.833,37.287,0.198
190,117.800,4.974,3.045,4.009,4.588,5.370,6.417,7.454,11.127,39.889,0.201
200,118.000,4.984,3.061,4.097,4.626,5.537,6.681,7.450,9.716,18.760,0.201
210,115.100,4.894,2.987,4.049,4.563,5.413,6.476,7.312,9.838,11.844,0.204
220,84.300,6.106,3.107,4.342,5.147,6.653,9.219,11.125,17.931,38.524,0.164
230,97.100,5.697,3.036,4.292,4.971,6.261,8.133,9.835,17.297,45.340,0.176
240,109.800,5.362,3.026,4.146,4.776,5.984,7.606,9.124,12.731,22.306,0.187
250,115.400,5.064,3.040,4.092,4.656,5.725,6.948,7.883,10.198,14.233,0.197
260,109.500,5.238,2.942,4.110,4.761,5.722,7.224,8.461,11.914,40.165,0.191
270,112.700,5.097,3.046,4.085,4.702,5.708,6.951,8.126,10.229,13.800,0.196
280,114.800,4.996,3.072,4.096,4.650,5.518,6.726,7.468,10.135,35.095,0.200
290,113.400,4.877,3.073,3.998,4.550,5.343,6.502,7.480,9.462,15.239,0.205
300,111.400,4.983,3.041,4.068,4.577,5.468,6.639,7.681,10.175,34.880,0.201
310,116.000,4.879,3.026,4.028,4.572,5.433,6.490,7.147,9.309,17.711,0.205
320,112.700,4.876,2.980,4.071,4.562,5.425,6.516,7.235,9.195,12.975,0.205
330,114.800,4.937,2.995,4.088,4.610,5.469,6.525,7.198,10.221,16.798,0.203
340,92.100,5.989,3.072,4.349,5.089,6.656,9.131,11.071,16.131,54.107,0.167
350,96.800,5.360,3.017,4.205,4.751,5.818,7.309,8.521,14.125,44.788,0.187
360,111.700,5.222,3.102,4.146,4.751,5.674,7.017,8.147,12.443,41.094,0.192
370,101.600,5.211,3.048,4.146,4.725,5.831,7.134,8.285,11.059,21.639,0.192
380,109.300,5.236,3.025,4.121,4.753,5.695,7.079,8.547,12.136,40.987,0.191
390,111.900,5.125,3.031,4.116,4.683,5.658,6.955,8.066,10.616,36.836,0.195
400,118.800,4.881,3.023,4.018,4.525,5.379,6.406,7.150,9.234,46.557,0.205
410,111.300,4.925,2.959,4.069,4.574,5.421,6.504,7.374,9.196,34.068,0.203
420,118.200,4.917,2.982,4.032,4.560,5.421,6.550,7.659,10.271,15.765,0.203
430,113.800,4.865,3.050,4.054,4.566,5.326,6.561,7.352,9.433,12.883,0.206
440,111.600,4.976,2.969,4.025,4.601,5.491,6.576,7.362,10.752,36.588,0.201
450,100.200,5.266,3.043,4.187,4.758,5.703,7.274,8.811,12.109,17.226,0.190
460,96.800,5.894,2.982,4.319,5.089,6.430,8.400,10.086,15.600,72.666,0.170
470,99.800,5.557,2.990,4.232,4.949,6.205,7.728,9.323,13.216,54.228,0.180
480,106.400,5.110,3.021,4.151,4.710,5.701,6.795,7.891,11.197,16.681,0.196
490,109.100,5.278,2.978,4.205,4.745,5.752,7.167,8.378,12.651,38.485,0.189
500,115.600,5.126,3.079,4.091,4.670,5.736,7.029,7.991,11.942,19.265,0.195
510,110.100,5.087,2.983,4.082,4.669,5.572,6.966,7.883,11.071,34.157,0.197
520,105.100,5.122,3.011,4.069,4.702,5.665,7.065,8.026,11.120,28.490,0.195
530,108.300,4.956,3.031,4.069,4.598,5.395,6.660,7.572,9.684,33.260,0.202
540,109.900,4.959,3.017,4.051,4.581,5.566,6.645,7.691,9.886,16.442,0.202
550,117.000,4.937,3.064,4.009,4.581,5.365,6.681,7.635,10.298,32.576,0.203
560,115.700,4.832,3.029,4.037,4.526,5.316,6.274,7.097,9.847,19.866,0.207
570,111.400,5.147,3.010,4.058,4.632,5.468,6.698,8.050,14.180,62.246,0.194
580,89.100,5.944,3.161,4.267,5.023,6.503,8.667,10.600,17.127,64.859,0.168
590,102.500,5.224,3.082,4.151,4.772,5.803,7.090,8.301,12.661,22.624,0.191
600,105.500,5.238,3.107,4.153,4.744,5.756,7.084,8.528,12.903,37.204,0.191
610,106.300,5.103,3.041,4.116,4.675,5.671,7.061,8.049,10.706,31.823,0.196
620,115.100,5.175,3.051,4.102,4.763,5.720,6.956,8.260,12.322,24.661,0.193
630,102.800,5.018,3.023,4.032,4.622,5.521,6.679,7.507,10.333,47.351,0.199
640,105.600,5.109,3.034,4.113,4.716,5.553,6.730,7.871,11.112,63.622,0.196
650,115.600,4.951,3.043,4.078,4.612,5.496,6.632,7.374,9.358,25.938,0.202
660,110.700,4.891,3.052,4.080,4.586,5.362,6.553,7.292,10.075,15.325,0.204
670,109.700,5.033,2.927,4.089,4.644,5.508,6.779,7.743,11.042,33.440,0.199
680,109.700,4.833,2.948,3.971,4.502,5.309,6.439,7.250,9.665,16.793,0.207
690,104.400,5.164,3.077,4.133,4.630,5.633,6.927,7.906,12.089,54.312,0.194
700,97.200,6.040,3.129,4.305,5.110,6.471,8.681,10.975,22.210,57.135,0.166
