Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,909.200,16.169,8.817,12.796,14.554,17.607,22.639,26.992,38.728,79.488,0.062
10,1078.900,14.219,8.514,12.269,13.588,15.392,17.745,19.774,25.101,53.259,0.070
20,1106.800,13.901,8.428,12.077,13.325,15.089,17.207,19.144,24.123,61.540,0.072
30,1137.900,13.428,8.319,11.823,12.888,14.465,16.400,17.863,23.654,58.435,0.074
40,1173.500,13.139,8.392,11.650,12.603,14.087,15.887,17.381,22.358,71.961,0.076
50,1212.000,12.687,8.161,11.369,12.261,13.627,15.217,16.554,20.637,40.930,0.079
60,1227.800,12.587,8.179,11.291,12.218,13.554,15.046,16.316,19.645,53.977,0.079
70,1163.000,12.840,8.049,11.124,12.099,13.440,15.281,17.280,29.792,92.106,0.078
80,903.000,16.591,8.104,12.199,13.964,16.977,24.312,34.269,53.785,117.476,0.060
90,1224.200,12.736,7.923,11.046,12.203,13.443,15.315,17.015,24.155,84.978,0.079
100,1144.800,13.814,8.257,11.306,12.684,14.531,17.783,21.629,37.282,63.359,0.072
110,889.100,16.938,8.786,13.018,14.847,18.044,23.903,30.122,47.909,146.445,0.059
120,1072.000,14.395,8.404,12.036,13.356,15.338,18.319,21.377,32.775,87.586,0.069
130,1170.700,13.679,8.192,11.807,12.924,14.678,16.936,19.027,26.418,86.092,0.073
140,1019.600,14.221,8.350,11.834,13.161,15.056,18.050,21.194,33.907,101.997,0.070
150,1178.900,13.189,8.323,11.453,12.615,14.174,16.140,17.933,23.751,61.841,0.076
160,1199.600,12.919,8.245,11.373,12.520,13.959,15.718,17.037,20.604,47.937,0.077
170,1208.300,12.825,8.039,11.252,12.363,13.756,15.490,17.006,22.313,51.585,0.078
180,1221.300,12.694,8.296,11.208,12.262,13.687,15.490,16.728,20.272,44.044,0.079
190,1224.900,12.384,8.173,11.010,12.067,13.275,14.820,15.945,18.958,56.358,0.081
200,1238.400,12.721,8.061,11.120,12.300,13.594,15.375,16.772,22.295,80.131,0.079
210,1243.900,12.403,7.733,10.982,12.019,13.282,14.932,16.519,19.994,52.839,0.081
220,908.200,16.947,8.418,12.869,14.742,17.883,23.773,30.883,50.986,109.851,0.059
230,1100.800,14.684,8.136,12.296,13.657,15.823,18.876,21.674,31.948,67.232,0.068
240,1152.900,13.852,8.461,11.868,13.053,14.905,17.468,19.657,27.300,61.918,0.072
250,1188.400,13.198,8.202,11.609,12.746,14.251,16.164,17.538,21.663,49.544,0.076
260,1160.500,13.404,8.274,11.550,12.797,14.379,16.576,18.232,24.834,70.693,0.075
270,1183.200,12.932,8.127,11.304,12.486,13.959,15.855,17.323,21.172,61.900,0.077
280,1201.800,13.010,7.725,11.369,12.469,13.920,15.831,17.576,23.183,55.093,0.077
290,1200.400,12.712,7.939,11.193,12.302,13.663,15.353,16.697,22.335,87.836,0.079
300,1209.500,12.892,7.858,11.284,12.413,13.831,15.597,17.149,21.667,82.516,0.078
310,1238.100,12.397,8.065,10.998,12.088,13.317,14.832,15.911,19.572,48.863,0.081
320,1215.400,12.605,7.875,11.048,12.163,13.431,15.126,16.667,22.800,76.597,0.079
330,1220.200,12.718,8.119,11.107,12.337,13.560,15.245,16.775,22.342,52.790,0.079
340,959.800,16.990,8.618,12.794,14.723,18.153,24.163,30.018,54.150,106.509,0.059
350,1082.700,14.376,8.068,12.068,13.354,15.381,18.333,20.979,33.226,91.795,0.070
360,1118.900,13.731,8.438,11.837,13.019,14.826,17.016,18.951,25.610,79.240,0.073
370,1146.600,13.532,8.231,11.738,12.959,14.662,16.760,18.419,23.383,47.401,0.074
380,1164.800,13.195,8.050,11.434,12.656,14.246,16.296,17.943,22.828,59.034,0.076
390,1198.400,13.069,8.137,11.331,12.524,14.010,16.034,17.701,23.795,65.156,0.077
400,1211.700,12.717,7.806,11.260,12.360,13.694,15.349,16.508,20.426,53.566,0.079
410,1215.900,12.562,7.932,11.073,12.204,13.519,15.062,16.389,20.286,82.164,0.080
420,1226.300,12.598,7.989,11.180,12.203,13.580,15.191,16.438,20.239,49.035,0.079
430,1232.300,12.672,8.035,11.079,12.210,13.474,15.057,16.484,22.148,57.144,0.079
440,1231.400,12.427,7.983,10.963,12.066,13.205,14.775,16.126,20.616,55.701,0.080
450,1088.600,14.279,8.242,11.507,12.880,14.995,18.663,22.543,42.101,66.210,0.070
460,983.100,15.800,8.287,12.617,14.293,17.023,21.135,25.136,43.364,102.759,0.063
470,1122.900,13.925,8.356,11.927,13.167,15.043,17.459,19.398,26.366,58.146,0.072
480,1173.500,13.406,8.207,11.675,12.861,14.479,16.432,18.054,23.989,64.807,0.075
490,1173.500,13.410,8.278,11.580,12.701,14.279,16.358,18.124,26.229,79.472,0.075
500,1218.700,12.990,8.007,11.342,12.448,13.934,15.735,17.347,22.449,86.196,0.077
510,1200.000,12.919,8.020,11.283,12.427,13.874,15.774,17.217,22.058,60.164,0.077
520,1162.800,13.195,7.978,11.480,12.739,14.255,16.228,17.697,22.471,52.498,0.076
530,1223.200,12.594,7.981,11.059,12.192,13.512,15.232,16.537,20.696,64.916,0.079
540,1195.600,12.883,7.910,11.300,12.443,13.842,15.601,16.972,21.912,54.660,0.078
550,1237.000,12.334,7.923,10.958,12.013,13.230,14.645,15.807,19.624,54.992,0.081
560,1241.300,12.423,8.079,10.953,12.033,13.218,14.832,16.405,20.629,53.891,0.080
570,1138.300,13.901,8.212,11.227,12.553,14.246,17.514,21.825,43.070,88.071,0.072
580,1017.900,15.740,8.644,12.535,14.074,16.840,21.395,27.076,40.199,110.260,0.064
590,1124.500,13.999,8.018,11.976,13.143,14.936,17.571,20.233,29.209,130.119,0.071
600,1126.900,13.847,8.311,11.803,13.086,14.733,17.191,19.426,28.793,122.912,0.072
610,1159.300,13.329,8.059,11.582,12.719,14.294,16.439,18.185,24.687,49.004,0.075
620,1197.200,13.108,8.376,11.392,12.557,14.078,16.004,17.550,24.013,63.155,0.076
630,1185.600,12.878,8.020,11.276,12.407,13.817,15.645,16.999,22.310,71.340,0.078
640,1201.800,12.939,8.278,11.321,12.525,13.945,15.722,17.202,21.722,78.850,0.077
650,1218.600,12.588,7.988,11.088,12.169,13.472,15.048,16.392,21.238,68.104,0.079
660,1263.000,12.530,8.009,11.128,12.161,13.460,15.079,16.380,20.740,41.101,0.080
670,1214.000,12.603,7.920,11.127,12.260,13.513,15.072,16.247,20.669,79.550,0.079
680,1248.100,12.486,8.050,10.942,11.978,13.160,14.718,15.915,20.560,137.063,0.080
690,1124.000,14.201,8.087,11.280,12.689,14.674,18.864,22.970,43.532,78.755,0.070
700,1063.800,15.021,8.621,12.408,13.817,16.001,19.296,23.389,36.015,99.898,0.067
710,1114.400,13.932,8.347,11.942,13.151,14.974,17.399,19.520,29.299,68.040,0.072
720,1178.900,13.357,8.139,11.612,12.755,14.403,16.408,18.219,23.543,119.480,0.075
730,1196.800,13.249,8.189,11.529,12.694,14.227,16.197,18.020,23.998,77.343,0.075
740,1119.600,13.910,8.049,11.819,13.028,14.756,17.076,19.065,31.364,75.709,0.072
750,1020.700,14.152,8.403,11.993,13.316,15.228,17.824,20.442,27.929,72.306,0.071
760,1107.000,13.960,7.970,11.766,13.014,14.699,17.003,18.821,26.436,243.195,0.072
770,1078.400,15.816,8.357,11.769,12.963,14.705,17.207,19.803,119.964,221.064,0.063
780,1028.200,15.735,8.293,12.272,13.789,16.317,21.519,29.008,51.257,78.626,0.064
790,951.500,17.574,8.282,12.849,14.614,17.620,23.645,33.766,66.566,198.787,0.057
800,1043.800,15.228,8.535,12.464,13.865,16.176,19.992,23.831,37.072,90.259,0.066
810,1071.500,14.648,8.549,12.232,13.680,15.881,18.860,21.604,31.319,57.736,0.068
820,1040.900,14.688,7.873,11.922,13.333,15.496,18.863,22.686,42.120,104.565,0.068
830,1053.600,17.085,8.034,11.572,12.849,14.728,18.540,51.939,79.827,300.960,0.059
840,1187.200,13.085,8.207,11.417,12.575,14.053,15.908,17.551,23.339,46.879,0.076
850,1198.600,12.867,8.349,11.286,12.369,13.797,15.643,17.016,21.969,56.074,0.078
860,1201.600,12.919,8.110,11.205,12.383,13.877,15.853,17.519,24.011,52.440,0.077
870,1180.600,12.879,7.786,11.228,12.423,13.831,15.639,17.102,22.521,69.759,0.078
880,1064.200,14.726,8.369,11.617,13.100,15.444,19.539,23.693,44.085,91.645,0.068
890,1006.300,15.657,8.576,12.477,14.045,16.731,21.348,26.802,38.757,77.588,0.064
900,1019.300,14.662,8.298,12.189,13.570,15.702,18.950,22.182,33.782,80.270,0.068
910,1144.100,13.585,8.501,11.769,12.916,14.610,16.780,18.553,24.967,69.288,0.074
920,1121.200,13.714,8.249,11.672,13.000,14.803,17.061,19.125,27.067,62.290,0.073
930,1161.700,13.427,8.018,11.629,12.861,14.471,16.497,18.119,24.562,77.780,0.074
940,1162.600,13.158,8.035,11.378,12.615,14.234,16.404,17.916,22.654,51.955,0.076
950,1179.700,12.935,7.993,11.290,12.500,13.952,15.835,17.332,21.525,67.193,0.077
960,1203.600,12.959,8.276,11.319,12.466,13.922,15.848,17.334,22.104,46.951,0.077
970,1207.800,12.530,8.123,11.056,12.142,13.487,15.094,16.341,20.255,54.116,0.080
980,1191.200,12.881,7.837,11.081,12.300,13.739,15.708,17.424,25.086,86.183,0.078
990,1253.000,12.297,8.022,10.923,12.010,13.137,14.615,15.890,19.670,44.168,0.081
1000,964.500,16.756,8.103,12.812,14.642,17.782,23.152,29.325,51.743,134.771,0.060
1010,1097.000,14.222,8.340,12.016,13.222,15.240,17.992,20.512,33.004,73.773,0.070
1020,1141.600,13.680,8.038,11.748,12.935,14.714,16.961,18.879,27.170,63.363,0.073
1030,1201.900,13.220,8.339,11.484,12.592,14.110,16.107,17.594,25.886,61.011,0.076
1040,1191.100,13.032,8.382,11.362,12.514,14.015,15.812,17.491,23.380,70.214,0.077
1050,1156.400,13.196,8.169,11.420,12.613,14.155,16.291,18.168,23.723,68.072,0.076
1060,1216.100,12.784,7.864,11.167,12.312,13.724,15.468,16.885,21.685,69.841,0.078
1070,1244.300,12.508,8.178,11.022,12.095,13.392,15.046,16.328,20.658,50.002,0.080
1080,1230.100,12.571,7.936,11.030,12.190,13.484,15.156,16.523,21.269,47.991,0.080
1090,1221.800,12.759,8.080,11.164,12.278,13.653,15.362,16.850,22.893,58.613,0.078
1100,1207.500,12.711,7.990,11.031,12.229,13.573,15.439,17.143,22.458,73.042,0.079
1110,1248.600,12.259,8.069,10.904,11.958,13.070,14.601,15.777,19.990,55.283,0.082
1120,1035.200,15.124,8.255,11.718,13.218,15.754,20.676,25.739,50.867,92.412,0.066
1130,997.600,15.213,8.667,12.426,13.822,16.122,19.694,23.394,40.932,132.163,0.066
1140,1114.300,13.854,8.488,11.894,13.105,14.939,17.251,19.318,26.688,102.235,0.072
1150,1160.800,13.647,8.330,11.768,13.005,14.732,16.860,18.748,25.647,76.232,0.073
1160,1135.800,13.463,8.246,11.452,12.690,14.244,16.255,18.146,24.507,118.869,0.074
1170,1181.500,13.340,7.770,11.556,12.790,14.382,16.399,17.905,23.109,64.950,0.075
1180,1220.200,12.817,8.305,11.284,12.424,13.770,15.540,16.929,21.034,56.811,0.078
1190,1251.100,12.560,8.114,11.084,12.148,13.462,15.061,16.369,20.956,55.505,0.080
1200,1135.700,13.126,8.139,11.342,12.537,14.077,16.094,17.921,25.230,55.083,0.076
1210,1252.900,12.437,7.806,11.027,12.124,13.364,14.866,16.087,20.056,55.163,0.080
1220,1224.100,12.503,7.738,10.908,11.992,13.213,14.786,16.290,23.018,80.950,0.080
1230,1207.900,12.687,7.728,11.049,12.199,13.482,15.242,16.825,22.995,61.887,0.079
1240,1010.000,15.356,8.447,12.102,13.668,16.305,20.974,25.961,43.000,76.892,0.065
1250,1070.700,14.556,8.502,12.096,13.412,15.517,18.520,21.571,36.103,102.604,0.069
1260,1151.300,13.538,8.210,11.756,12.909,14.618,16.751,18.580,23.519,52.632,0.074
