Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,1456,1456.000,3403,15380,35005,51354,68715,125137,152475,200502,261541
1,1766,1766.000,3408,15147,31696,41766,55442,87766,110157,175049,282058
2,2031,2031.000,3598,14183,27560,37015,50162,75332,103010,138085,183989
3,2294,2294.000,3361,13375,23475,32578,45089,61417,88254,124333,213910
4,2163,2163.000,3463,13931,26772,34894,48384,68772,90944,128395,162231
5,2120,2120.000,3272,14548,27283,35624,50180,67994,91318,129641,197696
6,2108,2108.000,3295,14506,26966,35116,49153,67434,88125,134011,216217
7,2379,2379.000,3286,13577,21194,31772,45798,60194,79419,117462,182492
8,2350,2350.000,3295,13407,25085,31854,44997,60135,75227,115425,166204
9,2331,2331.000,3207,13631,24325,31922,45367,59373,75326,119726,172770
10,2254,2254.000,3212,13364,24400,33322,45444,63230,92881,131800,208728
11,2428,2428.000,3146,13473,20309,31013,44515,57730,79419,118211,160644
12,2516,2516.000,3225,12931,19709,29799,43260,56588,73422,107321,150110
13,2383,2383.000,3082,13062,22437,31373,44265,58472,83287,119259,174849
14,2416,2416.000,3237,13383,24660,31048,44107,56798,70541,109730,140345
15,2607,2607.000,3320,12930,17618,28617,40352,53393,64054,110946,133202
16,2505,2505.000,3156,13342,24731,30027,42594,54573,67112,108883,147138
17,2571,2571.000,3196,12990,22729,29110,41631,54299,67104,102206,129087
18,2507,2507.000,3159,12938,21067,29942,42139,55555,77210,108641,139276
19,2616,2616.000,3255,12949,19250,28570,40976,52645,61555,105225,161735
20,2444,2444.000,3019,13167,20766,30730,43671,60017,71374,118819,149997
21,2491,2491.000,3204,12840,21691,30027,41780,57636,74143,119054,167239
22,2542,2542.000,3207,12856,18851,29598,42028,54837,80671,108901,142870
23,2439,2439.000,3211,13091,23902,30752,42911,57585,72743,116206,189494
24,2661,2661.000,3194,12793,20844,28094,40533,51681,59108,100096,121070
25,2507,2507.000,3097,13034,23327,29920,42445,54865,66349,110057,145095
26,2659,2659.000,3116,12637,21791,28181,40615,50781,60841,101578,121361
27,2586,2586.000,2965,12915,22532,29099,41391,53305,66076,105827,136682
28,2755,2755.000,3311,12444,16207,27154,39180,50330,58209,101007,131338
29,2651,2651.000,3198,12875,19806,28291,41172,52084,62196,101551,135186
30,2696,2696.000,3140,12626,19112,27794,39642,50882,58420,104035,134847
31,2539,2539.000,3069,12726,22271,29537,42613,54936,68875,109914,214653
32,2728,2728.000,3207,12345,18389,27446,39570,50206,59906,99069,117945
33,2594,2594.000,3170,12737,21991,28934,41265,53941,67222,103288,136580
34,2750,2750.000,3111,12262,17304,27273,39256,49611,58677,99264,122097
35,2610,2610.000,3032,12390,24627,28903,41344,51991,68743,104175,154007
36,2671,2671.000,3084,12418,18950,27990,39748,51134,63697,103422,236478
37,2827,2827.000,3185,12199,16423,26600,38144,48641,57752,95506,112643
38,2669,2669.000,3277,12522,18576,27882,39851,51727,61971,100410,159888
