Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,104.500,76.947,24.287,58.636,72.373,89.290,107.732,125.639,183.747,342.203,0.013
10,108.800,78.120,25.234,57.343,70.610,87.535,118.087,146.813,215.592,300.311,0.013
20,136.400,69.197,25.642,53.247,64.712,78.801,95.996,111.546,178.379,357.870,0.014
30,145.600,60.590,23.493,48.423,57.664,69.480,80.454,89.048,126.115,230.537,0.017
40,152.400,58.357,23.123,46.708,56.025,67.034,79.514,88.721,110.294,176.672,0.017
50,138.500,66.393,23.682,49.326,60.565,76.456,97.478,115.156,154.469,371.440,0.015
60,152.400,56.801,23.868,46.392,55.054,64.557,75.831,84.849,102.637,238.133,0.018
70,153.800,57.824,22.062,45.653,54.256,64.568,78.230,89.044,142.110,241.202,0.017
80,115.900,73.346,21.382,54.145,69.715,87.710,107.111,123.755,150.024,197.282,0.014
90,129.200,67.422,24.977,51.748,63.795,78.144,94.310,109.215,140.185,170.523,0.015
100,127.000,70.368,24.070,54.449,65.738,82.037,99.737,112.072,167.951,249.609,0.014
110,152.400,59.570,19.584,47.419,56.712,68.344,82.434,91.831,117.325,201.963,0.017
120,120.100,72.740,25.511,53.246,65.404,82.690,107.054,136.564,202.091,327.383,0.014
130,156.500,58.590,24.533,46.992,55.307,65.441,77.287,87.825,131.415,265.232,0.017
140,158.200,56.701,23.272,46.348,54.785,64.874,76.622,82.699,99.676,165.366,0.018
150,161.200,55.855,21.359,45.013,54.007,64.020,74.853,81.946,100.794,212.889,0.018
160,148.500,61.035,23.428,46.778,56.090,68.283,87.321,104.807,138.035,261.456,0.016
170,102.000,82.790,24.761,59.091,76.723,97.774,125.505,147.556,202.271,258.318,0.012
180,120.500,71.435,25.219,54.247,65.957,79.293,98.450,126.942,207.609,315.373,0.014
190,126.900,71.305,24.943,52.178,65.058,81.838,103.956,124.387,187.124,278.011,0.014
200,149.600,61.128,22.270,48.979,58.136,69.806,83.037,93.301,126.217,250.235,0.016
210,152.400,60.624,20.594,48.077,57.948,70.377,81.652,90.355,116.351,288.500,0.016
220,138.100,62.943,23.622,49.423,58.637,71.215,85.611,96.805,153.052,363.938,0.016
