Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1212.800,37.606,4.543,24.680,32.620,43.571,58.292,75.089,131.635,282.867,0.027
10,1154.400,39.611,3.648,23.550,31.816,45.153,70.290,91.166,148.185,311.256,0.025
20,1528.800,29.760,3.826,20.823,27.047,35.300,45.488,53.643,78.791,221.994,0.034
30,1713.000,26.541,3.771,19.263,24.765,31.584,38.856,44.229,60.662,218.206,0.038
40,1758.100,25.969,3.634,18.972,24.262,30.806,37.971,43.258,58.079,225.746,0.039
50,1531.400,29.921,3.666,19.716,25.851,34.595,48.038,61.891,94.882,228.122,0.033
60,1784.100,25.488,4.331,18.560,23.672,30.021,36.378,41.803,63.262,407.578,0.039
70,1760.200,25.628,5.012,18.041,23.311,29.692,37.907,45.694,73.032,213.193,0.039
80,1274.300,35.653,5.560,23.901,32.330,43.419,56.452,65.453,93.201,219.425,0.028
90,1521.200,30.237,3.897,21.204,28.151,36.597,46.229,52.845,70.638,189.550,0.033
100,1468.300,31.447,3.295,21.068,27.720,36.974,49.725,61.560,90.691,263.072,0.032
110,1690.300,26.615,4.655,19.365,24.721,31.517,39.173,45.365,63.546,230.341,0.038
120,1384.800,33.195,4.114,20.971,27.873,39.099,56.910,70.161,102.279,274.506,0.030
130,1750.500,25.756,4.330,18.714,23.965,30.387,37.847,43.268,60.185,201.333,0.039
140,1781.300,25.383,6.028,18.653,23.986,30.086,36.803,41.718,55.796,187.323,0.039
150,1807.300,24.834,4.437,18.438,23.580,29.297,35.805,40.508,53.580,203.885,0.040
160,1638.900,27.385,3.244,18.999,24.357,31.828,42.228,52.848,77.407,217.554,0.037
170,1183.700,39.331,4.776,24.657,33.832,47.086,65.987,82.718,124.518,236.011,0.025
180,1404.900,32.899,3.597,21.759,28.834,38.003,51.415,64.924,110.569,228.787,0.030
190,1415.300,32.073,5.471,21.362,28.146,37.408,50.518,63.933,97.343,245.564,0.031
200,1649.100,27.293,5.425,19.917,25.573,32.354,40.038,45.942,62.147,266.338,0.037
210,1672.800,26.907,4.494,19.632,25.293,32.129,39.394,44.992,60.450,188.836,0.037
220,1628.300,28.210,3.884,19.762,25.399,32.532,41.821,50.255,85.844,276.726,0.035
230,1511.600,30.429,3.651,20.283,26.234,34.666,49.533,62.833,92.365,253.727,0.033
240,1754.900,25.832,4.243,19.088,24.180,30.147,37.212,42.810,64.288,185.623,0.039
250,1621.200,28.173,6.006,19.230,24.824,32.616,43.597,53.673,81.580,356.742,0.035
260,1315.100,34.780,6.837,23.912,31.778,42.064,53.832,63.079,88.918,223.927,0.029
270,1498.400,29.960,5.593,21.422,27.840,35.822,44.321,51.400,70.112,282.097,0.033
280,1383.400,32.862,5.273,21.864,29.289,38.876,52.260,63.692,95.529,217.395,0.030
290,1630.200,27.702,4.699,19.961,25.812,32.918,41.348,47.162,64.441,211.744,0.036
300,1426.100,32.333,3.681,21.043,27.218,36.356,53.541,69.894,111.056,255.880,0.031
310,1594.700,28.506,4.694,19.941,25.556,32.890,42.557,52.387,82.942,329.190,0.035
320,1745.400,25.831,5.143,19.073,24.232,30.296,37.250,42.619,58.950,275.505,0.039
330,1753.900,25.551,3.426,18.610,23.736,30.188,37.637,43.303,60.255,202.194,0.039
340,1815.200,24.928,4.213,18.252,23.215,29.260,35.963,40.841,57.879,350.207,0.040
350,1206.600,37.426,7.910,24.913,33.624,44.932,59.606,71.076,105.058,202.053,0.027
360,1109.100,42.927,4.496,24.874,35.228,52.515,78.212,96.568,138.446,246.293,0.023
370,1386.200,33.125,4.388,21.921,28.802,38.470,52.910,66.850,101.942,269.067,0.030
380,1622.400,27.684,4.307,20.232,26.034,32.868,40.873,46.556,62.154,191.851,0.036
390,1697.800,26.591,5.123,19.643,25.039,31.589,38.782,44.189,58.066,221.531,0.038
400,1689.200,27.048,4.855,19.365,24.727,31.072,38.374,44.203,66.833,815.724,0.037
410,1567.000,29.159,3.149,19.976,25.933,33.849,44.974,55.143,87.094,221.766,0.034
420,1758.300,25.630,5.211,19.127,24.363,30.523,37.244,41.752,53.254,163.529,0.039
430,1535.200,29.456,3.299,19.451,25.481,33.746,47.188,60.392,91.542,238.602,0.034
440,1321.300,34.265,4.683,22.672,30.673,41.555,55.298,65.741,91.035,195.774,0.029
450,1439.300,31.743,3.296,22.074,28.972,37.554,47.751,56.537,86.324,243.693,0.032
460,1391.600,32.649,3.157,21.919,29.174,38.511,50.995,63.435,94.314,214.166,0.031
470,1629.800,27.614,3.665,20.303,25.896,32.602,40.259,45.989,63.761,305.132,0.036
480,1669.400,27.008,3.902,19.943,25.298,31.886,39.247,44.736,62.481,220.440,0.037
490,1679.500,26.791,3.494,19.643,25.243,31.972,39.296,44.523,61.291,220.744,0.037
500,1720.300,26.110,3.751,19.166,24.485,31.134,38.273,43.509,57.331,217.005,0.038
510,1499.900,30.644,4.311,20.158,26.098,34.817,50.657,65.804,96.359,234.360,0.033
520,1748.400,25.988,3.526,19.168,24.209,30.362,37.450,42.887,61.433,269.713,0.038
530,1421.900,31.993,5.095,21.290,27.958,37.608,51.567,62.444,93.461,242.172,0.031
540,1184.200,38.729,4.915,25.825,34.378,45.860,61.673,75.982,113.087,262.059,0.026
550,1280.900,36.075,5.997,23.293,30.912,41.887,59.886,75.847,116.486,248.617,0.028
560,1465.600,31.225,4.657,21.783,28.147,36.104,46.075,56.048,103.151,232.242,0.032
570,1544.400,29.229,3.202,20.930,26.985,34.637,43.191,50.750,74.517,242.461,0.034
580,1464.900,31.630,3.086,21.192,27.747,36.497,51.406,64.302,93.097,215.228,0.032
590,1400.800,33.252,3.322,21.632,28.138,38.107,56.089,72.182,104.616,193.786,0.030
600,1578.500,28.410,3.955,19.913,25.481,31.903,39.276,45.294,116.196,255.108,0.035
610,1377.900,33.028,5.263,21.732,29.006,39.324,53.308,64.365,93.712,273.633,0.030
620,1286.400,35.774,5.124,24.202,32.294,42.953,55.605,66.361,94.685,354.829,0.028
630,1439.000,31.815,4.048,22.160,29.104,37.888,48.248,56.727,83.954,232.731,0.031
640,1445.300,31.109,4.383,21.447,27.900,36.258,45.547,52.688,77.935,431.778,0.032
650,1408.900,32.902,3.877,21.397,28.284,37.817,54.756,69.246,103.422,228.185,0.030
660,1171.200,40.553,5.277,23.933,33.106,50.721,73.581,87.157,120.192,281.634,0.025
670,1589.600,28.407,4.231,20.290,26.144,33.330,41.744,48.538,79.607,242.370,0.035
680,1616.800,27.839,3.947,19.598,25.015,31.879,40.430,48.828,84.391,238.455,0.036
690,1249.600,36.007,4.991,22.857,31.000,42.930,59.420,74.685,110.277,253.305,0.028
700,1266.800,35.870,5.540,24.073,32.229,42.704,56.731,69.589,101.823,219.330,0.028
710,1433.900,31.995,3.824,21.192,28.236,36.936,48.460,57.553,97.172,805.422,0.031
720,1427.500,32.100,4.519,20.114,25.608,33.536,43.131,52.177,204.479,1050.872,0.031
730,1210.700,37.822,4.470,20.186,26.256,35.694,52.800,75.321,331.141,1707.563,0.026
740,1072.300,43.566,6.697,17.924,23.082,31.069,44.251,95.953,567.164,1550.423,0.023
750,1469.400,31.310,5.911,18.448,23.621,30.263,39.457,49.053,243.326,1772.205,0.032
