Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,2694.400,27.728,0.765,12.243,20.578,35.152,53.614,71.856,123.265,415.852,0.036
10,2600.400,28.854,0.645,11.960,21.278,36.106,58.985,78.731,132.354,311.256,0.035
20,3411.100,21.964,0.563,10.439,17.006,28.366,41.588,54.456,86.914,357.870,0.046
30,3798.600,19.751,0.571,9.961,15.880,25.794,36.439,45.843,72.378,230.537,0.051
40,3847.500,19.488,0.567,9.718,15.896,25.509,35.746,44.951,71.223,225.746,0.051
50,3409.900,22.043,0.617,10.040,16.786,27.555,42.933,58.192,93.659,371.440,0.045
60,3944.100,18.975,0.562,9.370,15.477,24.758,34.285,43.740,70.107,407.578,0.053
70,3911.300,19.210,0.622,9.121,15.472,24.741,35.481,47.587,74.163,241.202,0.052
80,2830.500,26.461,0.577,12.300,20.719,34.977,51.634,64.378,98.973,219.425,0.038
90,3324.000,22.544,0.594,10.882,18.166,29.781,42.776,53.468,81.426,189.550,0.044
100,3234.400,23.181,0.561,10.670,17.934,29.480,44.682,59.618,92.979,263.072,0.043
110,3765.700,19.918,0.542,9.924,16.083,25.837,36.740,47.169,73.052,230.341,0.050
120,3058.900,24.506,0.618,10.944,18.582,30.459,49.647,65.128,99.861,327.383,0.041
130,3898.400,19.224,0.566,9.431,15.566,24.984,35.679,45.464,69.994,265.232,0.052
140,3960.300,18.959,0.533,9.456,15.509,25.026,34.676,43.992,68.589,187.323,0.053
150,4013.900,18.673,0.486,9.549,15.368,24.532,33.865,42.592,66.283,212.889,0.054
160,3616.400,20.785,0.482,9.635,16.711,26.520,39.672,52.934,80.905,261.456,0.048
170,2599.100,28.839,0.573,12.761,21.836,36.945,57.258,76.335,119.723,258.318,0.035
180,3088.200,24.237,0.604,11.241,18.698,30.723,45.851,61.634,99.582,315.373,0.041
190,3188.900,23.536,0.584,10.761,18.221,29.816,45.114,60.697,97.478,278.011,0.042
200,3667.900,20.428,0.581,10.119,16.579,26.663,37.601,48.104,74.153,266.338,0.049
210,3726.200,20.141,0.545,9.977,16.386,26.355,37.089,46.886,73.964,288.500,0.050
220,3600.600,20.820,0.604,9.950,16.597,26.674,38.196,50.800,82.327,363.938,0.048
230,3368.600,22.296,0.606,10.303,17.221,27.709,42.931,58.425,91.489,274.176,0.045
240,3890.100,19.239,0.554,9.633,15.761,25.176,34.880,44.924,69.736,241.441,0.052
250,3559.900,21.113,0.585,9.827,16.949,26.800,40.125,52.732,81.580,356.742,0.047
260,2919.900,25.664,0.607,11.850,20.282,33.774,49.661,62.697,95.409,246.691,0.039
270,3378.000,22.198,0.583,10.847,18.009,29.014,41.453,52.251,81.243,282.097,0.045
280,3080.400,24.313,0.532,11.205,18.597,30.932,46.817,62.210,101.206,298.008,0.041
290,3618.900,20.747,0.610,10.289,16.832,27.052,38.543,48.871,75.702,256.496,0.048
300,3181.900,23.565,0.574,10.433,17.970,28.840,45.949,63.467,106.362,355.472,0.042
310,3572.600,21.009,0.551,9.961,16.771,26.725,38.635,52.194,82.946,329.190,0.048
320,3864.700,19.404,0.535,9.717,15.891,25.390,35.430,45.533,69.436,275.505,0.052
