Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,135.500,3.922,1.882,2.569,3.167,4.642,6.288,7.848,11.255,22.861,0.255
10,161.700,3.331,1.813,2.370,2.787,3.755,5.154,6.244,10.405,22.830,0.300
20,163.300,3.191,1.845,2.331,2.693,3.669,4.941,5.838,7.648,16.034,0.313
30,177.500,3.177,1.798,2.326,2.734,3.738,4.705,5.365,7.249,21.468,0.315
40,181.100,3.195,1.826,2.341,2.771,3.724,4.793,5.508,7.143,25.152,0.313
50,167.100,3.261,1.765,2.361,2.791,3.888,4.827,5.580,7.556,32.658,0.307
60,164.800,3.219,1.815,2.367,2.772,3.764,4.717,5.457,8.086,16.819,0.311
70,125.900,3.611,1.860,2.466,3.088,4.177,5.465,6.740,11.135,24.087,0.277
80,114.400,5.098,1.781,2.616,3.619,5.600,9.295,12.991,27.562,52.702,0.196
90,131.200,3.984,1.792,2.509,3.049,4.173,6.063,8.288,23.386,38.876,0.251
100,158.600,3.375,1.806,2.412,2.894,3.671,5.134,6.471,9.155,18.279,0.296
110,152.100,3.329,1.800,2.418,2.880,3.656,5.000,6.127,8.915,22.497,0.300
120,178.700,3.060,1.804,2.355,2.748,3.309,4.217,5.082,7.358,58.625,0.327
130,165.200,3.106,1.812,2.354,2.742,3.360,4.333,5.260,7.861,39.732,0.322
140,129.500,3.719,1.860,2.497,3.014,3.971,5.697,7.942,14.177,32.937,0.269
150,156.300,3.269,1.849,2.413,2.828,3.590,4.754,5.984,9.727,21.759,0.306
160,160.100,3.246,1.804,2.399,2.861,3.533,4.715,5.717,8.428,18.509,0.308
170,145.500,3.227,1.797,2.403,2.810,3.517,4.646,5.710,8.553,31.193,0.310
180,166.700,3.006,1.853,2.370,2.720,3.322,4.149,4.772,7.153,19.431,0.333
190,176.500,2.981,1.775,2.328,2.695,3.299,4.056,4.868,6.822,14.981,0.335
200,178.700,2.976,1.751,2.333,2.665,3.280,4.156,4.945,6.848,18.848,0.336
210,154.700,3.050,1.792,2.340,2.674,3.240,4.224,5.251,7.588,52.729,0.328
220,134.200,3.691,1.849,2.452,2.956,3.961,5.843,7.530,14.692,28.263,0.271
230,153.800,3.326,1.832,2.395,2.787,3.510,4.708,5.923,11.468,40.829,0.301
240,161.600,3.103,1.838,2.389,2.767,3.433,4.476,5.381,7.650,19.471,0.322
250,173.400,3.046,1.832,2.341,2.688,3.305,4.266,5.247,7.846,14.223,0.328
260,167.700,3.084,1.824,2.342,2.688,3.354,4.417,5.415,8.573,13.978,0.324
270,166.200,2.965,1.781,2.329,2.644,3.226,3.952,4.868,7.517,13.482,0.337
280,177.700,2.971,1.808,2.332,2.654,3.239,4.098,5.054,7.351,14.028,0.337
290,174.500,3.091,1.822,2.350,2.717,3.367,4.429,5.304,8.727,23.100,0.323
300,137.400,3.541,1.853,2.440,2.914,3.838,5.603,7.240,11.302,27.711,0.282
310,155.800,3.261,1.800,2.372,2.773,3.563,4.729,5.804,10.250,40.687,0.307
320,145.200,3.323,1.863,2.401,2.850,3.577,4.978,6.120,9.355,22.164,0.301
330,167.100,3.141,1.758,2.357,2.763,3.461,4.493,5.504,8.444,19.895,0.318
340,173.000,3.018,1.797,2.333,2.695,3.296,4.348,5.205,7.148,16.696,0.331
350,173.400,3.022,1.794,2.335,2.669,3.313,4.290,5.067,7.406,22.871,0.331
360,168.500,2.975,1.793,2.329,2.658,3.209,4.112,4.863,7.511,30.552,0.336
370,175.200,3.044,1.830,2.350,2.678,3.267,4.235,5.256,8.121,22.458,0.328
380,134.300,3.544,1.796,2.452,2.905,3.839,5.603,7.023,13.002,21.704,0.282
390,148.100,3.388,1.809,2.418,2.815,3.647,5.311,6.422,10.188,23.295,0.295
400,162.700,3.225,1.827,2.377,2.748,3.510,4.659,5.755,9.816,26.461,0.310
410,169.500,3.139,1.790,2.388,2.748,3.358,4.406,5.392,8.646,22.488,0.319
420,161.400,3.079,1.848,2.344,2.729,3.422,4.437,5.427,7.198,14.175,0.325
430,180.000,3.109,1.833,2.363,2.730,3.387,4.456,5.548,8.026,19.951,0.322
440,173.600,3.105,1.795,2.333,2.706,3.414,4.365,5.339,8.575,22.683,0.322
450,179.500,2.980,1.806,2.329,2.646,3.252,4.109,4.857,7.648,24.621,0.336
460,134.800,3.554,1.785,2.425,2.887,3.829,5.497,7.012,11.938,24.882,0.281
470,154.900,3.490,1.822,2.441,2.839,3.792,5.291,6.777,12.713,32.305,0.287
480,155.600,3.287,1.792,2.414,2.780,3.660,4.758,5.838,9.555,33.370,0.304
