Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,3336.800,22.424,1.882,9.773,18.538,29.799,42.117,57.373,83.172,161.123,0.045
10,4038.600,18.562,1.813,8.861,15.526,25.604,32.890,42.001,63.929,122.659,0.054
20,4195.100,17.870,1.845,8.607,14.704,24.792,31.244,38.437,62.335,129.511,0.056
30,4376.300,17.131,1.798,8.470,13.533,23.814,29.841,35.603,59.330,155.414,0.058
40,4453.000,16.843,1.826,8.289,12.621,23.616,29.416,35.446,58.121,150.377,0.059
50,4151.400,18.065,1.765,8.315,14.444,24.383,32.037,48.694,63.897,343.906,0.055
60,4228.300,17.749,1.815,8.162,14.022,24.060,31.067,46.937,65.621,177.667,0.056
70,3063.100,24.473,1.860,10.163,19.540,30.956,48.429,65.206,101.617,228.446,0.041
80,2715.100,27.636,1.781,10.598,21.259,35.884,56.908,72.440,117.912,292.822,0.036
90,3281.200,22.835,1.792,9.374,17.984,29.884,46.796,59.642,88.294,212.684,0.044
100,3991.100,18.794,1.806,8.723,15.257,25.722,33.429,44.588,67.098,136.097,0.053
110,3825.300,19.607,1.800,8.615,15.464,25.823,35.868,53.165,77.775,198.423,0.051
120,4365.900,17.175,1.804,8.220,13.741,23.916,30.226,38.143,59.647,136.558,0.058
130,4140.100,18.111,1.812,8.216,14.749,24.597,32.137,45.470,66.652,152.223,0.055
140,3227.500,23.239,1.860,9.754,18.482,30.123,46.399,61.910,90.380,229.419,0.043
150,3855.400,19.455,1.849,8.911,16.445,26.615,35.230,46.348,66.594,134.229,0.051
160,4065.200,18.444,1.804,8.554,15.132,25.219,32.934,44.279,64.766,130.990,0.054
170,3732.700,20.094,1.797,8.709,15.857,25.978,38.395,55.327,78.742,323.120,0.050
180,4286.200,17.495,1.853,8.288,14.172,24.409,30.749,39.344,60.357,124.041,0.057
190,4390.900,17.075,1.775,8.238,13.617,23.686,30.166,37.364,59.581,122.494,0.059
200,4395.800,17.062,1.751,8.052,13.397,23.740,30.369,39.007,59.824,105.738,0.059
210,3968.800,18.909,1.792,8.232,15.211,24.820,33.855,50.625,79.476,190.462,0.053
220,3338.200,22.442,1.849,9.528,18.386,29.643,44.715,57.517,82.225,168.491,0.045
230,3882.400,19.328,1.832,8.744,16.151,26.123,35.298,47.163,68.309,170.052,0.052
240,4034.800,18.583,1.838,8.609,15.083,25.204,32.777,45.655,67.460,421.716,0.054
250,4242.800,17.677,1.832,8.341,14.468,24.354,31.196,40.643,61.565,138.722,0.057
260,4189.600,17.907,1.824,8.394,14.347,24.598,31.541,43.018,63.742,126.046,0.056
270,4239.500,17.680,1.781,8.324,14.055,24.204,31.187,44.698,62.918,143.661,0.057
280,4407.200,17.022,1.808,8.104,13.309,23.636,30.081,38.290,59.457,126.191,0.059
290,4184.400,17.980,1.822,8.112,14.608,24.436,32.199,46.211,67.128,151.674,0.056
300,3369.400,22.188,1.853,9.528,18.095,29.480,43.733,56.446,79.235,188.704,0.045
310,3966.800,18.909,1.800,8.734,15.704,25.823,34.045,46.190,65.752,151.226,0.053
320,3787.500,19.801,1.863,8.762,15.791,26.317,36.324,51.890,75.818,256.671,0.051
330,4073.300,18.405,1.758,8.470,14.945,25.027,32.598,46.190,66.747,151.748,0.054
340,4268.600,17.569,1.797,8.321,14.221,24.303,30.896,40.066,61.778,105.454,0.057
350,4364.500,17.189,1.794,8.249,13.446,23.911,30.346,38.027,60.088,111.272,0.058
360,4249.300,17.648,1.793,8.173,14.305,24.029,30.696,45.123,64.212,301.048,0.057
370,4283.300,17.502,1.830,7.940,14.241,24.156,31.201,43.466,62.367,150.123,0.057
380,3298.500,22.747,1.796,9.687,18.593,30.304,44.868,57.454,80.295,149.294,0.044
390,3734.700,20.077,1.809,8.891,16.408,26.774,36.877,50.829,76.400,160.975,0.050
400,4044.700,18.544,1.827,8.574,15.058,25.448,33.311,44.377,65.334,130.976,0.054
410,4242.600,17.673,1.790,8.364,14.133,24.394,31.382,41.088,61.896,113.721,0.057
420,4060.100,18.470,1.848,8.356,14.487,24.714,32.612,49.468,71.351,155.300,0.054
430,4288.700,17.486,1.833,8.211,13.432,24.154,31.053,42.540,62.492,137.771,0.057
440,4202.300,17.854,1.795,8.408,14.043,24.491,31.711,43.055,64.365,151.484,0.056
450,4450.500,16.865,1.806,7.995,13.205,23.508,29.710,38.644,58.671,109.990,0.059
460,3284.600,22.807,1.785,9.699,18.712,30.523,45.004,57.057,82.187,168.995,0.044
470,3744.500,20.033,1.822,8.984,16.221,26.821,36.497,50.941,75.232,251.704,0.050
480,3899.000,19.235,1.792,8.642,15.397,25.636,34.519,50.014,72.045,276.396,0.052
490,4211.100,17.806,1.837,8.353,14.557,24.576,31.644,41.105,61.953,132.397,0.056
500,4299.600,17.444,1.772,8.325,13.847,24.260,31.032,39.340,60.976,114.424,0.057
510,4136.400,18.135,1.827,8.311,14.156,24.524,32.314,47.121,67.523,151.354,0.055
520,4303.100,17.424,1.840,8.308,14.008,24.043,30.630,38.900,61.041,117.721,0.057
530,4095.300,18.308,1.809,8.217,14.053,24.420,32.563,49.205,72.434,181.771,0.055
540,3271.900,22.927,1.846,9.401,18.110,29.447,45.791,59.987,94.521,342.805,0.044
550,3686.300,20.341,1.866,9.181,17.008,27.729,37.465,48.575,71.657,128.480,0.049
560,3892.500,19.272,1.865,8.851,15.998,26.306,34.785,45.465,67.938,189.688,0.052
570,4186.000,17.917,1.824,8.407,14.361,24.796,32.017,41.372,63.395,132.888,0.056
580,4327.100,17.325,1.838,8.269,13.678,23.939,30.681,39.043,61.258,148.027,0.058
590,4117.400,18.219,1.815,8.315,14.108,24.517,32.244,48.859,68.381,295.488,0.055
600,4227.600,17.750,1.808,8.247,13.643,24.081,31.398,45.934,64.506,169.413,0.056
610,4375.500,17.129,1.796,8.086,13.290,23.749,30.408,40.859,60.089,121.752,0.058
620,3848.700,19.497,1.830,8.420,15.695,25.677,36.105,51.947,78.305,338.050,0.051
630,3213.000,23.352,1.833,9.590,18.275,30.568,47.968,61.983,90.215,186.567,0.043
640,3923.200,19.103,1.843,8.777,15.654,26.113,34.559,46.434,66.318,168.847,0.052
650,4092.100,18.326,1.800,8.533,15.203,25.195,32.687,42.764,63.282,125.948,0.055
660,4276.500,17.533,1.830,8.341,14.059,24.287,30.955,39.954,60.104,124.889,0.057
670,4361.600,17.200,1.831,8.209,13.842,23.945,30.247,37.633,59.493,145.029,0.058
680,4140.100,18.113,1.807,8.274,13.862,24.336,32.009,47.860,69.922,222.967,0.055
690,4212.700,17.815,1.830,8.247,13.899,24.119,31.387,46.736,65.150,373.445,0.056
700,4317.700,17.355,1.794,8.012,13.035,23.787,30.953,44.641,63.322,138.535,0.058
710,3346.800,22.418,1.859,9.475,18.235,29.671,44.137,57.391,85.461,163.433,0.045
720,3881.300,19.312,1.829,8.807,15.859,26.509,35.179,46.750,67.411,138.779,0.052
730,4076.600,18.400,1.821,8.593,15.105,25.252,32.977,43.724,63.945,114.518,0.054
740,3882.600,19.322,1.818,8.669,15.337,25.854,35.017,50.751,73.683,159.231,0.052
750,4107.200,18.255,1.819,8.579,15.096,25.188,32.484,42.006,62.635,136.473,0.055
760,3602.400,20.818,1.793,8.648,16.079,26.449,37.728,55.203,88.238,284.739,0.048
770,3603.800,20.811,1.823,8.681,15.694,26.350,39.440,55.617,88.173,274.145,0.048
780,3322.300,22.575,1.804,9.537,18.456,29.322,44.262,58.331,87.559,185.708,0.044
790,3149.800,23.810,1.842,9.776,19.016,30.658,46.870,60.676,103.014,199.933,0.042
800,3325.700,22.549,1.808,9.382,17.883,29.320,45.342,59.412,87.912,285.147,0.044
810,3993.400,18.782,1.802,8.781,15.439,25.850,33.583,44.268,64.946,136.085,0.053
820,3988.200,18.805,1.801,8.649,15.406,25.578,33.510,44.996,67.702,173.991,0.053
830,3368.900,22.260,1.800,8.684,16.144,26.298,37.687,57.945,203.984,281.700,0.045
840,2990.800,25.144,1.851,9.631,18.676,29.879,47.941,66.467,149.780,553.207,0.040
850,3357.900,22.271,1.878,9.594,18.299,29.442,42.933,55.738,85.101,175.539,0.045
860,3188.400,23.521,1.787,9.447,17.749,29.799,50.388,65.136,96.200,319.964,0.043
870,4015.700,18.676,1.796,8.644,15.212,25.655,33.053,43.351,66.314,141.190,0.054
880,4083.500,18.364,1.835,8.507,14.393,25.350,32.806,43.400,65.749,174.902,0.054
890,4178.100,17.959,1.829,8.550,14.359,24.816,31.580,39.669,63.277,147.355,0.056
900,4201.100,17.848,1.801,8.339,14.055,24.650,31.423,41.251,64.061,159.770,0.056
910,3655.600,20.524,1.726,8.843,16.723,27.030,38.950,54.459,78.533,174.842,0.049
920,3202.800,23.409,1.800,9.666,18.486,30.666,46.803,60.852,90.815,266.345,0.043
930,3816.100,19.651,1.809,8.950,16.085,26.938,35.638,47.641,69.721,153.304,0.051
940,3930.600,19.081,1.820,8.687,15.616,26.129,34.237,45.082,67.326,138.208,0.052
950,3773.400,19.874,1.804,8.785,15.726,26.700,36.614,52.910,74.138,158.855,0.050
960,4029.300,18.616,1.797,8.476,14.318,25.390,33.065,48.148,69.049,144.864,0.054
970,4078.400,18.385,1.864,8.463,14.519,25.219,32.625,45.558,66.798,128.201,0.054
980,3981.300,18.838,1.850,8.514,14.560,25.463,33.506,50.694,70.902,199.706,0.053
990,3251.200,23.069,1.833,9.699,18.831,30.078,45.105,58.961,88.454,191.920,0.043
1000,3619.100,20.720,1.823,9.165,16.860,27.932,38.700,51.676,75.209,175.088,0.048
1010,4053.000,18.505,1.836,8.606,15.106,25.495,33.231,43.177,64.106,151.298,0.054
1020,3856.000,19.447,1.829,8.568,15.206,25.656,35.679,52.819,76.255,159.277,0.051
1030,4230.200,17.729,1.828,8.338,14.338,24.499,31.269,41.847,61.347,151.514,0.056
1040,3877.900,19.340,1.836,8.601,15.017,25.562,35.245,52.186,75.056,207.563,0.052
1050,4150.700,18.068,1.846,8.448,14.197,24.817,31.905,43.771,64.575,140.583,0.055
1060,4249.700,17.648,1.846,8.272,13.822,24.515,31.519,40.240,61.986,159.607,0.057
1070,3621.300,20.721,1.850,8.868,16.640,27.114,40.125,55.197,79.960,194.426,0.048
1080,3005.400,24.983,1.886,10.410,19.754,33.133,49.476,64.654,94.769,190.403,0.040
1090,3157.900,23.711,1.819,9.554,18.699,30.480,46.313,62.350,102.264,208.956,0.042
1100,3423.400,21.906,1.832,9.245,17.011,28.750,42.430,58.509,87.494,177.379,0.046
1110,3765.200,19.921,1.794,9.002,16.316,27.078,36.238,49.433,71.202,175.639,0.050
1120,3397.000,22.079,1.796,8.851,16.522,27.263,40.004,58.039,101.370,407.508,0.045
1130,3535.200,21.220,1.888,9.144,17.343,27.905,40.775,55.933,79.832,151.904,0.047
1140,3408.500,21.987,1.848,9.473,18.132,29.390,41.477,55.327,81.579,203.014,0.045
1150,3923.900,19.110,1.859,8.706,16.032,26.197,34.480,46.102,66.463,135.163,0.052
1160,3689.300,20.332,1.822,8.861,15.859,26.774,38.447,53.939,78.961,165.293,0.049
1170,4042.700,18.553,1.824,8.697,14.963,25.638,33.184,42.526,65.796,124.022,0.054
1180,4009.800,18.705,1.805,8.574,15.207,25.448,33.183,45.454,70.301,153.785,0.053
1190,4348.100,17.248,1.814,8.183,13.674,24.049,30.573,38.208,60.153,102.024,0.058
1200,4033.600,18.597,1.774,8.449,14.054,25.101,33.416,49.460,70.300,187.146,0.054
1210,4134.400,18.134,1.842,8.232,13.871,24.517,32.483,48.767,67.530,164.363,0.055
1220,3247.000,23.100,1.817,9.597,18.665,30.527,46.442,58.303,85.863,286.281,0.043
1230,3832.200,19.572,1.778,8.848,16.088,26.659,35.954,47.480,68.917,154.515,0.051
1240,4013.300,18.683,1.808,8.612,14.868,25.431,33.150,45.038,67.931,245.590,0.054
1250,4137.400,18.126,1.854,8.445,14.536,25.066,32.140,41.699,64.928,157.889,0.055
1260,4114.100,18.232,1.832,8.352,14.416,24.548,32.489,48.269,67.759,229.482,0.055
1270,4369.800,17.167,1.797,8.151,13.668,23.722,30.353,38.496,59.724,120.829,0.058
1280,4123.100,18.188,1.807,8.403,14.309,24.657,32.437,46.369,66.603,141.379,0.055
1290,4296.900,17.452,1.844,8.134,13.286,23.868,30.495,42.874,64.203,245.806,0.057
1300,3688.900,20.327,1.844,8.838,16.601,27.094,38.773,52.403,74.546,169.822,0.049
1310,2958.600,25.373,1.809,9.931,19.008,32.123,53.616,70.453,110.390,361.685,0.039
1320,3947.800,18.977,1.882,8.830,15.561,25.998,34.030,44.962,66.141,123.540,0.053
1330,4125.400,18.183,1.847,8.452,14.621,24.984,32.464,43.381,64.543,129.013,0.055
1340,4240.400,17.687,1.767,8.394,13.980,24.492,31.374,40.520,61.841,108.047,0.057
1350,4196.200,17.867,1.825,8.358,14.180,24.560,31.575,42.253,64.685,112.668,0.056
1360,4291.900,17.486,1.832,8.288,13.983,24.203,30.957,39.699,61.671,143.660,0.057
1370,4072.800,18.406,1.806,8.344,14.207,24.771,33.213,48.877,68.863,178.877,0.054
1380,3938.600,19.042,1.840,8.264,15.371,25.093,34.221,52.300,74.195,178.682,0.053
1390,3430.700,21.866,1.798,9.394,17.525,28.651,41.280,55.710,82.411,284.126,0.046
1400,3813.500,19.658,1.862,8.951,16.223,26.620,35.928,48.175,70.379,160.651,0.051
1410,4063.600,18.464,1.816,8.600,15.055,25.143,32.764,43.356,66.493,137.066,0.054
1420,4157.600,18.038,1.809,8.429,14.358,24.704,31.854,43.754,64.953,132.609,0.055
1430,3782.700,19.826,1.808,8.559,15.126,25.783,37.747,55.619,79.835,188.874,0.050
1440,4200.500,17.866,1.782,8.368,13.871,24.305,31.158,44.740,65.960,263.185,0.056
1450,4329.100,17.308,1.777,8.132,13.637,23.826,30.411,41.188,62.118,123.048,0.058
1460,3286.900,22.829,1.865,9.581,18.308,29.732,45.469,58.928,87.416,285.097,0.044
1470,3680.800,20.371,1.810,9.082,16.828,27.420,37.335,50.325,74.164,175.076,0.049
1480,3923.700,19.104,1.790,8.696,15.772,25.917,33.972,45.129,70.120,131.443,0.052
1490,3793.300,19.772,1.840,8.629,15.391,25.948,36.285,53.733,79.234,149.340,0.051
1500,4159.300,18.039,1.823,8.413,14.433,24.464,31.419,43.947,66.979,129.354,0.055
1510,4236.100,17.699,1.786,8.361,14.340,24.287,31.127,40.181,63.973,114.964,0.057
1520,4104.000,18.273,1.810,8.341,14.140,24.537,32.372,47.673,70.809,160.437,0.055
1530,3753.400,19.978,1.834,8.435,15.911,25.755,37.319,54.172,84.326,291.114,0.050
1540,3418.100,21.950,1.821,9.443,17.827,29.206,41.685,55.526,82.952,176.454,0.046
1550,3609.100,20.776,1.795,8.999,16.670,27.482,39.588,54.871,79.521,172.781,0.048
1560,4121.600,18.195,1.839,8.514,14.941,25.022,32.147,41.539,64.852,166.454,0.055
1570,4030.100,18.612,1.850,8.417,15.095,24.981,33.157,48.193,68.614,157.761,0.054
1580,4221.000,17.771,1.908,8.308,14.237,24.521,31.487,40.602,63.656,143.884,0.056
1590,4345.700,17.251,1.851,8.268,13.662,23.914,30.339,37.854,60.436,128.075,0.058
1600,3977.200,18.861,1.804,8.330,14.546,24.969,34.938,51.336,74.133,238.679,0.053
1610,3729.100,20.102,1.846,8.669,16.371,26.431,38.424,51.770,82.388,183.121,0.050
1620,3555.100,21.107,1.845,9.323,17.376,28.488,39.592,52.535,76.118,158.251,0.047
1630,3722.700,20.141,1.817,8.987,16.362,26.965,36.968,50.425,76.338,174.711,0.050
1640,3931.500,19.086,1.850,8.803,15.098,26.174,34.416,45.520,69.566,156.539,0.052
1650,3900.700,19.227,1.861,9.012,15.267,26.426,34.615,44.064,68.335,131.952,0.052
1660,3425.700,21.885,1.866,9.113,16.492,27.991,42.865,61.121,94.801,201.833,0.046
1670,3814.900,19.787,1.858,8.903,15.420,26.469,34.864,49.462,74.106,273.989,0.051
1680,3587.900,20.785,1.865,9.024,16.613,27.096,37.980,54.721,84.936,157.032,0.048
1690,2773.600,27.010,1.848,10.744,21.221,34.974,54.983,71.041,111.679,286.930,0.037
1700,3333.600,22.502,1.866,9.795,18.159,29.915,41.911,58.230,86.168,212.058,0.044
1710,3580.400,21.014,1.792,9.421,17.412,28.436,38.545,50.898,75.713,241.839,0.048
1720,3282.700,22.767,1.879,9.436,17.381,29.044,45.092,62.545,97.237,190.276,0.044
1730,3068.000,24.758,1.891,9.177,16.650,27.554,37.893,55.009,151.635,860.150,0.040
1740,3661.000,20.231,1.856,8.944,16.704,26.924,37.326,52.698,74.281,162.824,0.049
1750,3164.900,23.688,1.768,10.112,19.682,31.504,46.086,59.241,85.133,227.210,0.042
1760,3557.300,21.079,1.831,9.346,17.261,28.157,39.383,53.135,78.368,203.629,0.047
1770,3350.900,22.392,1.771,8.992,17.628,27.507,38.089,51.473,81.919,694.143,0.045
1780,3627.900,20.667,1.825,9.019,16.157,27.139,39.322,55.168,81.334,359.370,0.048
1790,3890.000,19.293,1.796,8.788,15.310,25.917,34.762,50.307,71.692,164.736,0.052
1800,330.000,21.990,1.958,8.705,14.894,27.340,48.242,64.811,97.940,210.681,0.045
