Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,2261,2261.000,2281,12614,25464,32643,43284,69154,86002,123378,161123
1,2655,2655.000,2158,10986,22901,28158,38075,57982,71994,106064,157911
2,3111,3111.000,2093,10271,19995,24112,32045,44661,63615,86469,147455
3,3146,3146.000,2104,10123,20307,23921,31839,45169,60251,83969,119528
4,3488,3488.000,1985,9880,17948,21332,29169,38807,51508,73405,109085
5,3555,3555.000,1954,9491,17398,21032,28487,39301,53037,70647,106548
6,3791,3791.000,1924,9360,15792,19777,26941,35868,50005,65826,130854
7,3772,3772.000,1882,9333,17114,19817,27212,35224,44083,67444,96642
8,3723,3723.000,1915,9590,17947,20265,27744,35508,44104,68373,109494
9,3866,3866.000,1939,9177,16443,19411,26789,34436,42890,66351,83261
10,3862,3862.000,1928,9098,16617,19335,26789,33726,41373,66851,102350
11,3973,3973.000,1813,9016,15626,18838,25859,33499,43792,64128,122659
12,3992,3992.000,1867,9027,15776,18924,26198,33596,40300,65960,110620
13,3840,3840.000,1863,8838,16420,19455,26739,36033,48062,66560,92235
14,4004,4004.000,1938,8887,15913,18713,25424,33706,42396,65461,114141
15,3937,3937.000,1919,8795,16705,19019,26106,33681,45519,65246,93623
16,4232,4232.000,1860,8664,12962,17793,24780,31894,38535,63343,85842
17,4221,4221.000,1823,8807,14252,17711,24708,30868,36507,60536,78884
18,4188,4188.000,1953,8708,15033,17848,24759,31209,41872,61921,84216
19,4137,4137.000,1837,8690,15690,18188,25177,31890,39194,63257,83886
20,4136,4136.000,1914,8878,15266,18178,25064,31476,37647,63478,94105
21,4341,4341.000,1911,8500,13113,17164,23828,29754,35063,59070,81926
22,4147,4147.000,1915,8731,14194,18123,24946,31564,39937,65562,129511
23,4116,4116.000,1863,8760,14809,18209,25164,32053,38962,62944,103370
24,4480,4480.000,1903,8406,11497,16704,23590,29534,34542,57873,77035
25,4027,4027.000,1845,8669,16554,18708,25448,32589,43152,63050,122238
26,4172,4172.000,1859,8536,15504,17887,25016,31118,37427,61346,117081
27,4338,4338.000,1967,8461,13123,17403,24398,30358,35599,61176,91321
28,3896,3896.000,1917,8819,15929,19149,26008,34813,46026,67481,126410
