Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1436.600,13.677,6.702,8.810,10.446,13.622,20.400,32.801,63.653,184.599,0.073
10,1885.900,10.181,6.480,7.648,8.727,10.090,11.817,17.696,44.379,112.794,0.098
20,1840.000,10.712,6.357,7.588,8.730,9.912,11.345,17.116,70.700,161.387,0.093
30,1961.400,9.845,6.065,7.427,8.559,9.661,10.598,13.579,54.245,118.347,0.102
40,2059.800,8.955,6.108,7.283,8.474,9.441,10.157,11.322,19.445,171.601,0.112
50,1404.100,14.614,6.053,8.012,9.331,13.357,22.690,36.577,100.372,332.064,0.068
60,1512.100,14.072,6.259,8.030,9.664,12.074,23.732,38.729,79.782,193.472,0.071
70,1424.300,13.040,6.096,7.986,9.362,11.065,17.506,27.106,73.201,463.601,0.077
80,1272.000,14.000,5.898,8.776,9.838,12.382,18.011,23.492,38.234,705.732,0.071
90,1730.800,10.796,5.713,7.399,8.824,9.678,11.390,14.199,30.095,444.858,0.093
100,1796.200,10.141,5.679,7.401,8.684,9.544,10.783,12.982,21.303,495.916,0.099
110,1685.800,10.536,5.931,7.492,8.825,9.586,10.989,14.130,36.609,333.429,0.095
120,1970.900,9.389,5.999,7.360,8.661,9.394,10.370,12.178,23.631,244.861,0.107
130,1590.000,13.318,6.100,7.467,8.912,9.928,16.806,38.934,90.379,305.126,0.075
140,1367.000,15.054,6.499,8.799,10.229,14.029,26.211,37.664,88.445,163.323,0.066
150,1712.400,11.333,6.200,7.830,9.312,10.625,15.322,22.162,49.159,151.738,0.088
160,1705.800,11.229,6.062,7.634,9.153,10.402,15.585,22.453,46.657,225.430,0.089
170,1879.000,10.530,6.046,7.606,8.947,9.848,13.543,18.366,46.213,150.738,0.095
180,1761.900,10.606,5.992,7.560,8.902,9.902,13.953,21.093,42.931,180.934,0.094
190,2037.900,9.284,5.762,7.602,8.622,9.453,11.360,14.872,26.364,53.300,0.108
200,2082.100,8.958,5.793,7.349,8.566,9.269,10.110,11.464,21.944,102.923,0.112
210,1718.000,11.743,6.098,7.899,9.137,10.595,15.736,25.306,68.295,174.136,0.085
220,1491.300,13.834,5.954,8.366,9.869,12.232,20.816,35.361,89.779,222.643,0.072
230,1468.200,13.592,6.355,8.235,9.808,12.696,21.965,34.459,79.654,228.939,0.074
240,1868.200,10.155,6.219,7.614,9.137,10.116,13.266,17.479,35.674,89.720,0.098
250,1995.200,9.560,5.960,7.552,8.889,9.654,11.917,15.082,29.593,80.125,0.105
260,2005.600,9.397,5.873,7.594,8.703,9.588,11.330,13.881,28.683,79.755,0.106
270,1950.000,9.654,5.914,7.605,8.785,9.604,11.605,14.885,27.371,115.818,0.104
280,1992.100,9.152,5.966,7.403,8.686,9.360,10.360,12.002,24.888,163.401,0.109
290,1516.400,13.602,6.063,8.552,9.719,12.491,22.914,35.927,79.849,96.603,0.074
300,1664.700,12.084,6.280,7.993,9.612,11.369,19.288,28.711,49.837,92.627,0.083
310,1704.300,11.576,6.029,7.991,9.350,10.916,17.454,25.068,48.551,106.857,0.086
320,1771.000,10.959,5.713,7.339,8.725,9.742,14.613,23.164,67.499,128.886,0.091
330,2030.700,9.353,5.854,7.166,8.370,9.306,10.946,14.875,31.476,139.478,0.107
340,2023.000,9.383,5.756,7.220,8.310,9.120,10.815,15.642,30.226,112.603,0.107
350,2156.400,8.760,5.750,7.144,8.251,9.070,10.004,11.897,20.119,152.987,0.114
360,2149.200,8.772,5.806,7.029,8.193,9.032,9.714,11.027,24.230,129.681,0.114
370,1344.700,15.815,6.307,8.759,10.264,14.719,29.635,44.653,88.591,236.406,0.063
380,1757.300,11.400,6.185,7.547,8.803,10.346,17.049,25.922,52.874,153.426,0.088
390,1858.600,10.381,5.933,7.253,8.546,9.587,13.797,21.012,41.875,127.312,0.096
400,2036.100,9.161,5.874,7.150,8.388,9.381,11.511,14.814,26.468,128.585,0.109
410,2005.900,9.288,5.797,7.328,8.515,9.432,11.853,15.430,27.734,60.778,0.108
420,2175.800,8.549,5.708,7.123,8.304,9.112,10.279,12.002,18.587,54.736,0.117
430,2179.800,8.402,6.000,7.072,7.967,9.041,9.666,10.499,19.663,71.908,0.119
440,1447.000,15.051,6.009,8.332,9.792,14.398,29.330,42.639,82.268,159.306,0.066
450,1817.700,10.857,5.948,7.485,8.630,10.078,14.372,20.200,53.082,163.712,0.092
460,1705.400,11.258,6.081,7.453,8.821,10.223,17.183,27.299,52.593,105.783,0.089
470,2095.400,8.882,5.933,7.202,8.448,9.377,11.228,13.134,20.545,41.873,0.113
480,2030.200,9.281,5.451,7.194,8.377,9.280,11.500,17.747,28.060,69.678,0.108
490,2126.800,8.607,5.806,7.113,8.318,9.138,10.386,12.239,19.973,49.233,0.116
500,2014.800,9.085,5.966,7.138,8.156,9.225,10.714,13.836,34.079,76.743,0.110
510,2004.400,9.843,5.944,7.150,8.367,9.355,11.634,15.916,53.682,104.192,0.102
520,1490.500,14.382,6.129,7.969,9.398,11.919,24.126,42.825,79.431,325.996,0.070
530,1876.100,10.704,6.170,7.461,8.638,10.004,14.933,22.750,43.345,158.499,0.093
540,1888.800,10.375,5.996,7.228,8.554,9.523,12.995,20.561,45.135,148.370,0.096
550,1477.400,14.049,5.982,7.533,8.841,11.168,24.648,36.124,102.852,183.311,0.071
560,2082.600,9.262,5.359,7.154,8.309,9.192,10.663,13.641,29.596,159.554,0.108
570,2127.500,8.639,5.660,7.199,8.256,9.177,10.526,12.513,19.507,49.468,0.116
580,2178.800,8.494,5.792,7.081,8.154,9.049,9.782,11.036,18.445,81.899,0.118
590,1634.400,13.145,5.979,7.163,8.512,9.429,15.698,36.320,113.855,323.523,0.076
600,1489.600,14.528,6.417,8.442,9.837,14.065,25.490,38.885,72.012,267.129,0.069
610,1684.600,12.420,6.001,7.574,8.968,10.791,20.856,30.982,65.038,212.850,0.081
620,1691.000,12.269,6.071,7.439,8.964,10.451,21.774,32.583,61.798,145.382,0.082
630,1339.800,17.832,6.203,7.580,9.028,10.976,23.334,39.212,256.973,574.252,0.056
640,1548.700,13.895,6.057,7.565,8.772,10.586,20.799,38.796,80.353,272.248,0.072
650,1630.200,12.418,6.065,7.522,8.844,10.122,16.414,28.384,61.880,365.449,0.081
660,1492.800,14.260,6.482,8.391,9.824,12.699,22.443,35.764,80.257,239.471,0.070
670,1555.500,13.772,6.077,7.675,9.217,11.635,22.658,37.952,76.733,280.174,0.073
680,1079.200,24.441,6.081,7.735,9.308,11.550,27.486,65.157,402.177,573.836,0.041
690,1843.200,10.639,5.997,7.281,8.413,9.540,13.252,23.828,52.667,174.136,0.094
700,2119.100,8.829,5.928,7.207,8.120,9.340,11.002,13.554,22.156,58.949,0.113
710,2055.100,9.074,5.680,7.234,8.395,9.184,10.398,12.374,27.459,110.957,0.110
720,1743.700,11.952,5.855,7.697,9.026,10.955,17.976,28.917,62.254,155.192,0.084
730,1798.700,11.087,6.167,7.619,8.887,10.402,16.174,23.556,54.285,81.183,0.090
740,1859.200,10.285,5.995,7.466,8.923,9.987,14.198,20.217,38.473,67.126,0.097
750,1794.900,10.517,5.955,7.834,9.216,10.257,13.329,16.877,35.034,274.908,0.095
760,1670.700,11.406,6.024,8.023,9.178,10.644,16.335,23.964,55.874,103.490,0.088
770,1803.500,10.293,5.980,7.795,8.902,9.932,13.087,20.464,39.237,79.284,0.097
780,1969.000,9.404,5.740,7.592,8.795,9.635,11.109,12.837,27.685,100.615,0.106
790,1672.100,12.582,5.803,7.832,8.995,10.234,15.717,28.083,110.928,202.641,0.079
800,1364.700,14.687,6.496,8.783,10.323,14.483,26.135,35.697,69.877,187.218,0.068
810,1793.300,10.728,5.990,7.863,9.335,10.651,15.189,20.490,38.669,62.884,0.093
820,1860.800,10.255,6.088,7.692,9.025,10.004,13.467,17.631,35.906,100.317,0.098
830,1922.000,9.890,6.052,7.565,8.958,9.807,12.715,16.351,30.251,128.607,0.101
840,1844.700,10.381,5.959,7.627,8.937,9.842,13.426,18.812,42.981,108.867,0.096
850,1796.800,10.529,5.897,7.832,8.914,10.094,14.833,20.532,40.244,102.167,0.095
860,2043.400,9.046,5.841,7.383,8.618,9.264,10.278,11.717,24.235,107.312,0.111
870,1732.800,11.768,6.021,7.935,9.006,10.348,15.221,25.941,73.254,127.760,0.085
880,1392.000,14.973,6.430,8.456,10.111,13.955,24.232,38.264,93.189,245.825,0.067
890,1788.400,11.128,6.146,7.767,9.329,10.636,15.623,22.785,45.842,101.483,0.090
900,1922.800,9.856,6.086,7.658,9.056,9.944,12.780,16.412,28.958,85.713,0.101
910,1731.100,11.121,6.056,7.967,9.101,10.428,15.701,22.716,51.497,107.619,0.090
920,1914.800,9.707,5.801,7.675,8.836,9.703,12.098,15.617,28.108,103.486,0.103
930,1948.200,9.933,5.977,7.555,8.750,9.523,11.706,15.353,46.381,104.390,0.101
940,2016.400,9.066,5.866,7.611,8.683,9.375,10.599,12.474,22.866,84.376,0.110
950,1768.900,11.212,5.967,7.578,8.926,9.916,13.486,20.771,63.715,218.765,0.089
960,1398.600,15.397,6.277,9.062,10.635,15.169,26.057,36.772,78.745,157.929,0.065
970,1261.600,16.047,6.064,8.804,10.341,16.380,29.218,42.659,79.938,200.720,0.062
980,1454.300,13.549,6.068,8.228,9.733,12.734,21.882,31.355,75.886,198.110,0.074
990,1771.800,11.002,6.153,7.733,9.237,10.477,16.268,23.000,45.167,97.088,0.091
1000,1779.100,11.577,6.061,7.626,9.004,10.116,14.669,21.507,56.624,400.987,0.086
1010,1486.800,14.392,6.065,8.135,9.509,12.399,21.531,37.673,84.350,300.502,0.069
1020,1612.200,12.157,6.317,8.034,9.594,11.246,16.629,23.635,59.845,140.565,0.082
1030,1551.300,12.601,6.087,8.120,9.568,11.755,21.531,30.672,58.268,103.257,0.079
1040,1858.600,10.469,6.159,7.507,8.950,9.834,12.762,17.927,44.566,156.913,0.096
1050,1984.700,9.299,5.927,7.519,8.792,9.609,11.645,14.261,23.522,52.450,0.108
1060,2005.900,9.362,5.697,7.631,8.719,9.430,10.961,12.684,24.312,148.255,0.107
1070,2054.800,8.872,5.708,7.546,8.645,9.401,10.770,12.403,17.465,32.289,0.113
1080,1937.600,9.261,5.992,7.412,8.742,9.483,10.670,13.069,29.313,65.339,0.108
1090,1525.900,13.849,6.019,8.486,9.488,12.407,23.419,39.468,77.407,211.204,0.072
1100,1503.400,13.207,6.218,8.150,9.744,12.230,20.920,31.635,80.172,169.857,0.076
1110,1851.800,10.546,6.196,7.643,9.101,10.200,13.632,17.948,39.379,150.735,0.095
1120,1960.500,9.532,5.925,7.595,8.961,9.816,12.052,15.060,24.493,57.451,0.105
1130,1774.000,10.540,5.902,7.757,9.107,10.341,15.460,20.415,34.408,78.600,0.095
1140,1929.400,9.939,5.858,7.598,8.794,9.689,12.343,16.108,33.086,119.581,0.101
1150,2063.400,9.052,5.857,7.491,8.699,9.484,10.786,12.775,23.920,42.136,0.110
1160,2017.200,9.029,6.123,7.340,8.633,9.349,10.127,11.302,26.827,94.532,0.111
1170,1474.400,14.171,6.173,8.878,10.263,13.816,23.371,36.895,71.129,130.460,0.071
1180,1450.700,13.265,6.182,8.160,9.745,11.997,21.316,31.840,69.297,262.452,0.075
1190,1650.700,11.437,6.215,7.963,9.449,11.097,18.510,25.821,42.312,81.008,0.087
1200,1933.300,9.698,6.111,7.625,8.999,9.921,12.631,16.083,28.001,57.184,0.103
1210,1983.600,9.433,5.981,7.569,8.941,9.786,11.813,14.507,23.871,50.038,0.106
1220,1893.400,9.911,5.825,7.274,8.537,9.487,12.993,18.714,39.095,143.644,0.101
1230,2179.000,8.482,5.695,7.077,7.965,9.077,9.748,10.736,17.632,68.675,0.118
1240,1560.000,13.657,6.238,8.409,9.785,12.963,22.775,35.253,74.809,115.736,0.073
1250,1728.700,11.577,6.147,7.562,8.942,10.532,18.113,26.626,63.988,97.685,0.086
1260,1879.800,10.189,5.987,7.314,8.629,9.706,13.462,18.730,40.212,151.681,0.098
1270,1814.200,10.175,5.976,7.374,8.615,9.734,14.349,20.155,41.672,104.595,0.098
1280,2063.900,9.066,5.804,7.159,8.440,9.272,11.153,14.406,24.300,99.543,0.110
1290,2065.600,9.105,5.647,7.195,8.286,9.284,11.090,14.457,29.011,76.297,0.110
1300,1966.100,9.389,5.865,7.211,8.430,9.396,11.090,15.881,32.397,94.939,0.107
1310,1248.500,17.875,6.102,9.078,10.682,16.484,35.741,52.719,109.573,187.646,0.056
1320,1768.800,11.202,6.136,7.498,8.808,10.313,17.704,25.419,46.380,109.952,0.089
1330,1911.500,10.076,6.005,7.295,8.708,9.762,14.188,21.114,36.260,68.363,0.099
1340,2012.100,9.421,5.861,7.222,8.335,9.452,12.183,17.134,31.898,67.555,0.106
1350,2016.200,9.565,5.754,7.169,8.393,9.260,11.809,16.913,43.403,107.004,0.105
1360,1860.500,9.969,5.854,7.356,8.516,9.588,13.708,19.962,39.325,89.384,0.100
1370,2161.300,8.695,5.832,7.050,8.087,9.071,9.809,11.693,29.014,53.990,0.115
1380,1637.800,13.352,5.988,7.288,8.868,10.598,21.877,39.764,99.591,178.386,0.075
1390,1724.000,11.660,6.077,7.671,9.093,10.962,17.689,26.090,52.674,136.091,0.086
1400,1752.800,10.997,5.818,7.487,8.788,10.146,15.758,24.853,43.814,188.156,0.091
1410,1744.600,11.423,5.992,7.447,8.925,10.361,18.753,27.023,46.056,162.061,0.088
1420,1785.300,11.034,6.050,7.393,8.745,9.978,18.367,26.306,45.692,105.045,0.091
1430,1920.900,10.242,5.913,7.318,8.575,9.633,14.014,21.172,44.521,114.978,0.098
1440,1950.100,10.062,5.691,7.325,8.433,9.605,12.445,18.904,53.073,146.707,0.099
1450,1003.300,24.554,6.619,9.786,12.154,23.604,51.781,78.429,195.116,278.453,0.041
1460,1573.700,12.673,6.404,8.000,9.524,12.320,19.541,29.213,65.408,110.445,0.079
1470,1665.800,12.238,6.357,7.685,9.180,11.003,19.472,29.282,51.610,259.578,0.082
1480,1495.700,15.242,6.001,7.558,8.902,10.414,20.252,33.665,147.840,578.242,0.066
1490,1634.100,12.120,6.179,7.481,8.521,10.004,15.422,23.720,53.494,844.421,0.083
1500,1378.800,16.409,6.444,8.494,10.273,15.891,33.137,47.563,95.521,163.182,0.061
1510,1543.800,12.874,6.170,7.853,9.497,12.223,22.131,31.193,56.930,223.415,0.078
1520,1784.800,11.409,6.104,7.442,8.774,10.035,15.676,22.380,59.562,205.994,0.088
1530,1896.400,10.351,6.078,7.404,8.592,9.890,14.432,21.104,43.404,92.162,0.097
1540,1913.300,10.482,6.009,7.262,8.526,9.579,13.742,21.172,39.915,161.599,0.095
1550,1504.900,15.478,5.793,7.325,8.514,10.083,32.845,57.976,96.027,223.622,0.065
1560,1577.400,13.196,6.085,8.039,9.486,12.171,21.411,34.652,78.512,160.108,0.076
1570,1580.800,12.968,6.453,8.211,9.698,12.187,20.082,31.353,60.586,150.365,0.077
1580,1738.300,11.806,6.046,7.529,8.829,10.422,16.405,25.688,59.309,221.459,0.085
1590,1319.300,15.885,6.057,7.706,9.366,13.287,27.534,46.292,122.035,353.077,0.063
1600,1728.500,11.691,6.089,7.574,8.807,10.335,18.507,30.955,51.755,143.893,0.086
1610,1554.100,13.152,6.039,7.406,8.733,9.872,14.323,25.063,82.293,554.910,0.076
1620,1364.300,16.280,6.164,8.594,10.042,14.275,30.192,48.145,115.341,264.760,0.061
1630,1809.100,10.897,6.067,7.641,9.001,10.418,15.541,22.051,45.270,78.893,0.092
1640,1914.400,10.194,6.130,7.399,8.757,9.982,14.629,19.953,37.652,83.530,0.098
1650,1934.200,9.898,6.023,7.311,8.510,9.584,11.836,18.845,40.538,122.595,0.101
1660,1746.200,10.900,5.814,7.462,8.709,9.935,14.913,25.468,54.256,163.452,0.092
1670,2088.000,8.646,5.977,7.160,8.187,9.217,10.076,11.494,22.004,44.435,0.116
1680,1421.800,15.618,6.153,8.774,10.115,14.299,29.384,45.519,70.147,316.707,0.064
1690,1585.100,12.427,6.092,8.293,9.930,11.938,18.012,28.124,57.785,138.544,0.080
1700,1708.300,11.556,5.980,7.764,9.290,10.438,15.648,23.641,54.508,215.240,0.087
1710,1881.300,10.010,5.871,7.796,9.185,10.193,13.033,16.792,29.108,72.222,0.100
1720,1344.900,14.900,6.116,8.376,9.744,13.274,31.851,42.552,66.308,199.242,0.067
1730,1767.500,10.574,5.779,7.928,9.210,10.574,15.347,20.993,33.300,58.470,0.095
1740,2009.600,9.338,6.017,7.467,8.827,9.520,10.739,12.670,23.883,131.311,0.107
1750,1372.900,15.696,6.451,9.084,10.558,14.374,26.258,39.002,87.390,300.046,0.064
1760,1635.100,12.043,6.009,8.266,9.844,12.032,19.223,26.227,45.069,73.567,0.083
1770,1759.700,11.048,6.027,7.877,9.386,10.663,16.163,22.250,41.758,137.232,0.091
1780,1589.900,12.208,6.260,8.052,9.421,10.884,18.515,29.529,63.623,158.570,0.082
1790,1859.200,10.197,6.198,7.586,9.017,10.027,12.929,17.038,29.957,243.695,0.098
1800,192.500,9.645,6.065,7.538,9.080,10.278,13.170,15.523,19.564,30.114,0.104
