Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,2165,2165.000,2162,14144,23660,34849,47321,76205,95633,141097,419168
1,2626,2626.000,2126,11451,19475,27921,32691,58275,78427,121762,394230
2,2736,2736.000,2085,10493,19879,27148,31736,55637,75558,131508,324197
3,3570,3570.000,2032,10204,17552,21076,27093,37349,51143,74091,266598
4,3701,3701.000,1982,9536,16790,20527,26361,38230,52441,74228,264902
5,3069,3069.000,1954,14351,21406,24099,30662,43028,53217,78272,245061
6,3527,3527.000,1914,9261,16686,22427,26704,47965,64990,107480,274730
7,3762,3762.000,1955,8650,15619,18824,25084,32502,48975,68727,143351
8,3968,3968.000,1938,8403,16471,18958,24729,33067,49649,69206,190239
9,4101,4101.000,1956,8569,15656,18197,24125,32526,45006,63970,136945
10,4153,4153.000,1916,8608,15046,18107,23691,31671,45862,70668,135697
11,4385,4385.000,1938,8432,15557,17081,23378,28897,38913,53969,85118
12,4338,4338.000,1905,8025,15242,17296,23526,29791,44094,57873,102700
13,4329,4329.000,1944,7947,14636,17660,22943,28678,45972,89750,170289
14,4421,4421.000,1889,8248,13803,16636,23233,28682,38598,53206,73670
15,4400,4400.000,1940,7977,15215,17025,22988,28961,42728,55217,129266
16,4388,4388.000,1929,8096,15179,17099,23366,29636,41798,53903,104446
17,4300,4300.000,1904,7873,14640,17406,22930,28414,47382,70045,148940
18,4402,4402.000,1895,8088,14688,17053,23143,30469,44180,55023,93968
19,4891,4891.000,1928,7659,11866,15380,21532,26194,30119,49624,91874
20,4386,4386.000,1815,8281,15334,17056,23028,28602,42585,53738,107418
21,4041,4041.000,1893,8496,15592,18556,23412,30693,49862,72545,164055
22,4246,4246.000,1941,8434,15075,17706,23080,29634,47846,64184,133814
23,4767,4767.000,1884,8053,12431,15678,22020,26785,29623,51927,64439
24,3871,3871.000,1902,8462,14869,19367,23581,33212,62885,94223,147304
25,4546,4546.000,1908,7713,13148,17580,21887,27106,45427,99721,172405
26,4330,4330.000,1921,7679,13223,16129,21927,26544,44303,52018,94742
27,3791,3791.000,1893,8174,14939,19838,23989,42149,61964,96783,185108
28,4872,4872.000,1893,7920,11935,15395,21518,26297,29579,49769,59715
29,4047,4047.000,1890,8099,15239,18500,22790,29854,49756,90256,127782
30,4480,4480.000,1946,8213,14636,17030,22441,28019,46156,64564,159900
31,4510,4510.000,1906,8066,14012,16363,22412,27328,42240,55492,138086
32,4028,4028.000,1922,8112,14740,18566,22906,37897,54287,73833,143006
33,5007,5007.000,1912,7508,10645,14980,21298,25761,28834,48985,56721
34,4362,4362.000,1928,7715,14479,17236,22408,28210,47589,72181,108062
35,4949,4949.000,1890,7708,11291,15092,21118,25628,28757,48749,57429
36,4519,4519.000,1930,7743,14396,16621,22223,28288,44336,58437,107533
37,4867,4867.000,1924,7799,11830,15595,21569,26280,30197,51184,96268
38,4292,4292.000,1938,7991,14767,17247,22617,28578,47276,63898,85610
39,4587,4587.000,1920,8099,14340,16407,22564,27448,41714,51460,98120
40,5015,5015.000,1901,7522,10651,14908,21080,25427,28291,47728,56661
41,3840,3840.000,1852,7645,14953,19791,22546,42905,54253,125463,192844
42,5002,5002.000,1936,7507,10574,14777,20729,25308,27815,47981,54242
43,4934,4934.000,1922,7551,12756,15203,21173,25807,31760,47847,69044
44,4984,4984.000,1903,7603,10986,15028,21063,25542,28774,48343,54229
45,4869,4869.000,1902,7739,13064,15431,21521,26162,31208,49627,84100
46,4787,4787.000,1889,7873,12499,15661,21759,26615,32325,51216,78534
47,4759,4759.000,1903,7907,12259,15745,21975,26756,31199,51599,120089
48,4867,4867.000,1926,8044,11073,15394,21425,26079,29964,49785,56218
49,4802,4802.000,1926,8146,13239,15644,21701,26397,31653,49900,106002
50,5077,5077.000,1895,7829,10249,14778,20707,25244,27946,48931,60934
51,4812,4812.000,1909,7958,13425,15549,21524,26256,35609,49408,128758
52,5002,5002.000,1884,7898,11071,14993,20973,25534,28344,49122,57559
53,4412,4412.000,1879,8038,14471,17057,22598,28621,46084,61452,127046
54,2206,2206.000,1910,16212,29207,35775,46917,76231,97938,117381,176565
55,1923,1923.000,1998,13434,24701,37285,49108,80996,118755,173431,187012
56,2053,2053.000,1926,16263,31332,37818,52072,74370,93470,125245,170211
57,1535,1535.000,1842,14949,27412,47842,53036,87609,202278,288264,371518
58,1675,1675.000,1923,12861,22993,43823,56179,117628,141856,197104,245468
59,3767,3767.000,1953,9699,17823,19878,26604,36745,47887,61593,89110
60,3685,3685.000,1916,9347,18027,20271,26071,38948,50546,74190,107672
61,3584,3584.000,1898,9262,17540,21321,27226,44441,53453,79907,123785
62,3519,3519.000,1934,9359,16954,22046,25878,39351,55118,146304,262526
63,2695,2695.000,1922,9358,19381,26473,30644,51846,64321,178828,193618
64,2242,2242.000,1945,9139,20680,33428,46639,77134,129414,170275,230814
65,3545,3545.000,1879,9191,17997,21292,27151,42720,52742,81574,127408
66,3534,3534.000,1939,8766,17448,21023,26392,44321,54156,85756,141213
67,4207,4207.000,1919,8319,15664,17903,24082,32184,46210,58026,128081
68,4350,4350.000,1919,8256,15115,17168,23527,29693,42528,54489,83472
69,3716,3716.000,1888,9177,17140,20181,26643,42255,50736,63530,84640
70,3179,3179.000,1855,9352,17429,23627,28593,52847,63464,108083,151165
71,3249,3249.000,1952,9646,18882,23095,30159,48890,58389,77269,119151
72,3560,3560.000,1961,9102,17486,21017,26122,41878,54325,95474,118306
73,3736,3736.000,1882,8921,16620,19923,25906,42515,50113,64028,83370
74,2160,2160.000,1870,9019,18686,35272,40032,62948,82480,341490,357926
75,2518,2518.000,1962,9408,17325,29899,35755,53690,65911,269168,334078
76,4573,4573.000,1925,8384,14110,16228,22442,28322,35155,52250,80812
77,3570,3570.000,1906,8210,14080,20949,22521,28271,45205,257634,289175
78,3557,3557.000,1928,9028,15594,26371,23488,29954,46896,469356,513937
79,3245,3245.000,1912,8503,15442,17415,23765,32282,42040,54833,69248
80,3299,3299.000,1931,8639,15441,22707,24036,31627,45600,268324,304553
81,3328,3328.000,1965,9777,18733,22546,30140,43461,54667,79698,146762
82,2708,2708.000,1917,9527,17987,28008,28867,43780,68697,267625,304681
83,3562,3562.000,1903,9553,18109,20796,28019,38225,48021,73087,107522
84,2793,2793.000,1965,9543,18707,28823,30430,47031,62153,288087,335607
85,3279,3279.000,1951,9631,17800,21237,28580,40658,50064,73289,127828
86,3336,3336.000,1920,9715,17788,22956,30055,43462,57960,86887,780548
87,1119,1119.000,2116,9937,19596,65816,31728,56720,688726,716314,755959
88,3301,3301.000,1938,9786,19442,22673,30245,42836,54339,77779,117666
89,3100,3100.000,1945,9338,15610,24155,25853,36407,53616,254091,296175
90,4532,4532.000,1924,8753,13865,16481,22567,28184,33777,53375,72422
91,2639,2639.000,1946,8406,14390,28332,23216,28966,47671,451225,486200
92,4712,4712.000,1895,7973,14026,15969,22255,27353,36688,50936,66132
93,3684,3684.000,1941,8038,13715,20418,22177,27272,44181,255719,295242
94,4371,4371.000,1946,8174,14787,17085,23188,31025,43601,52607,80980
95,3650,3650.000,1914,8041,14716,20567,22168,27832,43925,245529,277606
96,4418,4418.000,1943,8814,14859,16974,23599,29001,36139,54946,72339
97,3772,3772.000,1911,7650,12452,19814,21670,26797,45054,247912,280850
98,4858,4858.000,1894,7733,13866,15502,21729,26516,32867,48493,57615
99,3769,3769.000,1912,8183,13677,19829,21454,26745,44242,244777,281226
100,4665,4665.000,1909,8407,13648,16143,22319,27809,34583,53586,69702
101,3474,3474.000,1922,8734,14607,21511,22955,28424,46592,258817,289160
102,4690,4690.000,1901,8332,14355,16016,22071,26949,34906,51512,73095
103,2864,2864.000,1927,8019,11351,27757,21763,27403,46681,497407,513376
104,4582,4582.000,1901,8244,13313,15368,21410,25859,29618,48651,62344
105,4336,4336.000,1917,7986,13891,19383,21782,26412,43266,253498,284649
106,4006,4006.000,1925,8384,15184,16480,22820,27826,33090,50760,63878
107,4753,4753.000,1899,7683,14174,15774,21787,26780,33456,49811,67507
108,3816,3816.000,1947,7801,14200,19632,21822,26943,42008,240229,274833
109,4954,4954.000,1910,7814,12380,15087,20884,25714,28684,48227,60599
110,3775,3775.000,1939,8252,13368,19949,22167,27619,46191,232804,260816
111,4874,4874.000,1908,8192,10970,15343,21510,26285,30146,50865,68665
112,3819,3819.000,1914,8109,13371,19704,21312,26342,45339,248268,274924
113,4926,4926.000,1901,8047,13134,15233,21331,25716,28690,49032,56095
114,3009,3009.000,1935,8353,15481,25286,23815,39487,48158,337471,363040
115,3438,3438.000,1892,8833,17151,21734,28427,47996,58497,74927,106850
116,2554,2554.000,1932,9160,17017,29091,32276,53444,64625,277473,306792
117,4292,4292.000,1951,8755,14060,17426,22851,30362,45227,63910,131928
118,4741,4741.000,1950,8189,12882,18952,21662,26822,42556,243549,288523
119,3920,3920.000,1887,7792,12913,15352,21240,25949,29918,49058,84585
120,4716,4716.000,1922,8397,13602,15872,22024,27124,34371,52903,76741
