Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,30.500,197.800,70.735,121.083,161.270,220.968,301.252,386.130,1221.124,1532.328,0.005
10,55.900,117.680,50.141,82.407,102.876,135.210,180.101,231.235,309.662,373.054,0.008
20,64.700,102.903,54.279,73.863,88.113,118.793,150.043,194.884,244.727,489.235,0.010
30,34.300,136.555,55.399,86.119,119.492,180.129,212.993,281.435,338.108,599.786,0.007
40,68.200,86.582,51.655,67.184,78.756,101.605,118.322,132.787,196.033,281.521,0.012
50,67.400,88.270,49.262,66.589,76.198,96.748,126.414,160.332,250.743,300.615,0.011
60,61.800,93.083,46.915,64.948,74.915,102.234,130.019,165.489,348.222,584.997,0.011
70,85.800,78.989,46.556,62.937,70.251,87.632,114.972,127.940,151.780,189.654,0.013
80,72.200,81.502,42.088,62.264,70.063,83.258,115.162,128.373,156.254,898.725,0.012
90,97.300,80.639,44.337,64.287,74.642,91.749,114.092,124.677,143.801,256.363,0.012
100,81.000,91.630,42.679,63.409,76.342,105.389,139.233,162.811,302.618,452.741,0.011
110,100.200,82.822,45.496,64.724,75.988,95.063,112.771,126.415,156.540,443.698,0.012
120,78.100,97.719,43.458,71.572,90.476,117.466,145.295,166.527,196.107,233.723,0.010
130,81.500,92.764,42.706,71.087,87.406,106.705,132.977,145.953,182.722,209.406,0.011
140,83.500,93.411,45.808,70.752,85.387,107.029,132.493,156.706,222.308,335.044,0.011
150,100.800,81.851,44.003,62.993,74.805,91.622,108.485,123.200,163.691,667.391,0.012
160,98.100,76.466,44.167,62.756,71.893,85.571,102.292,117.948,146.438,174.485,0.013
170,70.400,85.435,47.559,62.228,71.935,94.604,125.587,174.959,227.664,318.377,0.012
180,82.100,95.444,43.105,71.145,88.765,112.184,139.888,163.730,189.674,203.618,0.010
190,113.900,81.023,46.706,65.144,77.263,93.619,109.619,120.760,144.271,173.978,0.012
200,118.300,79.325,41.539,62.875,74.218,87.172,100.424,110.050,145.150,488.614,0.013
210,117.300,77.862,43.413,63.540,75.155,87.597,99.754,107.634,165.269,219.115,0.013
220,120.900,78.326,43.573,64.049,75.392,90.241,103.247,112.411,129.107,194.245,0.013
230,110.700,81.122,43.113,63.277,74.095,89.144,106.822,121.297,173.289,569.439,0.012
240,117.300,80.947,42.433,63.176,74.515,88.123,104.182,117.262,167.965,530.028,0.012
250,118.800,76.113,40.545,62.037,72.938,86.817,101.027,110.778,134.451,154.622,0.013
260,113.700,79.425,44.984,62.579,72.414,87.259,103.857,115.869,157.250,521.549,0.013
270,116.300,80.510,40.332,63.417,73.810,87.708,103.222,112.492,177.531,500.083,0.012
280,123.900,76.855,43.412,64.332,74.371,87.306,99.981,107.943,124.677,201.219,0.013
290,121.900,82.220,43.703,64.316,75.855,88.887,103.777,117.225,305.067,483.867,0.012
300,94.200,91.802,42.169,67.070,82.093,103.067,127.445,146.950,331.742,402.532,0.011
310,103.000,82.115,43.240,64.836,77.097,93.968,112.298,129.752,167.419,213.506,0.012
320,113.000,77.756,38.908,61.170,72.985,86.979,103.090,112.064,139.538,534.183,0.013
330,122.700,79.675,40.273,63.995,74.430,89.297,104.869,118.726,183.254,293.524,0.013
340,125.600,79.064,44.228,62.612,73.241,86.297,100.866,111.315,174.419,578.280,0.013
350,119.900,82.056,44.571,64.374,76.126,89.275,104.163,116.797,374.083,447.632,0.012
360,121.400,79.799,43.507,64.476,74.991,88.690,104.686,117.806,158.320,472.511,0.013
370,106.300,84.894,44.641,67.441,80.272,98.833,116.491,129.488,153.918,215.339,0.012
380,116.000,80.377,42.209,62.574,73.080,86.583,101.173,110.596,255.701,545.671,0.012
390,126.900,77.786,42.691,63.513,74.640,88.567,103.244,111.758,137.946,193.265,0.013
400,120.300,77.273,43.633,63.797,73.680,87.492,102.398,111.733,131.582,164.384,0.013
410,116.400,81.464,41.207,62.669,73.658,88.767,105.944,116.869,188.851,612.486,0.012
420,115.700,81.222,42.017,64.169,74.586,88.226,102.467,116.377,283.927,519.840,0.012
430,106.400,86.286,44.429,67.614,81.506,100.050,119.069,133.100,170.257,254.606,0.012
440,118.900,77.300,43.204,62.101,71.826,84.440,96.452,108.438,136.428,592.650,0.013
450,93.500,85.736,45.197,64.991,76.007,93.736,116.854,142.300,259.669,582.283,0.012
460,68.900,89.950,48.587,72.068,86.179,105.714,120.556,132.384,169.286,193.802,0.011
470,85.900,87.438,48.588,69.943,81.764,97.282,118.383,139.464,173.304,304.328,0.011
480,92.600,83.054,46.935,66.966,77.874,93.679,113.005,123.210,168.948,199.600,0.012
490,69.100,113.206,50.803,83.779,105.843,134.029,167.968,185.661,245.771,351.836,0.009
500,92.100,85.799,45.879,65.696,77.061,94.972,113.897,132.797,243.306,448.423,0.012
510,106.700,81.223,45.038,65.286,77.068,93.386,109.503,119.834,146.856,210.090,0.012
520,111.800,78.482,43.634,63.719,74.781,89.380,105.022,114.733,139.777,178.128,0.013
530,111.400,81.851,43.264,65.265,75.866,91.426,107.848,118.907,167.244,424.472,0.012
540,114.800,80.400,43.265,64.596,77.064,91.790,107.623,118.185,140.610,179.288,0.012
550,114.900,81.289,45.110,63.932,74.802,92.374,112.093,125.566,156.857,304.243,0.012
560,104.200,81.178,44.145,62.734,75.253,92.536,109.768,121.332,195.622,487.593,0.012
570,104.100,83.413,41.788,64.342,77.640,95.656,117.326,126.513,178.451,323.639,0.012
580,112.500,78.084,43.151,62.006,73.540,90.814,106.339,119.695,144.208,184.253,0.013
590,103.400,81.846,42.324,62.255,74.550,92.483,112.193,124.942,243.755,399.568,0.012
600,103.600,80.804,43.127,62.980,75.334,93.537,112.584,125.381,149.280,367.402,0.012
610,89.700,92.117,43.856,68.232,84.085,106.813,133.678,152.678,221.450,421.640,0.011
620,94.700,87.339,43.124,66.229,81.562,101.839,123.751,142.631,193.727,292.666,0.011
630,81.000,77.912,43.521,60.447,70.463,88.097,110.523,127.708,166.917,239.854,0.013
640,109.300,81.551,43.234,63.723,76.264,90.664,106.977,115.957,207.190,427.359,0.012
650,102.800,85.887,44.643,65.782,79.890,96.440,120.027,134.122,168.341,468.564,0.012
660,79.500,83.929,42.756,62.563,75.472,97.371,117.941,146.733,191.091,332.960,0.012
670,65.100,109.244,44.677,78.329,96.539,122.811,163.253,215.399,301.205,430.822,0.009
680,81.500,78.190,47.427,60.381,68.050,83.743,107.713,133.473,241.468,286.565,0.013
690,95.000,76.757,41.610,59.794,70.426,87.225,107.654,119.296,185.469,247.099,0.013
700,108.200,78.036,39.026,59.081,70.272,87.652,110.991,126.249,183.407,364.350,0.013
710,115.000,75.497,41.043,59.724,69.967,86.565,102.645,115.569,156.948,411.652,0.013
720,112.500,77.787,41.065,60.860,70.851,87.175,106.048,118.742,155.242,371.447,0.013
