Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,345.700,136.057,10.325,83.491,116.007,158.856,223.167,263.204,465.903,1332.931,0.007
10,627.300,68.145,9.404,41.389,53.370,81.313,112.206,136.006,262.485,501.548,0.015
20,725.200,57.864,8.462,40.232,48.425,63.638,100.296,115.259,170.888,423.141,0.017
30,412.300,98.503,8.705,45.615,87.840,111.477,189.867,224.373,515.488,534.890,0.010
40,788.600,52.896,7.936,36.936,43.737,57.663,92.268,101.109,129.559,282.702,0.019
50,793.400,52.414,7.844,35.725,42.012,56.068,93.930,106.222,168.095,275.262,0.019
60,737.600,55.843,7.315,33.965,40.656,56.839,96.324,112.208,260.022,553.177,0.018
70,997.700,42.427,6.927,32.450,38.207,45.354,60.138,87.299,107.069,153.069,0.024
80,827.700,49.390,8.639,33.798,39.943,49.016,74.393,95.880,125.295,912.209,0.020
90,1111.900,39.702,7.848,29.259,35.943,44.725,60.231,74.792,102.059,221.868,0.025
100,886.200,49.032,8.136,31.037,39.031,50.717,91.141,111.507,191.291,410.352,0.020
110,1181.800,38.567,8.945,27.593,33.820,42.405,54.821,67.487,101.690,453.451,0.026
120,904.900,51.220,9.990,30.388,41.383,64.819,92.707,111.468,145.717,227.918,0.020
130,926.500,51.096,8.825,30.805,40.775,64.338,91.198,112.474,149.974,265.404,0.020
140,963.900,49.735,8.810,30.167,39.499,58.758,88.415,110.743,169.723,430.929,0.020
150,1200.100,38.286,8.875,26.690,33.142,41.525,54.191,63.716,97.429,659.290,0.026
160,1076.200,40.544,8.204,29.694,36.916,46.685,60.412,72.785,102.986,149.523,0.025
170,743.100,54.420,6.735,34.867,42.711,59.588,92.110,115.541,190.098,323.493,0.018
180,893.000,49.060,8.929,29.623,37.799,56.337,93.424,107.282,171.765,203.333,0.020
190,1268.500,36.490,9.130,27.253,33.362,41.280,51.568,60.729,103.052,280.495,0.027
200,1305.700,34.881,9.203,26.080,31.860,38.732,46.946,52.425,68.262,469.496,0.029
210,1354.200,33.676,8.080,25.998,31.813,38.913,46.554,52.403,68.464,189.532,0.030
220,1361.300,33.583,9.850,26.142,31.837,39.055,47.183,53.121,66.505,152.535,0.030
230,1273.700,36.096,7.671,26.431,32.552,40.006,48.943,55.173,74.776,546.171,0.028
240,1276.100,35.575,7.776,26.472,32.301,39.188,48.067,54.168,72.415,508.883,0.028
250,1369.200,33.354,7.659,26.115,31.781,38.887,46.722,52.141,63.918,118.022,0.030
260,1312.800,34.973,9.467,26.319,31.982,38.823,46.927,52.794,69.627,459.657,0.029
270,1342.600,34.474,9.189,25.793,31.615,38.474,46.254,51.972,65.278,487.210,0.029
280,1401.300,32.853,8.637,25.698,31.454,38.200,45.525,50.866,63.376,121.343,0.030
290,1305.400,35.251,8.168,25.927,31.607,38.993,47.608,54.510,82.256,458.081,0.028
300,1091.100,42.885,7.675,27.674,34.792,47.019,70.673,94.048,146.783,432.566,0.023
310,1154.600,40.957,7.524,27.062,33.817,44.668,67.931,92.362,139.902,309.229,0.024
320,1282.000,35.516,7.209,26.156,32.006,39.256,48.504,55.398,71.950,520.323,0.028
330,1326.700,34.345,8.785,25.931,31.885,39.328,48.473,56.068,85.331,242.799,0.029
340,1314.100,34.285,8.806,25.501,31.223,38.443,46.381,52.960,71.374,573.097,0.029
350,1305.200,34.998,10.131,25.832,31.862,39.204,47.716,55.456,81.796,404.607,0.029
360,1338.700,34.235,8.673,25.808,31.643,39.093,48.395,55.938,87.180,230.851,0.029
370,1191.100,39.797,8.502,27.113,33.813,43.717,64.494,86.507,127.811,211.120,0.025
380,1273.600,35.208,9.829,25.882,31.838,38.670,46.752,53.374,78.569,514.336,0.028
390,1369.900,33.383,8.771,25.787,31.711,38.769,47.235,53.389,68.241,117.499,0.030
400,1395.300,32.907,7.940,25.557,31.435,38.206,46.069,51.569,64.889,137.322,0.030
410,1296.800,35.508,8.830,25.785,31.679,39.119,47.902,55.109,70.808,564.329,0.028
420,1310.100,35.112,9.493,25.807,31.616,38.774,47.772,55.420,96.371,473.300,0.028
430,1168.700,40.604,10.516,26.613,33.623,44.478,69.225,90.712,135.045,260.574,0.025
440,1349.400,34.294,8.764,25.241,30.874,37.599,45.174,50.880,68.045,564.736,0.029
450,1086.200,41.970,9.249,27.602,34.952,46.385,63.215,79.520,129.339,576.468,0.024
460,833.700,49.841,8.633,37.803,45.808,58.122,73.826,83.946,103.626,183.072,0.020
470,971.500,44.591,8.406,34.072,40.798,49.978,62.502,74.364,117.506,202.902,0.022
480,1083.600,40.505,8.211,31.574,37.799,46.146,57.001,65.351,85.931,328.139,0.025
490,740.300,61.386,8.166,38.205,51.240,75.751,106.357,128.476,170.872,315.600,0.016
500,1067.300,41.887,8.230,29.937,36.212,44.918,58.797,73.546,130.740,414.470,0.024
510,1257.100,36.062,8.151,28.092,33.889,41.495,50.503,57.856,75.521,282.167,0.028
520,1265.300,35.249,8.494,27.758,33.397,40.426,48.893,55.696,71.462,215.223,0.028
530,1206.100,36.835,9.646,27.905,33.828,41.131,49.750,57.609,84.827,379.867,0.027
540,1257.300,35.504,9.214,27.827,33.696,40.561,49.099,55.241,72.656,303.347,0.028
550,1250.700,35.744,9.385,27.639,33.615,41.085,50.285,57.435,77.282,222.130,0.028
560,1215.700,37.029,8.807,27.067,32.978,41.067,54.226,65.415,97.931,370.891,0.027
570,1222.500,37.225,7.648,27.390,33.619,42.601,56.231,66.953,90.052,243.070,0.027
580,1256.300,35.652,8.051,26.636,32.746,40.439,52.185,62.753,85.646,136.174,0.028
590,1175.100,38.230,8.043,27.276,33.770,42.776,56.141,68.342,124.497,235.514,0.026
600,1189.000,37.699,7.730,27.390,33.799,43.046,56.982,68.872,94.244,416.848,0.027
610,1018.400,45.638,8.085,29.004,37.157,51.086,76.667,99.063,162.561,508.029,0.022
620,1011.700,45.624,8.729,28.474,36.424,50.860,79.003,103.763,164.705,292.162,0.022
630,937.300,44.793,8.434,31.619,39.116,49.114,73.750,91.875,120.697,350.694,0.022
640,1247.100,36.715,7.644,26.599,32.874,40.694,51.934,61.765,86.913,427.515,0.027
650,1132.800,39.811,9.281,27.157,34.239,44.303,60.779,77.645,122.862,428.291,0.025
660,872.400,47.486,7.489,31.395,39.766,54.444,82.519,99.062,156.403,434.963,0.021
670,744.100,61.947,8.497,36.632,49.336,73.194,105.239,131.742,246.121,507.406,0.016
680,856.600,48.968,6.929,34.169,40.648,50.985,78.109,95.305,210.008,297.766,0.020
