Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,333.000,56.505,11.581,20.868,39.437,72.282,117.754,149.835,229.964,663.690,0.018
10,584.500,41.836,11.028,23.455,29.806,41.637,79.243,97.578,249.437,497.803,0.024
20,689.400,36.558,9.637,25.740,30.418,38.678,57.008,84.053,111.575,194.455,0.027
30,393.400,75.700,10.689,29.273,62.200,94.497,126.653,200.593,299.649,525.141,0.013
40,739.000,35.938,10.921,24.227,27.584,34.932,72.483,83.493,107.935,273.142,0.028
50,773.500,34.912,12.519,22.983,25.834,33.582,73.553,87.070,124.595,260.150,0.029
60,709.300,38.519,10.815,21.811,24.798,33.125,81.551,99.008,201.211,447.274,0.026
70,959.500,26.459,7.153,20.245,23.232,27.559,35.801,56.624,83.766,135.732,0.038
80,818.400,33.480,7.618,21.686,24.671,31.201,47.780,76.548,114.182,896.681,0.030
90,1073.300,20.673,6.905,13.779,17.949,23.204,30.894,38.520,75.862,107.427,0.048
100,818.900,28.274,7.040,15.072,20.787,29.135,50.288,78.098,143.472,379.940,0.035
110,1121.300,17.776,7.294,12.423,14.902,18.393,23.456,29.403,66.182,416.672,0.056
120,849.900,23.429,6.867,13.801,18.400,27.604,43.308,54.768,76.969,113.028,0.043
130,892.900,20.996,7.213,13.591,17.446,23.483,34.405,48.197,66.536,162.165,0.048
140,905.600,19.698,6.975,13.163,16.372,21.927,31.449,42.330,62.334,177.780,0.051
150,1150.300,16.989,7.011,11.687,13.921,17.288,21.828,26.345,56.487,588.352,0.059
160,999.900,22.909,7.079,13.353,19.463,27.029,40.000,49.823,82.320,136.478,0.044
170,723.700,38.902,11.552,22.270,27.799,41.537,76.654,93.196,178.586,291.058,0.026
180,860.000,25.920,7.204,13.532,17.304,23.712,66.081,86.110,131.334,177.299,0.039
190,1197.800,15.095,7.259,11.550,13.969,17.328,21.410,24.414,32.294,76.450,0.066
200,1268.200,14.672,6.892,11.083,13.159,16.037,19.560,22.312,29.744,446.946,0.068
210,1295.800,14.627,7.346,10.993,13.022,15.956,20.044,24.572,42.944,141.436,0.068
220,1289.500,14.150,6.685,11.137,13.149,16.072,19.392,22.085,30.875,56.871,0.071
230,1231.300,15.132,7.147,11.219,13.356,16.425,20.194,23.233,32.392,517.421,0.066
240,1223.300,15.332,7.001,11.359,13.718,16.958,20.533,23.023,33.185,477.592,0.065
250,1294.900,14.481,7.138,11.391,13.536,16.607,19.952,22.620,29.149,53.499,0.069
260,1239.500,15.152,7.086,11.427,13.669,16.657,20.358,23.231,30.008,433.054,0.066
270,1257.800,14.177,6.768,10.769,12.714,15.603,19.108,21.720,29.128,447.650,0.071
280,1319.500,13.652,7.212,10.688,12.558,15.204,18.554,21.069,29.817,83.877,0.073
290,1236.200,14.258,6.640,10.858,12.812,15.665,19.102,21.830,34.924,431.100,0.070
300,1041.800,17.560,6.751,11.775,14.777,19.148,26.370,35.137,52.527,290.467,0.057
310,1102.300,15.994,6.867,11.645,14.129,17.669,23.218,28.637,46.737,95.814,0.063
320,1242.300,15.376,6.327,11.224,13.424,16.553,20.377,23.518,35.416,493.527,0.065
330,1279.700,14.153,6.995,10.934,12.938,15.816,19.680,23.101,33.829,103.179,0.071
340,1266.900,14.662,6.931,10.619,12.535,15.271,18.500,21.393,34.965,468.356,0.068
350,1245.500,14.434,6.516,10.670,12.636,15.545,19.355,22.561,37.970,369.529,0.069
360,1308.500,13.854,6.922,10.678,12.579,15.474,19.370,22.642,34.454,86.812,0.072
370,1136.900,15.026,6.618,11.347,13.729,17.081,21.316,24.491,36.598,78.090,0.067
380,1247.900,15.574,6.693,10.922,13.117,16.335,20.658,24.133,37.120,495.512,0.064
390,1312.000,13.640,6.669,10.711,12.675,15.524,18.937,21.689,28.352,55.543,0.073
400,1334.300,13.688,6.749,10.734,12.744,15.561,18.865,21.183,28.266,54.639,0.073
410,1230.900,14.622,6.623,10.741,12.706,15.625,19.489,23.103,35.868,528.283,0.068
420,1258.300,14.432,6.646,10.605,12.598,15.534,19.189,22.738,35.506,436.753,0.069
430,1141.800,14.661,6.611,10.854,13.031,16.427,21.353,25.510,39.336,89.739,0.068
440,1313.100,13.762,6.792,10.338,12.227,15.028,18.246,20.917,29.494,527.542,0.073
450,1034.000,21.438,6.932,11.767,15.009,22.379,38.183,49.355,86.617,533.364,0.047
460,795.600,29.985,12.024,22.097,26.421,33.318,46.590,56.009,73.766,162.629,0.033
470,926.800,25.123,9.323,18.732,22.470,27.227,34.592,45.974,85.176,253.884,0.040
480,1058.300,21.184,8.494,16.749,19.781,23.310,28.273,32.804,54.337,92.149,0.047
490,720.800,28.637,8.916,19.186,24.987,32.849,46.224,55.905,99.421,167.997,0.035
500,1013.300,20.829,8.741,15.241,18.252,22.324,28.672,36.348,56.268,387.935,0.048
510,1188.400,16.657,6.840,13.528,15.723,18.680,22.271,25.047,34.765,65.755,0.060
520,1234.100,16.533,7.506,13.253,15.729,18.820,22.407,25.014,32.272,61.645,0.060
530,1147.500,17.569,7.592,13.124,15.639,18.975,23.048,26.630,41.620,350.857,0.057
540,1219.200,16.232,6.870,12.876,15.250,18.399,22.224,24.833,32.898,90.284,0.062
550,1189.200,16.471,7.332,12.833,15.542,18.941,22.808,25.536,34.052,76.167,0.061
