Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,588.400,37.378,10.886,21.969,28.046,38.327,58.646,90.167,245.455,446.297,0.027
10,764.000,29.596,8.938,14.784,17.557,22.669,34.922,50.076,295.590,344.094,0.034
20,643.900,32.372,9.836,16.930,20.197,25.947,34.198,43.277,313.596,334.097,0.031
30,711.400,34.047,8.714,17.606,22.900,30.361,43.358,59.968,306.118,331.245,0.029
40,662.500,32.909,10.083,17.208,20.357,24.783,31.400,45.824,318.392,352.786,0.030
50,757.100,30.456,8.971,15.414,20.937,29.867,33.796,45.484,289.927,367.987,0.033
60,634.700,35.821,8.580,16.587,20.361,26.496,36.603,236.133,321.127,364.054,0.028
70,825.200,26.165,9.008,15.005,17.503,21.722,29.882,36.017,293.004,352.647,0.038
80,653.500,34.543,8.772,17.134,21.828,28.939,35.665,66.492,309.265,333.377,0.029
90,749.100,29.114,9.066,15.648,18.993,24.735,31.041,43.482,314.433,387.512,0.034
100,720.500,32.041,8.596,15.048,22.307,29.297,36.587,47.598,304.220,360.592,0.031
110,784.900,28.604,9.480,15.352,18.140,21.435,25.937,33.633,310.713,359.161,0.035
120,767.400,30.232,7.995,14.838,21.266,29.155,38.121,46.066,285.776,318.057,0.033
130,719.900,29.499,9.938,16.121,18.785,22.554,28.209,33.576,331.506,386.873,0.034
140,816.100,29.480,8.460,14.569,19.202,28.351,33.244,44.104,292.599,341.976,0.034
150,670.100,33.294,9.444,16.611,19.593,23.471,29.662,39.682,324.228,367.905,0.030
160,760.400,30.237,8.449,15.784,23.716,28.926,34.635,44.838,292.707,367.551,0.033
170,677.800,33.724,9.719,16.776,20.008,24.302,35.277,51.640,309.812,341.189,0.030
180,743.100,30.775,8.958,17.571,25.134,29.175,37.897,43.490,288.876,365.691,0.032
190,693.900,31.905,9.345,16.942,19.989,24.603,32.871,41.582,313.044,353.335,0.031
200,741.500,30.489,8.992,16.813,23.654,28.861,35.820,44.176,274.498,314.754,0.033
210,706.400,29.539,10.056,16.486,19.324,22.423,27.407,36.310,306.483,472.583,0.034
220,689.700,32.753,8.993,17.421,25.561,29.374,39.499,46.743,295.918,390.348,0.031
230,652.300,30.498,9.515,16.210,19.642,24.705,34.081,45.368,316.863,359.349,0.033
240,779.000,29.009,9.052,15.666,20.860,28.315,32.130,42.860,297.079,426.061,0.034
250,765.100,30.282,9.483,16.028,18.721,21.877,26.872,38.955,299.728,321.179,0.033
260,740.700,31.030,8.961,17.140,26.148,28.739,33.288,43.662,277.911,352.043,0.032
270,678.700,33.387,9.223,15.985,19.769,24.547,33.311,50.123,330.941,358.689,0.030
280,812.800,28.152,8.931,15.694,20.499,28.136,33.202,43.138,251.819,339.794,0.036
290,725.800,31.263,9.389,16.465,19.455,23.267,29.917,37.461,307.087,342.646,0.032
300,749.000,31.072,8.940,15.249,23.144,28.503,32.904,42.715,323.111,395.430,0.032
