Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,54.200,34.008,2.878,4.404,5.212,7.595,12.069,17.030,881.097,1853.306,0.029
10,68.100,10.697,2.982,3.804,4.242,4.858,6.211,8.430,220.455,331.554,0.093
20,62.400,6.074,3.046,3.840,4.178,4.675,5.465,6.249,22.352,316.171,0.165
30,71.700,4.510,3.077,3.782,4.100,4.503,5.259,6.302,14.165,48.568,0.222
40,59.900,4.571,3.180,3.905,4.232,4.661,5.364,6.533,14.964,21.656,0.219
50,69.700,4.262,3.078,3.805,4.081,4.444,5.035,5.552,7.187,28.032,0.235
60,57.900,4.645,3.133,3.966,4.264,4.671,5.391,6.235,16.370,33.927,0.215
70,77.100,4.422,3.048,3.813,4.158,4.644,5.365,6.002,9.623,17.443,0.226
80,65.100,4.540,3.238,3.916,4.239,4.750,5.518,6.101,10.903,16.750,0.220
90,70.300,4.389,3.040,3.855,4.199,4.573,5.305,6.014,8.292,13.214,0.228
100,64.400,4.453,3.060,3.877,4.236,4.664,5.263,6.116,8.171,15.664,0.225
110,70.900,4.322,3.144,3.793,4.133,4.543,5.171,5.783,8.418,16.269,0.231
120,68.700,4.354,3.084,3.876,4.191,4.622,5.195,5.709,7.287,14.333,0.230
130,63.000,4.566,3.120,3.920,4.328,4.835,5.504,6.095,10.163,19.806,0.219
140,73.900,4.310,3.000,3.822,4.140,4.562,5.158,5.924,6.976,9.552,0.232
150,63.000,4.534,3.146,3.935,4.296,4.740,5.479,6.204,8.913,18.253,0.221
160,71.300,4.385,3.047,3.826,4.112,4.470,5.049,5.680,12.748,19.559,0.228
170,69.200,4.544,2.923,3.968,4.334,4.840,5.343,5.935,10.470,17.520,0.220
180,72.900,4.326,3.193,3.868,4.169,4.554,5.067,5.749,7.557,14.528,0.231
190,61.000,4.952,3.144,3.983,4.382,4.909,5.762,6.603,8.971,207.952,0.202
200,69.600,4.637,3.203,4.020,4.401,4.913,5.605,6.121,9.673,15.955,0.216
210,68.500,4.714,3.173,4.005,4.408,5.025,6.058,7.014,9.673,13.193,0.212
220,63.200,4.551,3.134,3.893,4.214,4.652,5.487,6.270,12.860,20.939,0.220
230,58.600,5.650,3.186,4.061,4.597,5.925,9.129,12.378,17.072,19.107,0.177
240,71.800,4.301,3.122,3.847,4.160,4.585,5.138,5.522,6.910,9.274,0.233
250,69.600,4.575,3.223,3.993,4.327,4.820,5.582,6.105,8.740,21.348,0.219
260,68.700,4.334,3.158,3.879,4.167,4.561,5.089,5.618,7.395,15.328,0.231
270,62.100,4.601,3.131,3.999,4.387,4.887,5.616,6.234,9.337,15.144,0.217
280,70.700,4.613,2.959,3.999,4.382,4.859,5.713,6.360,8.544,14.679,0.217
290,64.800,4.505,3.183,3.982,4.308,4.809,5.438,5.846,7.439,15.334,0.222
300,74.600,4.447,3.150,3.955,4.256,4.667,5.250,5.759,8.839,15.647,0.225
310,70.000,4.479,3.205,3.943,4.310,4.717,5.209,5.954,8.668,15.814,0.223
320,69.300,4.435,3.041,3.937,4.302,4.746,5.295,5.745,7.142,13.292,0.225
