Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,52.600,10.042,4.602,7.094,8.671,11.229,15.520,18.405,27.246,55.463,0.100
10,61.000,8.044,4.192,6.201,7.346,9.019,11.009,13.703,18.198,44.019,0.124
20,56.000,8.456,4.203,6.555,7.727,9.304,11.654,14.509,22.473,32.306,0.118
30,54.300,8.412,3.973,6.458,7.715,9.451,11.902,13.918,20.886,30.911,0.119
40,57.700,8.221,3.961,6.327,7.360,8.996,11.172,13.141,26.234,44.893,0.122
50,60.100,9.296,4.600,7.292,8.658,10.253,12.339,14.113,20.887,42.240,0.108
60,60.000,7.991,3.763,6.259,7.449,8.830,10.830,13.291,18.408,46.983,0.125
70,52.200,8.943,4.222,6.826,8.226,9.865,12.006,14.193,27.170,40.834,0.112
80,58.700,8.087,3.905,6.180,7.280,8.854,10.957,14.316,22.473,38.338,0.124
90,64.700,8.296,4.375,6.536,7.780,9.122,10.797,12.453,19.316,48.564,0.121
100,63.900,7.504,3.785,6.025,7.193,8.528,10.186,10.999,14.119,16.343,0.133
110,60.000,7.796,4.080,6.286,7.576,8.973,10.551,11.604,13.831,15.563,0.128
120,58.900,7.728,4.245,6.057,7.246,8.779,10.619,12.028,16.674,21.772,0.129
130,60.500,7.494,3.605,5.848,7.056,8.536,10.572,11.390,15.737,18.552,0.133
140,60.500,8.576,4.259,6.898,8.262,9.852,11.343,12.869,16.364,18.224,0.117
150,58.900,7.922,4.180,6.428,7.457,9.037,10.582,11.699,16.991,22.591,0.126
160,63.900,7.901,4.104,6.221,7.390,9.053,10.746,12.069,17.076,23.792,0.127
170,64.000,8.509,3.973,6.766,7.924,9.490,11.366,12.714,22.223,42.497,0.118
180,63.100,8.823,4.298,7.209,8.373,9.707,11.267,12.451,19.154,56.984,0.113
190,67.900,8.354,3.988,6.764,7.812,9.413,10.935,12.624,18.890,24.995,0.120
200,64.600,8.696,3.820,7.048,8.302,9.665,11.436,12.994,19.768,29.915,0.115
