Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1281.100,58.181,4.602,26.093,46.558,71.571,110.867,158.047,267.913,438.388,0.017
10,1597.100,46.969,4.192,22.428,36.227,61.131,79.122,116.717,224.132,352.057,0.021
20,1391.800,53.868,4.203,22.977,40.236,66.166,89.612,146.991,296.092,407.557,0.019
30,1377.200,54.368,3.973,22.600,38.658,64.207,84.660,144.654,326.896,461.887,0.018
40,1421.300,52.809,3.961,22.344,37.724,61.885,80.124,133.598,329.291,475.942,0.019
50,1438.500,52.068,4.600,22.815,36.497,67.456,87.446,146.637,266.634,386.106,0.019
60,1598.800,46.848,3.763,22.081,35.839,60.504,77.056,118.491,273.932,396.526,0.021
70,1393.500,53.815,4.222,23.450,39.024,67.421,88.170,149.426,299.260,420.136,0.019
80,1545.800,48.513,3.905,21.846,35.180,60.594,78.421,125.942,290.888,434.337,0.021
90,1514.600,49.524,4.375,22.550,36.962,63.147,81.455,132.923,253.261,372.569,0.020
100,1585.000,47.304,3.785,21.491,35.721,59.083,75.568,123.677,282.385,405.885,0.021
110,1545.300,48.571,4.080,21.942,36.486,61.398,78.179,128.130,273.028,469.707,0.021
120,1533.000,48.802,4.245,21.632,36.185,59.770,78.191,129.798,280.200,389.495,0.020
130,1561.900,48.092,3.605,22.435,35.459,59.995,77.631,119.907,275.985,464.751,0.021
140,1520.400,49.249,4.259,23.303,37.186,65.388,84.682,128.694,213.640,343.145,0.020
150,1623.600,46.208,4.180,22.240,36.753,61.463,78.531,111.512,205.675,348.210,0.022
160,1653.300,45.319,4.104,21.927,35.661,60.637,76.383,106.053,211.471,322.127,0.022
170,1576.000,47.650,3.973,22.701,37.829,64.474,81.609,121.685,204.697,327.106,0.021
180,1539.800,48.652,4.298,22.473,36.868,66.552,83.774,119.174,217.476,346.556,0.021
190,1625.300,46.136,3.988,22.684,35.614,64.046,80.672,95.630,157.893,336.446,0.022
200,1624.700,46.185,3.820,22.273,34.320,65.302,83.152,97.579,159.780,269.429,0.022
210,1589.500,47.116,4.020,22.739,35.350,66.508,84.611,98.637,163.232,242.933,0.021
220,1717.000,43.716,3.987,20.912,34.204,59.732,76.123,94.592,161.403,328.011,0.023
230,1654.100,45.333,3.941,21.918,35.615,62.678,78.962,95.779,154.381,361.647,0.022
240,1730.200,43.315,4.082,21.393,32.462,60.760,76.866,94.474,145.527,202.087,0.023
250,1662.800,45.078,3.717,21.261,34.002,59.505,75.709,108.580,249.679,396.355,0.022
260,1667.900,44.932,3.773,22.551,35.990,61.676,78.133,93.702,157.209,312.770,0.022
270,1021.700,73.461,4.199,28.978,52.435,96.880,159.828,195.764,261.630,638.768,0.014
280,1630.700,45.933,4.391,22.424,36.634,62.590,79.031,97.051,161.272,386.909,0.022
290,1746.800,42.964,4.079,20.954,33.247,59.417,74.460,88.021,148.992,369.632,0.023
300,1701.700,44.046,4.170,21.584,35.335,60.760,75.516,88.379,148.018,432.483,0.023
310,1810.200,41.402,3.854,20.580,32.385,56.799,71.484,84.064,142.818,343.225,0.024
320,1705.200,44.002,3.690,21.097,33.842,60.729,77.346,96.403,156.280,354.046,0.023
330,1690.000,44.308,3.964,21.534,35.243,61.033,76.484,90.488,151.457,393.785,0.023
340,1781.300,42.133,3.919,21.337,33.684,57.812,72.190,84.152,143.525,348.400,0.024
350,1818.400,41.236,3.296,20.265,31.867,56.876,71.257,86.008,141.578,347.888,0.024
360,1846.200,40.610,3.563,20.043,32.451,55.661,69.347,81.068,135.335,379.975,0.025
370,1790.800,41.855,3.766,21.183,32.811,57.118,71.674,83.975,141.451,320.560,0.024
380,1817.800,41.251,4.207,20.514,32.532,56.318,70.782,83.459,140.111,381.717,0.024
390,1363.000,55.046,4.404,23.011,39.102,67.077,118.455,158.655,269.091,361.988,0.018
400,1610.200,46.559,3.495,21.619,35.007,59.463,77.578,122.206,263.193,373.818,0.021
410,1712.700,43.829,3.849,21.223,33.457,58.725,74.520,106.827,201.965,335.222,0.023
420,1721.600,43.532,4.096,21.742,35.088,60.044,74.925,88.621,147.560,309.368,0.023
430,1745.600,42.946,3.992,21.369,35.616,59.223,73.736,89.888,143.272,322.913,0.023
440,1690.400,44.338,3.997,22.202,35.799,61.032,76.977,92.909,148.210,342.092,0.023
450,1681.200,44.638,3.839,22.779,36.122,61.090,76.625,93.203,147.555,322.754,0.022
460,1703.000,44.019,3.830,22.351,36.521,59.881,74.990,91.917,142.623,366.508,0.023
470,1559.700,48.079,4.021,23.445,37.260,64.443,82.403,101.639,187.731,409.347,0.021
480,1553.800,48.243,4.464,23.563,38.547,65.713,84.234,102.337,170.259,399.420,0.021
490,1712.300,43.802,3.680,21.421,35.880,59.222,73.809,93.473,155.248,323.263,0.023
500,1719.500,43.616,3.838,22.214,35.775,59.142,74.174,90.111,145.776,370.480,0.023
510,1608.800,46.684,4.143,22.332,37.667,61.762,80.169,122.164,185.713,367.023,0.021
520,1188.100,62.995,3.951,25.222,45.623,72.124,131.572,197.801,319.769,621.614,0.016
530,1735.400,43.269,3.302,21.943,35.573,58.781,74.081,90.538,143.592,455.466,0.023
540,1722.900,43.479,3.737,21.441,34.850,59.081,74.102,91.028,157.391,332.551,0.023
550,1810.700,41.391,3.997,20.946,33.555,56.629,70.520,84.998,137.247,340.448,0.024
560,1709.300,43.851,4.134,21.874,36.634,59.521,74.662,93.671,145.349,340.188,0.023
570,1751.900,42.845,4.194,21.370,33.598,59.014,73.822,88.358,142.822,344.331,0.023
