Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,785,785.000,8776,36491,71370,93528,131598,205226,243327,318806,438388
1,1064,1064.000,6429,29579,52572,68542,83066,152883,190830,278572,375720
2,1118,1118.000,7085,29477,51527,67317,84565,148175,183337,259777,346854
3,1115,1115.000,6031,29316,49097,66133,86077,145906,174763,249577,347609
4,1412,1412.000,5298,26765,46751,53068,71253,89304,131930,161122,271516
5,1628,1628.000,5565,24059,38176,46215,62909,78616,113299,157425,181079
6,1693,1693.000,5332,23318,31927,43833,59872,76472,89734,140766,162902
7,1543,1543.000,4602,23222,45297,49257,66768,90743,108481,152911,178246
8,1036,1036.000,5417,32139,56456,72768,76123,125923,299085,309923,369103
9,1417,1417.000,4801,23194,38076,52380,63317,83537,202465,242031,323607
10,1659,1659.000,4675,24784,38628,44550,60823,75593,87281,137005,188101
11,1760,1760.000,4380,22956,37162,43137,58709,71931,82230,134151,231795
12,1767,1767.000,4427,22587,35757,42144,57122,71906,83708,131089,185392
13,1862,1862.000,4980,20993,31302,40535,56973,71052,79698,138397,159799
14,1498,1498.000,5030,21800,37227,49839,59245,78611,191348,243802,301416
15,1468,1468.000,4643,21085,38765,50900,58852,81701,186755,262876,352057
16,1527,1527.000,4192,20125,32880,49290,60468,82118,161093,242894,305009
17,1377,1377.000,4290,21701,33137,54996,67882,94724,213369,264128,348641
18,1427,1427.000,4980,26440,43316,52046,72179,90986,105867,163681,215893
19,1626,1626.000,4771,24004,34494,46567,66139,82576,98369,159693,182155
20,1624,1624.000,4995,22739,35857,45597,65451,79681,89587,148002,175884
21,1431,1431.000,4520,23088,38417,55136,68197,91713,206580,266537,344567
22,1340,1340.000,4384,24003,38074,53025,64917,86726,191536,241819,303570
23,1475,1475.000,4740,21552,38822,50703,61613,83902,191770,226882,298826
24,1534,1534.000,4832,20275,34394,49456,57257,75502,225905,278033,394836
25,1279,1279.000,5030,21762,36150,58273,63906,96723,287248,330642,407557
26,1308,1308.000,4770,21499,40384,57416,63840,85279,278361,331549,371833
27,1089,1089.000,4234,26269,46610,68561,78003,143746,279713,323599,360534
28,1504,1504.000,4305,26230,41853,49086,65869,82989,99890,150237,184260
29,1334,1334.000,4203,27867,49120,57688,77999,101145,130240,204105,264035
30,1282,1282.000,5394,31578,51432,58037,78000,96762,113517,180442,293060
31,1259,1259.000,5559,24396,39366,61675,67916,96599,297014,340678,429416
32,1219,1219.000,4954,22995,41815,59486,64769,89034,290053,326423,371025
33,1252,1252.000,5142,22676,32976,59125,63610,89600,298213,333863,420253
34,1206,1206.000,5255,22367,38653,62625,69472,109705,303191,361925,461887
35,1263,1263.000,4935,21304,38590,59528,64815,95209,303108,343717,393835
36,1306,1306.000,4740,21539,37601,57090,65579,90096,270364,306826,385073
37,1337,1337.000,4867,20283,39419,56207,61606,78553,288834,345216,414524
38,1818,1818.000,3973,21994,33034,41239,57695,72020,81459,136071,170106
39,1830,1830.000,3987,22443,33474,40854,56682,70458,78326,132552,155830
40,1712,1712.000,3961,23225,36579,43976,61756,75539,85948,141768,168047
41,1814,1814.000,4682,21387,32829,46339,57474,73004,115230,328924,415032
42,1182,1182.000,4876,23011,38074,65246,64891,138143,296050,323155,475942
43,1145,1145.000,4502,20759,40899,62317,64940,120618,316647,370108,434115
44,1138,1138.000,4067,20898,34712,57813,59357,83301,301748,346126,397523
45,1367,1367.000,4652,21975,36545,56172,61576,82233,295974,338109,420241
46,1252,1252.000,5116,23642,41674,60124,66422,92197,286852,336184,392029
47,1440,1440.000,4799,22162,38486,54722,60647,83350,269036,309915,379897
48,1562,1562.000,4738,22569,37027,45071,61484,78194,103536,156965,191557
49,1601,1601.000,4327,26564,42037,47279,64516,78998,92596,141724,170719
50,1549,1549.000,5218,25235,37725,48296,67168,84674,100757,158278,190270
51,1609,1609.000,4967,23767,33988,46397,65621,82540,94328,156221,184762
