/binary/tsbs/bin/tsbs_generate_queries --queries 100000 --query-type single-groupby-1-1-1 --scale 1000 --seed 123 --timestamp-end 2022-07-28T00:00:00Z --timestamp-start 2022-07-25T00:00:00Z --use-case devops --format iotdb --file /binary/tsbs/bin/queries && /binary/tsbs/bin/tsbs_generate_data --scale 1000 --seed 123 --timestamp-end 2022-07-28T00:00:00Z --timestamp-start 2022-07-25T00:00:00Z --use-case devops --format iotdb --file /binary/tsbs/bin/data && /binary/tsbs/bin/tsbs_load_iotdb --host 172.31.28.149 --user stackit --password PjjeGSGKUBOzG9duX0C3VtQD6BU33qoECMqY2MmF7feQx7v0j7flv3tlyeOer3lu --batch-size 1000 --seed 123 --workers 100 --file /binary/tsbs/bin/data
2023/08/11 13:52:24 tsbs_load_iotdb target: 172.31.28.149:6667, no timeout for session opening check. Loading with 100 workers.
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1691761954,9472616.24,9.474400E+07,9472616.24,844041.06,8.442000E+06,844041.06
1691761964,747053.60,1.022150E+08,5110110.18,66695.86,9.109000E+06,455392.98
1691761974,0.00,1.022150E+08,3406931.72,0.00,9.109000E+06,303612.40
1691761984,0.00,1.022150E+08,2555242.14,0.00,9.109000E+06,227713.16
1691761994,2421119.75,1.264250E+08,2528419.84,217010.73,1.127900E+07,225572.85
1691762004,1042399.66,1.368490E+08,2280756.29,93499.97,1.221400E+07,203561.28
1691762014,3625090.44,1.731000E+08,2472800.10,321899.15,1.543300E+07,220466.34
1691762024,1863183.16,1.917320E+08,2396598.92,166098.50,1.709400E+07,213670.45
1691762034,2420318.51,2.159350E+08,2399234.36,217001.66,1.926400E+07,214040.57
1691762044,2708207.87,2.430170E+08,2430131.13,240700.70,2.167100E+07,216706.53
1691762054,6259855.90,3.056160E+08,2778285.09,558496.07,2.725600E+07,247778.06
1691762064,5763362.61,3.632570E+08,3027067.26,514834.13,3.240500E+07,270035.03
1691762074,3012097.29,3.933740E+08,3025915.89,266735.18,3.507200E+07,269781.23
1691762084,1048381.32,4.038580E+08,2884662.73,92898.34,3.600100E+07,257146.68
