/binary/tsbs/bin/tsbs_generate_queries --queries 100000 --query-type single-groupby-1-1-1 --scale 1000 --seed 123 --timestamp-end 2022-07-28T00:00:00Z --timestamp-start 2022-07-25T00:00:00Z --use-case devops --format iotdb --file /binary/tsbs/bin/queries && /binary/tsbs/bin/tsbs_generate_data --scale 1000 --seed 123 --timestamp-end 2022-07-28T00:00:00Z --timestamp-start 2022-07-25T00:00:00Z --use-case devops --format iotdb --file /binary/tsbs/bin/data && /binary/tsbs/bin/tsbs_load_iotdb --host 172.31.31.181 --user stackit --password PjjeGSGKUBOzG9duX0C3VtQD6BU33qoECMqY2MmF7feQx7v0j7flv3tlyeOer3lu --batch-size 1000 --seed 123 --workers 100 --file /binary/tsbs/bin/data
2023/08/10 12:30:56 tsbs_load_iotdb target: 172.31.31.181:6667, no timeout for session opening check. Loading with 100 workers.
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1691670666,9138000.86,9.151100E+07,9138000.86,814532.38,8.157000E+06,814532.38
1691670676,566471.86,9.716900E+07,4857848.98,50559.97,8.662000E+06,433046.42
1691670686,0.00,9.716900E+07,3238768.15,0.00,8.662000E+06,288715.64
1691670696,0.00,9.716900E+07,2429096.40,0.00,8.662000E+06,216538.54
1691670706,0.00,9.716900E+07,1943304.47,0.00,8.662000E+06,173233.27
1691670716,970522.04,1.068740E+08,1781182.39,86901.97,9.531000E+06,158845.46
1691670726,4613640.52,1.530095E+08,2185802.54,411908.08,1.365000E+07,194995.77
1691670736,2221838.17,1.752300E+08,2190307.28,198281.10,1.563300E+07,195406.46
1691670746,1249609.35,1.877250E+08,2085796.29,111509.76,1.674800E+07,186085.58
1691670756,1313987.98,2.008650E+08,2008616.06,116898.93,1.791700E+07,179166.97
1691670766,1934500.58,2.202100E+08,2001878.39,173900.05,1.965600E+07,178688.17
1691670776,1813808.70,2.383480E+08,1986206.21,160800.77,2.126400E+07,177197.58
1691670786,3955845.38,2.779060E+08,2137713.40,352504.04,2.478900E+07,190682.38
1691670796,5979103.98,3.377110E+08,2412154.94,530676.10,3.009700E+07,214972.65
1691670806,3570031.42,3.734030E+08,2489327.94,320374.61,3.330000E+07,221997.74
1691670816,2525900.39,3.986620E+08,2491613.70,223400.03,3.553400E+07,222085.38
1691670826,2283865.30,4.215020E+08,2479392.63,204287.95,3.757700E+07,221038.42
1691670836,2863571.69,4.501360E+08,2500734.46,255415.31,4.013100E+07,222948.12
1691670846,4318420.92,4.933200E+08,2596400.96,385001.87,4.398100E+07,231477.16
1691670856,4430405.40,5.376240E+08,2688100.40,394000.48,4.792100E+07,239603.25
1691670866,3630603.19,5.739300E+08,2732981.14,324500.29,5.116600E+07,243645.94
1691670876,2819451.66,6.021250E+08,2736911.65,251295.69,5.367900E+07,243993.66
1691670886,3258541.98,6.347100E+08,2759590.80,289303.73,5.657200E+07,245963.62
1691670896,2761608.26,6.623260E+08,2759674.86,245900.74,5.903100E+07,245961.00
1691670906,3886268.66,7.011920E+08,2804742.03,347470.37,6.250600E+07,250021.69
1691670916,3471371.48,7.359030E+08,2830379.47,308724.14,6.559300E+07,252279.28
1691670926,2912774.43,7.650310E+08,2833431.14,260997.71,6.820300E+07,252602.19
1691670936,3212019.74,7.971510E+08,2846952.01,284201.75,7.104500E+07,253730.73
1691670946,2698316.62,8.241340E+08,2841826.71,240701.48,7.345200E+07,253281.45
1691670956,3280756.51,8.569420E+08,2856457.81,293096.11,7.638300E+07,254608.62
1691670966,3513755.04,8.920820E+08,2877662.27,312278.23,7.950600E+07,256469.04
1691670976,3099963.39,9.230790E+08,2884608.56,277623.59,8.228200E+07,257130.06
1691670986,2739037.34,9.504920E+08,2880193.79,243099.18,8.471500E+07,256704.55
1691670996,2977516.71,9.802430E+08,2883053.90,265915.83,8.737200E+07,256975.24
1691671006,2788940.33,1.008132E+09,2880364.99,249203.60,8.986400E+07,256753.20
1691671016,3120108.70,1.039333E+09,2887024.49,275900.77,9.262300E+07,257285.08
1691671026,2701465.86,1.066348E+09,2882009.35,240796.96,9.503100E+07,256839.45
1691671036,2969765.63,1.096046E+09,2884318.74,266396.92,9.769500E+07,257090.96
1691671046,3071247.14,1.126758E+09,2889111.69,273804.20,1.004330E+08,257519.50
1691671056,2601281.44,1.152771E+09,2881915.91,230198.36,1.027350E+08,256836.47
1691671066,3105936.09,1.183833E+09,2887380.24,278076.37,1.055160E+08,257354.55
1691671076,2653731.24,1.210368E+09,2881817.68,235320.50,1.078690E+08,256829.98
1691671086,3050619.94,1.240874E+09,2885743.27,271401.77,1.105830E+08,257168.86
1691671096,3329815.25,1.274172E+09,2895835.74,297601.36,1.135590E+08,258087.77
1691671106,2814303.37,1.302315E+09,2894023.92,251600.30,1.160750E+08,257943.61
1691671116,3231650.21,1.334633E+09,2901363.93,287186.69,1.189470E+08,258579.35
1691671126,3239040.78,1.367022E+09,2908548.21,289412.58,1.218410E+08,259235.35
1691671136,2617595.89,1.393198E+09,2902486.71,232299.64,1.241640E+08,258674.19
1691671146,2822809.78,1.421426E+09,2900860.66,251700.87,1.266810E+08,258531.88
1691671156,2321403.42,1.444640E+09,2889271.57,207000.30,1.287510E+08,257501.25
1691671166,3569594.87,1.480339E+09,2902612.32,317272.88,1.319240E+08,258673.34
1691671176,2991718.02,1.510256E+09,2904325.87,268401.62,1.346080E+08,258860.42
1691671186,2450996.06,1.534764E+09,2895773.19,217717.42,1.367850E+08,258084.20
1691671196,2563892.72,1.560403E+09,2889627.25,228199.35,1.390670E+08,257530.77
1691671206,2656795.51,1.586971E+09,2885393.95,236099.60,1.414280E+08,257141.12
1691671216,2754516.42,1.614517E+09,2883056.79,246292.53,1.438910E+08,256947.39
1691671226,3085305.42,1.645369E+09,2886604.88,273909.36,1.466300E+08,257244.95
1691671236,2821398.85,1.673583E+09,2885480.64,251999.90,1.491500E+08,257154.52
1691671246,2911974.04,1.702703E+09,2885929.68,260297.68,1.517530E+08,257207.80
1691671256,2450827.08,1.727211E+09,2878678.07,217302.40,1.539260E+08,256542.72
1691671266,2189298.34,1.749104E+09,2867376.78,195799.85,1.558840E+08,255546.93
1691671276,2514301.68,1.774247E+09,2861682.04,223700.15,1.581210E+08,255033.28
1691671286,3211792.63,1.806366E+09,2867239.52,286290.43,1.609840E+08,255529.44
1691671296,2598247.45,1.832348E+09,2863036.61,230304.21,1.632870E+08,255135.30
1691671306,3038809.68,1.862736E+09,2865740.79,270900.86,1.659960E+08,255377.85
1691671316,2446991.77,1.887207E+09,2859395.85,220290.26,1.681990E+08,254846.19
1691671326,2344483.53,1.910651E+09,2851710.88,208307.42,1.702820E+08,254151.61
1691671336,2727578.09,1.937929E+09,2849885.26,241380.36,1.726960E+08,253963.79
1691671346,2542035.99,1.963348E+09,2845423.93,228412.22,1.749800E+08,253593.49
1691671356,2644416.87,1.989792E+09,2842552.42,234201.49,1.773220E+08,253316.47
1691671366,2542756.13,2.015221E+09,2838329.72,227287.14,1.795950E+08,252949.84
1691671376,2929393.62,2.044515E+09,2839594.49,261199.43,1.822070E+08,253064.42
1691671386,2816117.01,2.072674E+09,2839272.91,250219.28,1.847090E+08,253025.44
1691671396,2221007.89,2.094884E+09,2830918.02,198900.71,1.866980E+08,252294.03
1691671406,2444309.23,2.119328E+09,2825763.06,217391.93,1.888720E+08,251828.66
1691671416,2575214.05,2.145080E+09,2822466.39,228801.25,1.911600E+08,251525.67
1691671426,2389131.15,2.168971E+09,2816838.75,211902.76,1.932790E+08,251011.09
1691671436,2880594.03,2.197776E+09,2817656.09,257308.40,1.958520E+08,251091.82
1691671446,2243508.07,2.220211E+09,2810388.44,203100.73,1.978830E+08,250484.34
1691671456,2320532.52,2.243418E+09,2804264.81,205185.19,1.999350E+08,249918.06
1691671466,2632497.89,2.269743E+09,2802144.24,235399.81,2.022890E+08,249738.83
1691671476,2920793.37,2.298950E+09,2803591.13,258508.26,2.048740E+08,249845.77
1691671486,3007705.28,2.329028E+09,2806050.41,268191.55,2.075560E+08,250066.81
1691671496,1768921.34,2.346716E+09,2793704.50,157010.77,2.091260E+08,248959.08
1691671506,2472100.04,2.371437E+09,2789920.93,220400.00,2.113300E+08,248623.09
1691671516,2367206.58,2.395109E+09,2785005.67,211900.59,2.134490E+08,248196.08
1691671526,2753081.44,2.422640E+09,2784638.72,244898.35,2.158980E+08,248158.18
1691671536,2375523.88,2.446395E+09,2779989.74,213002.14,2.180280E+08,247758.68
1691671546,2538988.37,2.471786E+09,2777281.75,225590.08,2.202840E+08,247509.59
1691671556,2446308.20,2.496248E+09,2773604.43,217709.63,2.224610E+08,247178.49
1691671566,2911632.16,2.525367E+09,2775121.36,258976.18,2.250510E+08,247308.15
1691671576,2293657.63,2.548302E+09,2769888.42,204914.08,2.271000E+08,246847.38
1691671586,2572167.23,2.574025E+09,2767762.28,228988.18,2.293900E+08,246655.33
1691671596,2441570.26,2.598439E+09,2764292.40,217615.18,2.315660E+08,246346.42
1691671606,1862109.12,2.617060E+09,2754795.80,164300.80,2.332090E+08,245482.78
1691671616,85999.56,2.617920E+09,2726995.74,7999.96,2.332890E+08,243009.00
1691671626,0.00,2.617920E+09,2698879.89,0.00,2.332890E+08,240503.53
1691671636,0.00,2.617920E+09,2671342.77,0.00,2.332890E+08,238049.63
1691671646,0.00,2.617920E+09,2644359.58,0.00,2.332890E+08,235645.09
1691671656,0.00,2.617920E+09,2617914.48,0.00,2.332890E+08,233288.51

Summary:
loaded 2617920000 metrics in 1004.409sec with 100 workers (mean rate 2606427.73 metrics/sec)
loaded 233289000 rows in 1004.409sec with 100 workers (mean rate 232264.90 rows/sec)
