/binary/tsbs/bin/tsbs_generate_queries --queries 100000 --query-type single-groupby-1-1-1 --scale 1000 --seed 123 --timestamp-end 2022-07-28T00:00:00Z --timestamp-start 2022-07-25T00:00:00Z --use-case devops --format victoriametrics --file /binary/tsbs/bin/queries && /binary/tsbs/bin/tsbs_generate_data --scale 1000 --seed 123 --timestamp-end 2022-07-28T00:00:00Z --timestamp-start 2022-07-25T00:00:00Z --use-case devops --format victoriametrics --file /binary/tsbs/bin/data && /binary/tsbs/bin/tsbs_load_victoriametrics --urls http://172.31.31.32:8428/write --db-name benchdb --batch-size 1000 --seed 123 --workers 50 --file /binary/tsbs/bin/data
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1660031023,632192.28,6.325000E+06,632192.28,56472.51,5.650000E+05,56472.51
1660031033,1117888.88,1.750500E+07,874993.56,99790.08,1.563000E+06,78127.10
1660031043,986859.18,2.737300E+07,912273.33,87705.26,2.440000E+06,81319.07
1660031053,996529.88,3.733800E+07,933334.22,89202.67,3.332000E+06,83289.67
1660031063,916076.55,4.649900E+07,929882.96,81597.91,4.148000E+06,82951.34
1660031073,1075411.09,5.725300E+07,954135.33,95600.99,5.104000E+06,85059.42
1660031083,1073728.91,6.799000E+07,971218.48,95702.58,6.061000E+06,86579.72
1660031093,1006899.61,7.805900E+07,975678.35,89699.96,6.958000E+06,86969.73
1660031103,997640.85,8.803600E+07,978118.63,89094.72,7.849000E+06,87205.84
1660031113,1047079.25,9.850700E+07,985014.44,93298.15,8.782000E+06,87815.05
1660031123,1081293.66,1.093200E+08,993766.69,96099.44,9.743000E+06,88568.14
1660031133,993301.49,1.192530E+08,993727.93,88600.13,1.062900E+07,88570.80
1660031143,1038738.50,1.296400E+08,997190.01,92703.44,1.155600E+07,88888.67
1660031153,1053993.97,1.401800E+08,1001247.30,94099.46,1.249700E+07,89260.86
1660031163,999032.73,1.501700E+08,1001099.68,88802.91,1.338500E+07,89230.33
1660031173,1069684.60,1.608670E+08,1005386.16,95398.63,1.433900E+07,89615.84
1660031183,1062936.61,1.714960E+08,1008771.26,94903.27,1.528800E+07,89926.85
1660031193,980259.85,1.812990E+08,1007187.28,86696.45,1.615500E+07,89747.38
1660031203,1103672.98,1.923360E+08,1012265.45,98697.58,1.714200E+07,90218.44
1660031213,1079851.29,2.031340E+08,1015644.50,96204.57,1.810400E+07,90517.73
1660031223,905049.88,2.121850E+08,1010377.93,80895.52,1.891300E+07,90059.51
1660031233,1131089.25,2.234960E+08,1015864.72,100499.04,1.991800E+07,90534.03
1660031243,1044397.92,2.339400E+08,1017105.27,93199.81,2.085000E+07,90649.93
