/binary/tsbs/bin/tsbs_generate_queries --queries 100000 --query-type single-groupby-1-1-1 --scale 1000 --seed 123 --timestamp-end 2022-07-28T00:00:00Z --timestamp-start 2022-07-25T00:00:00Z --use-case devops --format iotdb --file /binary/tsbs/bin/queries && /binary/tsbs/bin/tsbs_generate_data --scale 1000 --seed 123 --timestamp-end 2022-07-28T00:00:00Z --timestamp-start 2022-07-25T00:00:00Z --use-case devops --format iotdb --file /binary/tsbs/bin/data && /binary/tsbs/bin/tsbs_load_iotdb --host 172.31.19.163 --user stackit --password PjjeGSGKUBOzG9duX0C3VtQD6BU33qoECMqY2MmF7feQx7v0j7flv3tlyeOer3lu --batch-size 1000 --seed 123 --workers 50 --file /binary/tsbs/bin/data
2023/08/10 12:25:46 tsbs_load_iotdb target: 172.31.19.163:6667, no timeout for session opening check. Loading with 50 workers.
time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1691670356,3557825.31,3.558200E+07,3557825.31,317566.56,3.176000E+06,317566.56
1691670366,0.00,3.558200E+07,1779055.01,0.00,3.176000E+06,158795.98
1691670376,0.00,3.558200E+07,1186029.93,0.00,3.176000E+06,105863.39
1691670386,0.00,3.558200E+07,889527.22,0.00,3.176000E+06,79397.97
1691670396,0.00,3.558200E+07,711634.53,0.00,3.176000E+06,63519.51
1691670406,0.00,3.558200E+07,593025.12,0.00,3.176000E+06,52932.60
1691670416,1341090.38,4.899200E+07,699884.14,119908.08,4.375000E+06,62499.86
1691670426,1855209.89,6.754400E+07,844298.90,165100.88,6.026000E+06,75324.90
1691670436,707296.23,7.461700E+07,829076.33,62499.67,6.651000E+06,73899.87
1691670446,546696.74,8.008400E+07,800838.26,48999.71,7.141000E+06,71409.85
1691670456,968209.52,8.976600E+07,816053.66,87100.86,8.012000E+06,72836.29
1691670466,337401.78,9.314000E+07,776166.24,29600.16,8.308000E+06,69233.30
1691670476,428490.16,9.742500E+07,749421.37,38999.10,8.698000E+06,66907.54
1691670486,576167.94,1.031870E+08,737045.52,51897.11,9.217000E+06,65835.31
1691670496,515840.22,1.083450E+08,722299.65,46503.63,9.682000E+06,64546.64
1691670506,332496.46,1.116700E+08,697936.72,29499.69,9.977000E+06,62356.18
1691670516,418989.51,1.158600E+08,681527.69,36599.08,1.034300E+07,60841.02
1691670526,590118.84,1.217610E+08,676449.59,51801.65,1.086100E+07,60338.85
1691670536,1629209.96,1.380530E+08,726594.55,145000.89,1.231100E+07,64794.72
1691670546,2182350.08,1.598770E+08,799383.89,195095.54,1.426200E+07,71309.90
1691670556,1607207.49,1.759490E+08,837851.46,142100.66,1.568300E+07,74680.87
1691670566,1084729.68,1.867970E+08,849073.88,97793.66,1.666100E+07,75731.52
1691670576,860690.38,1.954040E+08,849578.95,77099.14,1.743200E+07,75790.98
1691670586,334631.11,1.987500E+08,828124.79,30002.79,1.773200E+07,73883.31
1691670596,694941.42,2.057000E+08,822797.02,62094.77,1.835300E+07,73411.73
1691670606,466794.07,2.103680E+08,809104.48,42099.47,1.877400E+07,72207.41
1691670616,405035.23,2.144180E+08,794140.27,35203.06,1.912600E+07,70836.99
1691670626,487903.58,2.192970E+08,783203.33,43100.32,1.955700E+07,69846.41
1691670636,1079202.97,2.300900E+08,793411.09,95791.39,2.051500E+07,70741.14
1691670646,1553020.75,2.456190E+08,818729.43,138510.77,2.190000E+07,72999.95
1691670656,1782675.46,2.634470E+08,849826.54,158588.92,2.348600E+07,75761.07
1691670666,1345514.16,2.769010E+08,865315.46,119810.16,2.468400E+07,77137.49
1691670676,651191.86,2.834130E+08,858826.79,59099.26,2.527500E+07,76590.87
1691670686,909070.02,2.925040E+08,860304.58,80197.35,2.607700E+07,76696.94
1691670696,605026.42,2.985540E+08,853011.24,54902.40,2.662600E+07,76074.27
1691670706,547452.40,3.040290E+08,844522.78,47695.85,2.710300E+07,75285.91
1691670716,523100.03,3.092600E+08,835835.70,47500.00,2.757800E+07,74534.94
1691670726,372224.16,3.129820E+08,823636.20,33402.17,2.791200E+07,73452.57
1691670736,400675.14,3.169890E+08,812790.40,35397.80,2.826600E+07,72476.75
1691670746,872405.22,3.257130E+08,814280.75,77600.46,2.904200E+07,72604.84
1691670756,1010853.26,3.358210E+08,819074.95,89604.72,2.993800E+07,73019.45
1691670766,1540230.82,3.512230E+08,836244.98,137302.75,3.131100E+07,74549.98
1691670776,1874608.02,3.699690E+08,860392.85,166800.71,3.297900E+07,76695.33
1691670786,733032.55,3.773000E+08,857498.04,65693.96,3.363600E+07,76445.28
1691670796,1087795.38,3.881770E+08,862615.30,97308.53,3.460900E+07,76908.87
1691670806,610199.80,3.942790E+08,857128.01,54899.98,3.515800E+07,76430.41
1691670816,568106.22,3.999600E+08,850978.68,50000.55,3.565800E+07,75868.08
1691670826,613477.72,4.060950E+08,846030.57,54298.03,3.620100E+07,75418.69
1691670836,482014.90,4.109150E+08,838601.91,43401.34,3.663500E+07,74765.29
1691670846,424270.17,4.151580E+08,830314.70,37597.36,3.701100E+07,74021.88
1691670856,619216.40,4.213500E+08,826175.63,54901.45,3.756000E+07,73646.98
1691670866,839239.40,4.297420E+08,826426.85,75203.53,3.831200E+07,73676.92
1691670876,1469794.48,4.444400E+08,838565.90,130499.51,3.961700E+07,74749.04
1691670886,1316690.02,4.576070E+08,847420.12,117699.11,4.079400E+07,75544.42
1691670896,1322101.62,4.708290E+08,856051.32,118191.21,4.197600E+07,76319.87
1691670906,805764.76,4.788860E+08,855153.42,71005.71,4.268600E+07,76224.99
1691670916,952825.17,4.884150E+08,856867.09,84693.35,4.353300E+07,76373.57
